Category	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040
$_Elec_Res	10.14	9.67	11.32	11.63	11.64	11.46	11.68	12.08	12.28	12.26	12.34	12.57	12.81	12.93	13.06	13.11	13.29	13.38	13.45	13.52	13.51	13.54	13.59	13.67	13.76	13.85	13.93	14.00	14.09	14.23	14.41	14.60
$_NG_Res	11.28	10.78	10.87	10.49	9.92	10.40	10.23	10.09	10.25	10.44	10.96	11.48	11.84	12.04	12.24	12.39	12.59	12.78	12.76	12.68	12.67	12.66	12.84	13.03	13.22	13.40	13.61	13.84	14.08	14.42	14.86	15.31
$_Other_Res	21.23	20.59	25.84	25.55	25.03	24.75	19.68	21.14	21.57	21.66	21.88	22.05	22.30	22.55	22.85	23.14	23.43	23.77	24.08	24.42	24.78	25.14	25.52	25.93	26.33	26.75	27.17	27.59	28.02	28.49	28.98	29.46
$_Elec_Com	28.94	27.37	30.53	29.99	29.72	30.02	29.76	30.36	30.51	30.32	30.59	31.14	31.69	31.90	32.16	32.16	32.49	32.57	32.70	32.78	32.62	32.59	32.58	32.71	32.88	33.00	33.14	33.22	33.41	33.75	34.12	34.52
$_NG_Com	9.05	8.67	8.96	8.16	8.12	8.58	8.49	8.52	8.53	8.57	9.06	9.55	9.88	10.05	10.24	10.38	10.54	10.69	10.63	10.51	10.46	10.40	10.53	10.68	10.83	10.96	11.12	11.31	11.52	11.80	12.21	12.62
$_Other_Com	14.96	15.02	22.68	23.55	22.94	21.93	15.51	17.38	17.60	17.70	17.96	18.18	18.47	18.79	19.13	19.46	19.80	20.17	20.54	20.91	21.30	21.70	22.14	22.59	23.04	23.51	23.99	24.47	24.95	25.48	26.16	26.90
$_CO2	33.00	33.00	34.00	35.00	36.00	37.00	38.00	39.00	40.00	41.00	42.00	43.00	44.00	45.00	46.00	47.00	48.00	48.80	49.60	50.40	51.20	52.00	53.00	54.00	55.00	56.00	57.00	58.00	59.00	60.00	61.00	62.00
S_S_Elec	3.19	3.20	3.09	3.04	3.06	3.06	3.04	3.02	3.00	2.99	3.00	3.01	3.00	3.00	2.99	2.99	2.98	2.97	2.97	2.96	2.96	2.95	2.95	2.94	2.94	2.94	2.93	2.93	2.92	2.92	2.91	2.91
S_S_NG	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01
S_S_Other	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01
CO2_Elec	56.84702689	56.16823191	54.96995814	53.07772561	53.22789733	53.39830726	52.78848625	51.74878734	51.41473362	51.33568548	51.85277294	52.08899876	51.99605717	51.97352292	51.99805068	52.02032422	51.89202217	51.81098585	51.73155004	51.65436801	51.51658768	51.39282342	51.20056497	51.03237916	50.8411215	50.69799907	50.60185185	50.48342541	50.22893773	49.98862344	49.68297101	49.49267193
CO2_NG	56.51576602	54.91762852	55.28015964	56.74195756	56.6084788	57.3897497	57.67097967	57.56276791	57.14285714	56.91554468	57.14285714	57.3800738	57.5308642	57.59259259	57.57389163	57.49385749	57.54601227	57.60736196	57.66646304	57.7764277	57.77374471	57.8313253	57.90739627	57.94841032	57.96407186	58.10891682	58.11455847	58.0952381	58.16023739	58.16568047	58.27423168	58.39243499
CO2_Other	49.5454521	52.59751597	53.12870939	53.61663653	52.7972028	56.13415711	55.43859649	55.6416882	54.18427726	53.33333333	52.78900566	52.43027888	52.24940805	51.83737295	51.58791634	51.19139124	50.87853323	50.68493151	50.37993921	50.11389522	49.96203493	49.77203647	49.65779468	49.58047292	49.50343774	49.42704354	49.42704354	49.35064935	49.12280702	49.0881459	49.16413374	49.12547529
