CDIV	BLDG	ENDUSE	NBLDGS	WIND_COND	WIND_SOL	ROOF	WALL	INFIL	PEOPLE	GRND	EQUIP
1	1	HT	3094.8	0.2835	-0.0898	0.0864	0.2535	0.3873	-0.0201	0.2252	-0.1261
1	1	CL	3094.8	-0.0172	0.5124	0.1065	0.1505	0.1482	0.0301	-0.1233	0.1928
2	1	HT	8813.3	0.2942	-0.0789	0.107	0.2441	0.3809	-0.0199	0.203	-0.1303
2	1	CL	8813.3	-0.004	0.4439	0.1259	0.1494	0.1493	0.0354	-0.0979	0.198
3	1	HT	11396.6	0.2657	-0.0758	0.1273	0.2182	0.3428	-0.0208	0.267	-0.1244
3	1	CL	11396.6	0.0009	0.434	0.1817	0.1284	0.1575	0.0423	-0.1775	0.2326
4	1	HT	5175.3	0.2459	-0.0801	0.1408	0.2458	0.3476	-0.0195	0.2358	-0.1162
4	1	CL	5175.3	0.0001	0.3826	0.152	0.1314	0.1762	0.0399	-0.0813	0.1992
5	1	HT	12192.9	0.4356	-0.1355	0.1077	0.2576	0.2985	-0.0208	0.1909	-0.134
5	1	CL	12192.9	0.0076	0.4089	0.1296	0.1311	0.1447	0.037	-0.0453	0.1864
6	1	HT	4677.7	0.4604	-0.1224	0.2514	0.2275	0.3527	-0.0288	0.0231	-0.1639
6	1	CL	4677.7	-0.0116	0.3173	0.218	0.0777	0.1578	0.0422	-0.0033	0.2019
7	1	HT	7959.5	0.5272	-0.2118	0.2061	0.208	0.3776	-0.0391	0.1651	-0.233
7	1	CL	7959.5	0.0474	0.3081	0.1586	0.0826	0.2393	0.0471	-0.0805	0.1974
8	1	HT	3643.7	0.456	-0.1911	0.2163	0.2283	0.2918	-0.0367	0.2326	-0.1973
8	1	CL	3643.7	0.0819	0.306	0.2158	0.1083	0.1235	0.0411	-0.0693	0.1927
9	1	HT	9530.7	0.4352	-0.196	0.2914	0.3586	0.3522	-0.0427	0.0336	-0.2324
9	1	CL	9530.7	-0.1088	0.5143	0.3288	0.2139	-0.1244	0.0146	-0.0259	0.1873
1	2	HT	1747.1	0.1842	-0.0635	0.265	0.3327	0.3125	-0.0375	0.139	-0.1325
1	2	CL	1747.1	-0.032	0.3628	0.2303	0.145	0.1194	0.0879	-0.1512	0.2378
2	2	HT	5279.9	0.2617	-0.0698	0.2537	0.2807	0.3687	-0.0425	0.1293	-0.1818
2	2	CL	5279.9	-0.0514	0.3407	0.2036	0.1139	0.1188	0.1029	-0.1407	0.3121
3	2	HT	4009.5	0.2769	-0.0617	0.2389	0.2106	0.486	-0.052	0.1336	-0.2324
3	2	CL	4009.5	-0.0233	0.3445	0.1377	0.0629	0.0952	0.1337	-0.1627	0.412
4	2	HT	1304.8	0.2977	-0.0797	0.2343	0.2375	0.4492	-0.0564	0.1718	-0.2545
4	2	CL	1304.8	0.0015	0.3104	0.0907	0.0911	0.1321	0.1159	-0.1176	0.3759
5	2	HT	3733.7	0.2782	-0.085	0.3029	0.2959	0.5679	-0.0789	0.1344	-0.4155
5	2	CL	3733.7	-0.0218	0.1648	0.0973	0.0626	0.177	0.1216	-0.0484	0.4468
6	2	HT	639.8	0.3491	-0.1161	0.4113	0.322	0.5996	-0.09	0.0647	-0.5406
6	2	CL	639.8	-0.0615	0.2199	0.1432	0.0837	0.1017	0.1471	-0.1331	0.4989
7	2	HT	1686.8	0.362	-0.1429	0.4609	0.3495	0.6934	-0.116	0.0433	-0.6503
7	2	CL	1686.8	0.0102	0.1332	0.1356	0.0867	0.2243	0.0968	-0.0388	0.3519
8	2	HT	1060.8	0.4178	-0.2063	0.2569	0.4108	0.3644	-0.0601	0.1809	-0.3644
8	2	CL	1060.8	0.0403	0.2059	0.0952	0.1518	0.1236	0.0878	-0.0179	0.3132
9	2	HT	4603.9	0.6266	-0.4025	0.3743	0.6837	0.6431	-0.1438	0.2	-0.9815
9	2	CL	4603.9	-0.1251	0.3833	0.159	0.1599	0.01	0.1168	-0.071	0.3671
1	3	HT	225.3	0.3384	-0.0867	0.0564	0.2195	0.3669	-0.0189	0.2551	-0.1309
1	3	CL	225.3	-0.0207	0.6	0.0622	0.1378	0.1586	0.0207	-0.1378	0.1793
2	3	HT	317.2	0.3413	-0.075	0.0813	0.2298	0.4512	-0.0259	0.1786	-0.1813
