building_type,climate_zone,template,measure,status,ep_version,os_version,timestamp,cooling_electricity,cooling_water,district_chilled_water,district_hot_water_heating,district_hot_water_service_hot_water,exterior_equipment_electricity,exterior_equipment_gas,exterior_equipment_other_fuel,exterior_equipment_water,exterior_lighting_electricity,fan_electricity,floor_area,generated_electricity,heat_recovery_electricity,heat_rejection_electricity,heating_electricity,heating_gas,heating_other_fuel,heating_water,humidification_electricity,humidification_water,interior_equipment_electricity,interior_equipment_gas,interior_equipment_other_fuel,interior_equipment_water,interior_lighting_electricity,net_site_electricity,net_water,pump_electricity,refrigeration_electricity,service_water,service_water_heating_electricity,service_water_heating_gas,service_water_heating_other_fuel,total_gas,total_other_fuel,total_site_electricity,total_water
RetailStripmall,BA-HotHumid,90.1-2004,close_outdoor_air_damper_during_unoccupied_periods,completed normal,,,,370.75762295296033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.3245364146644,291.2926355858918,22499.999999999996,0.0,0.0,0.0,0.0,88.79150783095155,0.0,0.0,0.0,0.0,122.83709879260591,0.0,0.0,0.0,605.5603581681785,1562.9693877390664,3124.6417115173103,0.0,0.0,3124.6417115173103,36.19713582476559,0.0,0.0,88.79150783095155,0.0,1562.9693877390664,3124.6417115173103
RetailStripmall,BA-HotHumid,90.1-2004,occupancy_sensors_for_lighting,completed normal,,,,388.8609299509447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.3245364146644,291.3874172979232,22499.999999999996,0.0,0.0,0.0,0.0,108.35445319421842,0.0,0.0,0.0,0.0,122.83709879260591,0.0,0.0,0.0,605.5603581681785,1581.1674764490822,3124.6417115173103,0.0,0.0,3124.6417115173103,36.19713582476559,0.0,0.0,108.35445319421842,0.0,1581.1674764490822,3124.6417115173103
RetailStripmall,BA-HotHumid,DOE Ref 1980-2004,demand_control_ventilation,completed normal,,,,487.9931225645145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.05096756086084,274.6868796380025,22499.999999999996,0.0,0.0,0.0,0.0,268.9904987449194,0.0,0.0,0.0,0.0,143.02560345527957,0.0,0.0,0.0,1012.2686844946229,2119.0252577132806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.9904987449194,0.0,2119.0252577132806,0.0
RetailStripmall,BA-HotHumid,DOE Ref 1980-2004,electrochromic_windows,completed normal,,,,485.9458375846378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.05096756086084,272.6395946581257,22499.999999999996,0.0,0.0,0.0,0.0,260.3274502652558,0.0,0.0,0.0,0.0,143.02560345527957,0.0,0.0,0.0,1012.2686844946229,2114.930687753527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.3274502652558,0.0,2114.930687753527,0.0
RetailStripmall,BA-HotHumid,90.1-2004,advanced_windows,completed normal,,,,385.325572092176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.3245364146644,286.2407703346218,22499.999999999996,0.0,0.0,0.0,0.0,98.6867185670226,0.0,0.0,0.0,0.0,122.83709879260591,0.0,0.0,0.0,605.5603581681785,1572.4854716270122,3124.6417115173103,0.0,0.0,3124.6417115173103,36.19713582476559,0.0,0.0,98.6867185670226,0.0,1572.4854716270122,3124.6417115173103
RetailStripmall,BA-HotHumid,DOE Ref Pre-1980,supply_air_temperature_reset_based_on_outdoor_air_temperature,completed normal,,,,510.4943010007527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.05096756086084,318.95941732783757,22499.999999999996,0.0,0.0,0.0,0.0,293.59583118825316,0.0,0.0,0.0,0.0,143.02560345527957,0.0,0.0,0.0,1012.2686844946229,2185.7989738393535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.59583118825316,0.0,2185.7989738393535,0.0
RetailStripmall,BA-HotHumid,DOE Ref Pre-1980,wireless_lighting_occupancy_sensors,completed normal,,,,488.52390015188996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.05096756086084,319.33854417596285,22499.999999999996,0.0,0.0,0.0,0.0,306.45770951090486,0.0,0.0,0.0,0.0,143.02560345527957,0.0,0.0,0.0,860.4283818204294,2012.3673971644225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.45770951090486,0.0,2012.3673971644225,0.0
RetailStripmall,BA-HotHumid,90.1-2010,cool_roof,completed normal,,,,279.34066169874086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.60779519194892,258.0906018613163,22499.999999999996,0.0,0.0,0.0,0.0,79.26594577180272,0.0,0.0,0.0,0.0,122.83709879260591,0.0,0.0,0.0,519.1383931380102,1283.2116865073879,3124.6417115173103,0.0,0.0,3124.6417115173103,36.19713582476559,0.0,0.0,79.26594577180272,0.0,1283.2116865073879,3124.6417115173103
RetailStripmall,BA-HotHumid,90.1-2013,predictive_thermostats,completed normal,,,,196.26449110327863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.60779519194892,189.26012258416318,22499.999999999996,0.0,10.653464432321687,0.0,0.0,44.319928545850715,0.0,0.0,0.0,0.0,122.83709879260591,0.0,0.0,0.0,462.3641476312424,1085.1842555603264,3124.6417115173103,0.0,0.0,3124.6417115173103,36.19713582476559,0.0,0.0,44.319928545850715,0.0,1085.1842555603264,3124.6417115173103
RetailStripmall,BA-HotHumid,DOE Ref 1980-2004,desktops_to_thin_clients,completed normal,,,,487.9931225645145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.05096756086084,274.6868796380025,22499.999999999996,0.0,0.0,0.0,0.0,268.9904987449194,0.0,0.0,0.0,0.0,143.02560345527957,0.0,0.0,0.0,1012.2686844946229,2119.0252577132806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.9904987449194,0.0,2119.0252577132806,0.0
RetailStripmall,BA-HotHumid,90.1-2013,reduce_exterior_lighting_fifty_percent,completed normal,,,,219.0594928468139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.808636681576026,208.09324876478883,22499.999999999996,0.0,10.81459334277495,0.0,0.0,68.49874328504345,0.0,0.0,0.0,0.0,122.83709879260591,0.0,0.0,0.0,462.3641476312424,1093.1743538845676,3124.6417115173103,0.0,0.0,3124.6417115173103,36.19713582476559,0.0,0.0,68.49874328504345,0.0,1093.1743538845676,3124.6417115173103
RetailStripmall,BA-HotHumid,90.1-2004,desktop_power_management,completed normal,,,,385.46774466022305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.3245364146644,292.230974535002,22499.999999999996,0.0,0.0,0.0,0.0,111.36851163681477,0.0,0.0,0.0,0.0,102.90450475241684,0.0,0.0,0.0,605.5603581681785,1558.6852543552504,3124.6417115173103,0.0,0.0,3124.6417115173103,36.19713582476559,0.0,0.0,111.36851163681477,0.0,1558.6852543552504,3124.6417115173103
RetailStripmall,BA-HotHumid,90.1-2013,low_pressure_drop_air_filters,completed normal,,,,211.2115670906196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.60779519194892,166.47459901183103,22499.999999999996,0.0,10.947287739618814,0.0,0.0,74.4036439445954,0.0,0.0,0.0,0.0,122.83709879260591,0.0,0.0,0.0,462.3641476312424,1077.6396312826323,3124.6417115173103,0.0,0.0,3124.6417115173103,36.19713582476559,0.0,0.0,74.4036439445954,0.0,1077.6396312826323,3124.6417115173103
RetailStripmall,BA-HotHumid,DOE Ref Pre-1980,elevator_cab_lighting_controls,completed normal,,,,510.4943010007527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.05096756086084,318.95941732783757,22499.999999999996,0.0,0.0,0.0,0.0,293.59583118825316,0.0,0.0,0.0,0.0,143.02560345527957,0.0,0.0,0.0,1012.2686844946229,2185.7989738393535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.59583118825316,0.0,2185.7989738393535,0.0
RetailStripmall,BA-HotHumid,DOE Ref 1980-2004,demand_control_ventilation_metal_oxide_sensors,completed normal,,,,487.9931225645145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.05096756086084,274.6868796380025,22499.999999999996,0.0,0.0,0.0,0.0,268.9904987449194,0.0,0.0,0.0,0.0,143.02560345527957,0.0,0.0,0.0,1012.2686844946229,2119.0252577132806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.9904987449194,0.0,2119.0252577132806,0.0
RetailStripmall,BA-HotHumid,90.1-2004,commercial_lighting_to_current_leds,completed normal,,,,340.0862609396214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.3245364146644,256.6688761808463,22499.999999999996,0.0,0.0,0.0,0.0,139.52815828132344,0.0,0.0,0.0,0.0,122.83709879260591,0.0,0.0,0.0,375.8663572314491,1267.9802653839529,3124.6417115173103,0.0,0.0,3124.6417115173103,36.19713582476559,0.0,0.0,139.52815828132344,0.0,1267.9802653839529,3124.6417115173103
RetailStripmall,BA-HotHumid,90.1-2004,demand_control_ventilation_metal_oxide_sensors,completed normal,,,,388.8609299509447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.3245364146644,291.3874172979232,22499.999999999996,0.0,0.0,0.0,0.0,108.35445319421842,0.0,0.0,0.0,0.0,122.83709879260591,0.0,0.0,0.0,605.5603581681785,1581.1674764490822,3124.6417115173103,0.0,0.0,3124.6417115173103,36.19713582476559,0.0,0.0,108.35445319421842,0.0,1581.1674764490822,3124.6417115173103
RetailStripmall,BA-HotHumid,DOE Ref 1980-2004,advanced_rtu_controls,completed normal,,,,460.12729922730296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.05096756086084,144.3146347389057,22499.999999999996,0.0,0.0,0.0,0.0,318.88359195821243,0.0,0.0,0.0,0.0,143.02560345527957,0.0,0.0,0.0,1012.2686844946229,1960.787189476972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.88359195821243,0.0,1960.787189476972,0.0
