building_type,climate_zone,template,measure,status,ep_version,os_version,timestamp,cooling_electricity,cooling_water,district_chilled_water,district_hot_water_heating,district_hot_water_service_hot_water,exterior_equipment_electricity,exterior_equipment_gas,exterior_equipment_other_fuel,exterior_equipment_water,exterior_lighting_electricity,fan_electricity,floor_area,generated_electricity,heat_recovery_electricity,heat_rejection_electricity,heating_electricity,heating_gas,heating_other_fuel,heating_water,humidification_electricity,humidification_water,interior_equipment_electricity,interior_equipment_gas,interior_equipment_other_fuel,interior_equipment_water,interior_lighting_electricity,net_site_electricity,net_water,pump_electricity,refrigeration_electricity,service_water,service_water_heating_electricity,service_water_heating_gas,service_water_heating_other_fuel,total_gas,total_other_fuel,total_site_electricity,total_water
PrimarySchool,BA-HotHumid,90.1-2004,thermoelastic_heat_pump,completed normal,8.5.0,1.11.0,2016-07-12T03:26:47Z,665.727789,0,0,0,0,0,0,0,0,80.59288974,411.618019,73958.82847,0,215.4198751,0,0,369.3832881,0,0,0,0,1243.071631,348.5218333,0,0,1151.540932,3835.161892,26467.98956,0.928860778,65.31407776,26467.98956,0.94781712,99.7293174,0,817.6344388,0,3835.161892,26467.98956
PrimarySchool,BA-HotHumid,90.1-2004,widen_thermostat_setpoint,completed normal,8.5.0,1.11.0,2016-07-12T03:27:37Z,1099.695336,0,0,0,0,0,0,0,0,80.59288974,359.5165119,73958.82847,0,207.9321199,0,0,220.6423474,0,0,0,0,1243.071631,348.5218333,0,0,1151.540932,4209.473829,26467.98956,0.616081128,65.56051021,26467.98956,0.94781712,99.7293174,0,668.8934981,0,4209.473829,26467.98956
PrimarySchool,BA-HotHumid,90.1-2004,hot_water_pump_differential_pressure_reset,Not Applicable,8.5.0,1.11.0,2016-07-12T03:22:25Z,1203.879394,0,0,0,0,0,0,0,0,80.59288974,411.618019,73958.82847,0,215.4198751,0,0,369.3832881,0,0,0,0,1243.071631,348.5218333,0,0,1151.540932,4373.313497,26467.98956,0.928860778,65.31407776,26467.98956,0.94781712,99.7293174,0,817.6344388,0,4373.313497,26467.98956
PrimarySchool,BA-HotHumid,90.1-2004,advanced_windows,completed normal,8.5.0,1.11.0,2016-07-12T03:19:23Z,1126.319519,0,0,0,0,0,0,0,0,80.59288974,390.9935185,73958.82847,0,212.5005984,0,0,206.3587434,0,0,0,0,1243.071631,348.5218333,0,0,1151.540932,4272.010803,26467.98956,0.635037471,65.40885947,26467.98956,0.94781712,99.71983923,0,654.600416,0,4272.010803,26467.98956
PrimarySchool,BA-HotHumid,90.1-2004,exterior_lighting_control,completed normal,8.5.0,1.11.0,2016-07-12T03:22:03Z,1203.879394,0,0,0,0,0,0,0,0,28.2733847,411.618019,73958.82847,0,215.4198751,0,0,369.3832881,0,0,0,0,1243.071631,348.5218333,0,0,1151.540932,4320.993992,26467.98956,0.928860778,65.31407776,26467.98956,0.94781712,99.7293174,0,817.6344388,0,4320.993992,26467.98956
PrimarySchool,BA-HotHumid,90.1-2004,correct_refrigerant_undercharge.anti_measure,completed normal,8.5.0,1.11.0,2016-07-12T03:19:57Z,1352.980505,0,0,0,0,0,0,0,0,80.59288974,411.618019,73958.82847,0,215.4198751,0,0,369.3832881,0,0,0,0,1243.071631,348.5218333,0,0,1151.540932,4522.414608,26467.98956,0.928860778,65.31407776,26467.98956,0.94781712,99.7293174,0,817.6344388,0,4522.414608,26467.98956
PrimarySchool,BA-HotHumid,90.1-2004,advanced_hybrid_rtus,completed normal,8.5.0,1.11.0,2016-07-12T03:19:31Z,1205.699202,2993.271151,0,0,0,0,0,0,0,80.59288974,355.478811,73958.82847,0,214.9744011,0,0,341.7638972,0,0,0,0,1243.071631,348.5218333,0,0,1151.540932,4318.472798,29461.26071,0.938338949,65.22877422,26467.98956,0.94781712,99.7293174,0,790.015048,0,4318.472798,29461.26071
PrimarySchool,BA-HotHumid,90.1-2004,advanced_rtu_controls,Not Applicable,8.5.0,1.11.0,2016-07-12T03:19:16Z,1203.879394,0,0,0,0,0,0,0,0,80.59288974,411.618019,73958.82847,0,215.4198751,0,0,369.3832881,0,0,0,0,1243.071631,348.5218333,0,0,1151.540932,4373.313497,26467.98956,0.928860778,65.31407776,26467.98956,0.94781712,99.7293174,0,817.6344388,0,4373.313497,26467.98956
PrimarySchool,BA-HotHumid,90.1-2004,desktops_to_laptops,completed normal,8.5.0,1.11.0,2016-07-12T03:20:22Z,982.1660128,0,0,0,0,0,0,0,0,80.59288974,338.5981881,73958.82847,0,208.8515025,0,0,515.0153887,0,0,0,0,9.828863538,348.5218333,0,0,1151.540932,2838.257323,26467.98956,1.1847714,64.54634589,26467.98956,0.94781712,99.71983923,0,963.2570612,0,2838.257323,26467.98956
PrimarySchool,BA-HotHumid,90.1-2004,membrane_heat_pump_cooling_only,completed normal,8.5.0,1.11.0,2016-07-12T03:25:20Z,524.1902584,0,0,0,0,0,0,0,0,80.59288974,411.618019,73958.82847,0,215.4198751,0,0,369.3832881,0,0,0,0,1243.071631,348.5218333,0,0,1151.540932,3693.624362,857692.2547,0.928860778,65.31407776,857692.2547,0.94781712,99.7293174,0,817.6344388,0,3693.624362,857692.2547
PrimarySchool,BA-HotHumid,90.1-2004,chilled_water_supply_temperature_reset,Not Applicable,8.5.0,1.11.0,2016-07-12T03:20:04Z,1203.879394,0,0,0,0,0,0,0,0,80.59288974,411.618019,73958.82847,0,215.4198751,0,0,369.3832881,0,0,0,0,1243.071631,348.5218333,0,0,1151.540932,4373.313497,26467.98956,0.928860778,65.31407776,26467.98956,0.94781712,99.7293174,0,817.6344388,0,4373.313497,26467.98956
PrimarySchool,BA-HotHumid,90.1-2004,occupancy_sensors_for_lighting,completed normal,8.5.0,1.11.0,2016-07-12T03:25:23Z,1203.102183,0,0,0,0,0,0,0,0,80.59288974,411.4379338,73958.82847,0,215.4198751,0,0,370.8239702,0,0,0,0,1243.071631,348.5218333,0,0,1146.830281,4367.655028,26467.98956,0.938338949,65.31407776,26467.98956,0.94781712,99.7293174,0,819.0751209,0,4367.655028,26467.98956
