building_type,climate_zone,template,measure,status,ep_version,os_version,timestamp,cooling_electricity,cooling_water,district_chilled_water,district_hot_water_heating,district_hot_water_service_hot_water,exterior_equipment_electricity,exterior_equipment_gas,exterior_equipment_other_fuel,exterior_equipment_water,exterior_lighting_electricity,fan_electricity,floor_area,generated_electricity,heat_recovery_electricity,heat_rejection_electricity,heating_electricity,heating_gas,heating_other_fuel,heating_water,humidification_electricity,humidification_water,interior_equipment_electricity,interior_equipment_gas,interior_equipment_other_fuel,interior_equipment_water,interior_lighting_electricity,net_site_electricity,net_water,pump_electricity,refrigeration_electricity,service_water,service_water_heating_electricity,service_water_heating_gas,service_water_heating_other_fuel,total_gas,total_other_fuel,total_site_electricity,total_water
QuickServiceRestaurant,BA-HotHumid,DOE Ref Pre-1980,solar_cogeneration_and_daylighting,completed normal,,,,133.37682517048998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.13036512178805,72.8587020384847,2500.9187195596614,0.0,0.0,0.0,0.0,51.2010808393254,0.0,0.0,0.0,0.0,388.1405889395066,534.6731157399454,0.0,0.0,134.5995092556942,819.3973786820659,14679.600662788376,0.0,46.29138815610241,14679.600662788376,0.0,62.26210663338181,0.0,648.1363032126526,0.0,819.3973786820659,14679.600662788376
QuickServiceRestaurant,BA-HotHumid,90.1-2010,optimal_start_stop,completed normal,,,,74.84911799114266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.710121707262685,90.1468863129996,2500.9187195596614,0.0,0.435995875344126,0.0,0.0,2.341108287173894,0.0,0.0,0.0,0.0,262.43160427235125,452.26041712870244,0.0,0.0,37.60938333403244,526.8725808397668,12012.283885314342,0.0,46.68947134663401,12012.283885314342,0.0,50.651346909543676,0.0,505.25287232542,0.0,526.8725808397668,12012.283885314342
QuickServiceRestaurant,BA-HotHumid,90.1-2010,reduce_exterior_lighting_fifty_percent,completed normal,,,,93.19885744040847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.355060853631342,116.22133529281896,2500.9187195596614,0.0,21.648143027956163,0.0,0.0,53.10619325115517,0.0,0.0,0.0,0.0,262.43160427235125,452.26041712870244,0.0,0.0,37.60938333403244,584.5567307820353,12012.283885314342,0.0,46.092346560836624,12012.283885314342,0.0,50.651346909543676,0.0,556.0179572894012,0.0,584.5567307820353,12012.283885314342
QuickServiceRestaurant,BA-HotHumid,90.1-2010,variable_speed_cooling_tower_fans,completed normal,,,,93.19885744040847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.710121707262685,116.22133529281896,2500.9187195596614,0.0,21.648143027956163,0.0,0.0,53.10619325115517,0.0,0.0,0.0,0.0,262.43160427235125,452.26041712870244,0.0,0.0,37.60938333403244,591.9117916356666,12012.283885314342,0.0,46.092346560836624,12012.283885314342,0.0,50.651346909543676,0.0,556.0179572894012,0.0,591.9117916356666,12012.283885314342
QuickServiceRestaurant,BA-HotHumid,90.1-2004,plug_load_controls,completed normal,,,,115.90855564311558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.979667267788027,109.29279214332861,2500.9187195596614,0.0,0.0,0.0,0.0,92.2320839776889,0.0,0.0,0.0,0.0,196.82370320426347,452.26041712870244,0.0,0.0,71.57914892606172,565.666735574191,12012.283885314342,0.0,46.08286838963348,12012.283885314342,0.0,50.651346909543676,0.0,595.1438480159351,0.0,565.666735574191,12012.283885314342
QuickServiceRestaurant,BA-HotHumid,90.1-2010,exterior_lighting_control,completed normal,,,,93.19885744040847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075507741208364,116.22133529281896,2500.9187195596614,0.0,21.648143027956163,0.0,0.0,53.10619325115517,0.0,0.0,0.0,0.0,262.43160427235125,452.26041712870244,0.0,0.0,37.60938333403244,583.2771776696122,12012.283885314342,0.0,46.092346560836624,12012.283885314342,0.0,50.651346909543676,0.0,556.0179572894012,0.0,583.2771776696122,12012.283885314342
QuickServiceRestaurant,BA-HotHumid,90.1-2004,correct_hvac_operations_schedule,completed normal,,,,125.66159381113961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.979667267788027,101.29321564788422,2500.9187195596614,0.0,0.0,0.0,0.0,73.45582682428208,0.0,0.0,0.0,0.0,262.43160427235125,452.26041712870244,0.0,0.0,71.57914892606172,633.227139910124,12012.283885314342,0.0,46.281909984899286,12012.283885314342,0.0,50.651346909543676,0.0,576.3675908625282,0.0,633.227139910124,12012.283885314342
QuickServiceRestaurant,BA-HotHumid,DOE Ref Pre-1980,controllable_power_outlets,completed normal,,,,127.87948587267276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.13036512178805,72.8587020384847,2500.9187195596614,0.0,0.0,0.0,0.0,58.53718535055048,0.0,0.0,0.0,0.0,272.29838049481293,534.6731157399454,0.0,0.0,163.73540753412559,727.1368601907676,14679.600662788376,0.0,46.23451912888361,14679.600662788376,0.0,62.26210663338181,0.0,655.4724077238776,0.0,727.1368601907676,14679.600662788376
QuickServiceRestaurant,BA-HotHumid,90.1-2013,condenser_water_temperature_reset,completed normal,,,,88.2607302435761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.710121707262685,111.3211207807991,2500.9187195596614,0.0,21.648143027956163,0.0,0.0,54.79330772531287,0.0,0.0,0.0,0.0,252.27100474259254,452.26041712870244,0.0,0.0,41.52386804092643,565.0601326171903,12012.283885314342,0.0,35.32514407407733,12012.283885314342,0.0,50.651346909543676,0.0,557.705071763559,0.0,565.0601326171903,12012.283885314342
QuickServiceRestaurant,BA-HotHumid,90.1-2010,wireless_lighting_occupancy_sensors,completed normal,,,,92.29843117611084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.710121707262685,116.14550992319391,2500.9187195596614,0.0,21.648143027956163,0.0,0.0,53.911837803421484,0.0,0.0,0.0,0.0,262.43160427235125,452.26041712870244,0.0,0.0,31.96987146816819,585.2865499646765,12012.283885314342,0.0,46.08286838963348,12012.283885314342,0.0,50.651346909543676,0.0,556.8236018416676,0.0,585.2865499646765,12012.283885314342
QuickServiceRestaurant,BA-HotHumid,90.1-2013,elevator_cab_lighting_controls,completed normal,,,,88.2607302435761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.710121707262685,111.3211207807991,2500.9187195596614,0.0,21.648143027956163,0.0,0.0,54.79330772531287,0.0,0.0,0.0,0.0,252.27100474259254,452.26041712870244,0.0,0.0,41.52386804092643,565.0601326171903,12012.283885314342,0.0,35.32514407407733,12012.283885314342,0.0,50.651346909543676,0.0,557.705071763559,0.0,565.0601326171903,12012.283885314342
QuickServiceRestaurant,BA-HotHumid,90.1-2004,brushless_dc_compressor_motors,completed normal,,,,123.00770587426231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.979667267788027,109.81409155950092,2500.9187195596614,0.0,0.0,0.0,0.0,86.97169895994999,0.0,0.0,0.0,0.0,262.43160427235125,452.26041712870244,0.0,0.0,71.57914892606172,638.9614334880197,12012.283885314342,0.0,46.14921558805542,12012.283885314342,0.0,50.651346909543676,0.0,589.8834629981961,0.0,638.9614334880197,12012.283885314342
