building_type,climate_zone,template,measure,status,ep_version,os_version,timestamp,cooling_electricity,cooling_water,district_chilled_water,district_hot_water_heating,district_hot_water_service_hot_water,exterior_equipment_electricity,exterior_equipment_gas,exterior_equipment_other_fuel,exterior_equipment_water,exterior_lighting_electricity,fan_electricity,floor_area,generated_electricity,heat_recovery_electricity,heat_rejection_electricity,heating_electricity,heating_gas,heating_other_fuel,heating_water,humidification_electricity,humidification_water,interior_equipment_electricity,interior_equipment_gas,interior_equipment_other_fuel,interior_equipment_water,interior_lighting_electricity,net_site_electricity,net_water,pump_electricity,refrigeration_electricity,service_water,service_water_heating_electricity,service_water_heating_gas,service_water_heating_other_fuel,total_gas,total_other_fuel,total_site_electricity,total_water
Warehouse,BA-HotHumid,90.1-2013,predictive_thermostats,completed normal,,,,48.8884070657609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.61195195878653,64.3757388116805,52044.92349890498,0.0,2.9097985593618843,0.0,0.0,40.8603960567071,0.0,0.0,0.0,0.0,115.8611647870999,0.0,0.0,0.0,354.3509086003368,679.5090498950235,1873.0899229077545,0.0,0.0,1873.0899229077545,14.511080111996888,0.0,0.0,40.8603960567071,0.0,679.5090498950235,1873.0899229077545
Warehouse,BA-HotHumid,DOE Ref 1980-2004,economizer_damper_leakage.anti_measure,completed normal,,,,88.30812109959176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.35628068600025,177.2038888137778,52044.89021726307,0.0,0.0,0.0,0.0,394.4625291319964,0.0,0.0,0.0,0.0,107.6909812099991,0.0,0.0,0.0,308.70403608604744,845.2633078954163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.4625291319964,0.0,845.2633078954163,0.0
Warehouse,BA-HotHumid,90.1-2004,occupant_feedback_thermostat_control,completed normal,,,,80.9435820747573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.01750167388214,81.76818296942987,52044.92349890498,0.0,0.0,0.0,0.0,64.59373674935257,0.0,0.0,0.0,0.0,115.8611647870999,0.0,0.0,0.0,463.2740520667432,873.3755636839093,1873.0899229077545,0.0,0.0,1873.0899229077545,14.511080111996888,0.0,0.0,64.59373674935257,0.0,873.3755636839093,1873.0899229077545
Warehouse,BA-HotHumid,90.1-2010,sensor_calibration_faults.anti_measure,completed normal,,,,44.72748990758544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.61195195878653,60.10108359906745,52044.92349890498,0.0,0.0,0.0,0.0,69.94890347912282,0.0,0.0,0.0,0.0,115.8611647870999,0.0,0.0,0.0,338.11480132936964,651.9275716939059,1873.0899229077545,0.0,0.0,1873.0899229077545,14.511080111996888,0.0,0.0,69.94890347912282,0.0,651.9275716939059,1873.0899229077545
Warehouse,BA-HotHumid,DOE Ref Pre-1980,display_power_management,completed normal,,,,95.74848549405131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.35628068600025,185.80059009501957,52044.89021726307,0.0,0.0,0.0,0.0,407.28649476983554,0.0,0.0,0.0,0.0,114.55317716106752,0.0,0.0,0.0,308.70403608604744,868.1625695221862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.28649476983554,0.0,868.1625695221862,0.0
Warehouse,BA-HotHumid,DOE Ref Pre-1980,desktops_to_laptops,completed normal,,,,95.76744183645758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.35628068600025,185.98067534787913,52044.89021726307,0.0,0.0,0.0,0.0,408.00683578127365,0.0,0.0,0.0,0.0,103.8902345575427,0.0,0.0,0.0,308.70403608604744,857.6986685139271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.00683578127365,0.0,857.6986685139271,0.0
Warehouse,BA-HotHumid,90.1-2013,none,completed normal,,,,49.44761916674576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.61195195878653,67.98692204007425,52044.92349890498,0.0,2.8813640457524845,0.0,0.0,41.58073706814523,0.0,0.0,0.0,0.0,115.8611647870999,0.0,0.0,0.0,354.3509086003368,683.6510107107925,1873.0899229077545,0.0,0.0,1873.0899229077545,14.511080111996888,0.0,0.0,41.58073706814523,0.0,683.6510107107925,1873.0899229077545
Warehouse,BA-HotHumid,DOE Ref Pre-1980,low_pressure_drop_air_filters,completed normal,,,,93.07564121476776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.35628068600025,162.79706858501538,52044.89021726307,0.0,0.0,0.0,0.0,419.91141881240895,0.0,0.0,0.0,0.0,107.6909812099991,0.0,0.0,0.0,308.70403608604744,835.62400778183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.91141881240895,0.0,835.62400778183,0.0
Warehouse,BA-HotHumid,90.1-2004,commercial_lighting_to_et2020_leds,completed normal,,,,67.20023383021419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.01750167388214,72.1762737118591,52044.92349890498,0.0,0.0,0.0,0.0,81.4080124637108,0.0,0.0,0.0,0.0,115.8611647870999,0.0,0.0,0.0,216.03595623301442,602.8022103480666,1873.0899229077545,0.0,0.0,1873.0899229077545,14.511080111996888,0.0,0.0,81.4080124637108,0.0,602.8022103480666,1873.0899229077545
Warehouse,BA-HotHumid,DOE Ref Pre-1980,plug_load_controls,completed normal,,,,95.35988047472284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.35628068600025,185.9996316902854,52044.89021726307,0.0,0.0,0.0,0.0,409.37169243452485,0.0,0.0,0.0,0.0,80.7729749931009,0.0,0.0,0.0,308.70403608604744,834.192803930157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.37169243452485,0.0,834.192803930157,0.0
Warehouse,BA-HotHumid,90.1-2010,one_watt_standby,completed normal,,,,44.101930608178655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.61195195878653,60.309603365536375,52044.92349890498,0.0,0.0,0.0,0.0,72.2900117662967,0.0,0.0,0.0,0.0,81.45540331972649,0.0,0.0,0.0,338.11480132936964,617.1047706935946,1873.0899229077545,0.0,0.0,1873.0899229077545,14.511080111996888,0.0,0.0,72.2900117662967,0.0,617.1047706935946,1873.0899229077545
Warehouse,BA-HotHumid,90.1-2010,solar_cogeneration_and_daylighting,completed normal,,,,41.82716951942669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.61195195878653,59.91152017500478,52044.92349890498,0.0,0.0,0.0,0.0,75.05763775761159,0.0,0.0,0.0,0.0,115.8611647870999,0.0,0.0,0.0,249.9298964554186,560.6527830077333,1873.0899229077545,0.0,0.0,1873.0899229077545,14.511080111996888,0.0,0.0,75.05763775761159,0.0,560.6527830077333,1873.0899229077545
Warehouse,BA-HotHumid,90.1-2013,sensor_calibration_faults.anti_measure,completed normal,,,,49.44761916674576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.61195195878653,67.98692204007425,52044.92349890498,0.0,2.8813640457524845,0.0,0.0,41.58073706814523,0.0,0.0,0.0,0.0,115.8611647870999,0.0,0.0,0.0,354.3509086003368,683.6510107107925,1873.0899229077545,0.0,0.0,1873.0899229077545,14.511080111996888,0.0,0.0,41.58073706814523,0.0,683.6510107107925,1873.0899229077545
Warehouse,BA-HotHumid,DOE Ref Pre-1980,hot_water_pump_differential_pressure_reset,completed normal,,,,95.82431086367636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.35628068600025,185.92380632066033,52044.89021726307,0.0,0.0,0.0,0.0,407.82675052841415,0.0,0.0,0.0,0.0,107.6909812099991,0.0,0.0,0.0,308.70403608604744,861.4994151663835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.82675052841415,0.0,861.4994151663835,0.0
