state,act_v_name_heat_cop
AL,1.013794498
AR,0.978282203
AZ,1.095077188
CA,1.110228953
CO,0.785313303
CT,0.789838545
DC,0.971468183
DE,0.930590956
FL,1.156741636
GA,1.040130538
IA,0.674432035
ID,0.875747914
IL,0.78413361
IN,0.796493636
KS,0.85050273
KY,0.871230461
LA,1.070159002
MA,0.783404208
MD,0.927590524
ME,0.674579044
MI,0.712983376
MN,0.582752053
MO,0.864379946
MS,1.01330185
MT,0.720612846
NC,0.967843436
ND,0.555584901
NE,0.726854793
NH,0.746107499
NJ,0.892153385
NM,0.973971795
NV,1.016097858
NY,0.739513635
OH,0.791783077
OK,0.976656768
OR,1.020204029
PA,0.799254875
RI,0.809166563
SC,1.037269569
SD,0.622499932
TN,0.932887899
TX,1.05980744
UT,0.893619943
VA,0.919974748
VT,0.644630198
WA,0.956049484
WI,0.646403262
WV,0.809573145
WY,0.753294121
