state,low_rent,low_own,reg_rent,reg_own
AL,0.11790393,0.072052402,0.205604076,0.604439592
AR,0.120409392,0.05538832,0.223359422,0.600842866
AZ,0.077005348,0.051604278,0.276737968,0.594652406
CA,0.080723079,0.026076567,0.369071737,0.524128617
CO,0.061971831,0.027856025,0.286384977,0.623787167
CT,0.058794708,0.015188633,0.27633513,0.649681529
DE,0.053435115,0.038167939,0.246183206,0.66221374
FL,0.083110636,0.053981828,0.270354534,0.592553002
GA,0.095542565,0.047131896,0.27584947,0.581476069
IA,0.079089924,0.031960997,0.204767064,0.684182015
ID,0.081021088,0.051054384,0.230854606,0.637069922
IL,0.083391928,0.036281817,0.254816482,0.625509774
IN,0.090032154,0.040728832,0.234190782,0.635048232
KS,0.087698646,0.030606239,0.256032961,0.625662154
KY,0.112149533,0.072819315,0.218847352,0.596183801
LA,0.135777599,0.076954069,0.230459307,0.556809025
MA,0.072233607,0.01664959,0.313268443,0.597848361
MD,0.061500615,0.019680197,0.280750308,0.638068881
ME,0.069047619,0.046428571,0.192857143,0.691666667
MI,0.088059956,0.050587634,0.207630727,0.653721683
MN,0.06080449,0.026192703,0.22700343,0.685999376
MO,0.083357122,0.046531544,0.245503854,0.624607479
MS,0.134474328,0.088630807,0.203545232,0.573349633
MT,0.090490798,0.056748466,0.219325153,0.633435583
NC,0.096932515,0.053286591,0.256617003,0.593163891
ND,0.074766355,0.028037383,0.308411215,0.588785047
NE,0.059306569,0.030109489,0.259124088,0.651459854
NH,0.042416452,0.020565553,0.254498715,0.68251928
NJ,0.067653712,0.021180341,0.298581123,0.612584824
NM,0.097385032,0.07213706,0.236248873,0.594229035
NV,0.080928482,0.032622334,0.373902133,0.512547051
NY,0.102469929,0.020475622,0.358093839,0.51896061
OH,0.102795699,0.037849462,0.24702509,0.612329749
OK,0.111315547,0.05473781,0.242410304,0.591536339
OR,0.084667228,0.032855939,0.293176074,0.589300758
PA,0.083795107,0.04014056,0.230436545,0.645627788
RI,0.109177215,0.022151899,0.283227848,0.585443038
SC,0.091567137,0.061889251,0.216793341,0.629750271
SD,0.076763485,0.039419087,0.251037344,0.632780083
TN,0.105221727,0.057202834,0.234059302,0.603516137
TX,0.091810875,0.04605025,0.298385345,0.56375353
UT,0.050310131,0.026878015,0.243969676,0.678842178
VA,0.072523203,0.033455644,0.270666954,0.623354198
VT,0.055555556,0.03968254,0.243386243,0.661375661
WA,0.065306122,0.027130852,0.30060024,0.606962785
WI,0.072167913,0.037090282,0.254169063,0.636572743
WV,0.118359739,0.069897484,0.162162162,0.649580615
WY,0.070621469,0.039548023,0.223163842,0.666666667
