variable,scenario,region,heating_fuel,management,no_replacement,replacement
stock,BAU,AK,electricity,0.083333333,0.833333333,0.083333333
stock,BAU,AK,distillate,0.2578125,0.63671875,0.10546875
stock,BAU,AK,natural gas,0.413978495,0.298387097,0.287634409
stock,BAU,AK,other fuel,0,0,1
stock,BAU,AK,propane,0.5,0.5,0
stock,BAU,AK,wood,0.333333333,0.5625,0.104166667
stock,BAU,AL,electricity,0.209302326,0.721576227,0.069121447
stock,BAU,AL,distillate,0,1,0
stock,BAU,AL,natural gas,0.244766506,0.391841116,0.363392378
stock,BAU,AL,other fuel,0,0,1
stock,BAU,AL,propane,0.165540541,0.432432432,0.402027027
stock,BAU,AL,wood,0.266666667,0.333333333,0.4
stock,BAU,AR,electricity,0.154233871,0.726814516,0.118951613
stock,BAU,AR,distillate,0,0,1
stock,BAU,AR,natural gas,0.256489493,0.313349815,0.430160692
stock,BAU,AR,other fuel,0.5,0,0.5
stock,BAU,AR,propane,0.206703911,0.340782123,0.452513966
stock,BAU,AR,wood,0.216494845,0.484536082,0.298969072
stock,BAU,AZ,electricity,0.205658324,0.746463547,0.047878128
stock,BAU,AZ,distillate,0,0,1
stock,BAU,AZ,natural gas,0.317505315,0.47696669,0.205527994
stock,BAU,AZ,other fuel,0.125,0.708333333,0.166666667
stock,BAU,AZ,propane,0.291970803,0.437956204,0.270072993
stock,BAU,AZ,wood,0.290780142,0.460992908,0.24822695
stock,BAU,CA,electricity,0.375564152,0.537878788,0.08655706
stock,BAU,CA,distillate,0.2,0.4,0.4
stock,BAU,CA,natural gas,0.482951147,0.296271186,0.220777667
stock,BAU,CA,other fuel,0.21509434,0.664150943,0.120754717
stock,BAU,CA,propane,0.374354561,0.382960413,0.242685026
stock,BAU,CA,wood,0.353941267,0.4374034,0.208655332
stock,BAU,CO,electricity,0.124691358,0.70617284,0.169135802
stock,BAU,CO,distillate,0,0,1
stock,BAU,CO,natural gas,0.239569892,0.310752688,0.449677419
stock,BAU,CO,other fuel,0.083333333,0.583333333,0.333333333
stock,BAU,CO,propane,0.265100671,0.298657718,0.436241611
stock,BAU,CO,wood,0.144444444,0.422222222,0.433333333
stock,BAU,CT,electricity,0.082352941,0.794117647,0.123529412
stock,BAU,CT,distillate,0.207001522,0.32014206,0.472856418
stock,BAU,CT,natural gas,0.265091864,0.217847769,0.517060367
stock,BAU,CT,other fuel,0,0.571428571,0.428571429
stock,BAU,CT,propane,0.239130435,0.288043478,0.472826087
stock,BAU,CT,wood,0.244186047,0.313953488,0.441860465
stock,BAU,DC,electricity,0.094339623,0.735849057,0.169811321
stock,BAU,DC,distillate,0,0.25,0.75
stock,BAU,DC,natural gas,0.274096386,0.237951807,0.487951807
stock,BAU,DC,other fuel,0,0,1
stock,BAU,DC,propane,0,1,0
stock,BAU,DC,wood,0,0,1
stock,BAU,DE,electricity,0.157575758,0.727272727,0.115151515
stock,BAU,DE,distillate,0.082089552,0.335820896,0.582089552
stock,BAU,DE,natural gas,0.260952381,0.32,0.419047619
stock,BAU,DE,other fuel,0.111111111,0.555555556,0.333333333
stock,BAU,DE,propane,0.15625,0.59375,0.25
stock,BAU,DE,wood,0.1,0.6,0.3
stock,BAU,FL,electricity,0.120562981,0.849429052,0.030007967
stock,BAU,FL,distillate,0.142857143,0.714285714,0.142857143
stock,BAU,FL,natural gas,0.343297101,0.454710145,0.201992754
stock,BAU,FL,other fuel,0.2,0.8,0
stock,BAU,FL,propane,0.212121212,0.545454545,0.242424242
stock,BAU,FL,wood,0,1,0
stock,BAU,GA,electricity,0.20212766,0.724468085,0.073404255
stock,BAU,GA,distillate,0,1,0
stock,BAU,GA,natural gas,0.304142012,0.352268245,0.343589744
stock,BAU,GA,other fuel,0,0,1
stock,BAU,GA,propane,0.204741379,0.476293103,0.318965517
stock,BAU,GA,wood,0.038461538,0.576923077,0.384615385
stock,BAU,IA,electricity,0.160164271,0.457905544,0.381930185
stock,BAU,IA,distillate,0,0,1
stock,BAU,IA,natural gas,0.137816979,0.176773245,0.685409776
stock,BAU,IA,other fuel,0,0.2,0.8
stock,BAU,IA,propane,0.109149278,0.174959872,0.715890851
stock,BAU,IA,wood,0,0.181818182,0.818181818
stock,BAU,ID,electricity,0.086124402,0.799043062,0.114832536
stock,BAU,ID,distillate,0.166666667,0.222222222,0.611111111
stock,BAU,ID,natural gas,0.223867596,0.392857143,0.383275261
stock,BAU,ID,other fuel,0,0.75,0.25
stock,BAU,ID,propane,0.119047619,0.5,0.380952381
stock,BAU,ID,wood,0.161764706,0.580882353,0.257352941
stock,BAU,IL,electricity,0.178835979,0.546031746,0.275132275
stock,BAU,IL,distillate,0,0,1
stock,BAU,IL,natural gas,0.224295711,0.1432801,0.632424188
stock,BAU,IL,other fuel,0,0,1
stock,BAU,IL,propane,0.191358025,0.191358025,0.617283951
stock,BAU,IL,wood,0.111111111,0.111111111,0.777777778
stock,BAU,IN,electricity,0.181949458,0.592779783,0.225270758
stock,BAU,IN,distillate,0.038461538,0.384615385,0.576923077
stock,BAU,IN,natural gas,0.224493521,0.210804891,0.564701588
stock,BAU,IN,other fuel,0.090909091,0.454545455,0.454545455
stock,BAU,IN,propane,0.142414861,0.280185759,0.577399381
stock,BAU,IN,wood,0.198275862,0.275862069,0.525862069
stock,BAU,KS,electricity,0.167014614,0.572025052,0.260960334
stock,BAU,KS,distillate,0,0,1
stock,BAU,KS,natural gas,0.197198673,0.246959086,0.555842241
stock,BAU,KS,other fuel,0,0.5,0.5
stock,BAU,KS,propane,0.183206107,0.27480916,0.541984733
stock,BAU,KS,wood,0.047619048,0.142857143,0.80952381
stock,BAU,KY,electricity,0.138217523,0.704682779,0.157099698
stock,BAU,KY,distillate,0,0.428571429,0.571428571
stock,BAU,KY,natural gas,0.193151888,0.298507463,0.50834065
stock,BAU,KY,other fuel,0,0,1
stock,BAU,KY,propane,0.136054422,0.397959184,0.465986395
stock,BAU,KY,wood,0.180327869,0.442622951,0.37704918
stock,BAU,LA,electricity,0.171232877,0.752935421,0.075831703
stock,BAU,LA,distillate,0,0,1
stock,BAU,LA,natural gas,0.378014842,0.282931354,0.339053803
stock,BAU,LA,other fuel,0,1,0
stock,BAU,LA,propane,0.339285714,0.375,0.285714286
stock,BAU,LA,wood,0.5,0.25,0.25
stock,BAU,MA,electricity,0.136363636,0.644628099,0.219008264
stock,BAU,MA,distillate,0.178204556,0.293434569,0.528360875
stock,BAU,MA,natural gas,0.263933376,0.180653427,0.555413197
stock,BAU,MA,other fuel,0.157894737,0.526315789,0.315789474
stock,BAU,MA,propane,0.219178082,0.305936073,0.474885845
stock,BAU,MA,wood,0.23,0.25,0.52
stock,BAU,MD,electricity,0.173648134,0.702970297,0.123381569
stock,BAU,MD,distillate,0.101928375,0.393939394,0.504132231
stock,BAU,MD,natural gas,0.258470474,0.291384318,0.450145208
stock,BAU,MD,other fuel,0.076923077,0.576923077,0.346153846
stock,BAU,MD,propane,0.230088496,0.380530973,0.389380531
stock,BAU,MD,wood,0.088888889,0.466666667,0.444444444
stock,BAU,ME,electricity,0.1,0.675,0.225
stock,BAU,ME,distillate,0.195357834,0.294003868,0.510638298
stock,BAU,ME,natural gas,0.232142857,0.214285714,0.553571429
stock,BAU,ME,other fuel,0.037037037,0.481481481,0.481481481
stock,BAU,ME,propane,0.262295082,0.229508197,0.508196721
stock,BAU,ME,wood,0.212962963,0.314814815,0.472222222
stock,BAU,MI,electricity,0.166037736,0.577358491,0.256603774
stock,BAU,MI,distillate,0.103448276,0.267241379,0.629310345
stock,BAU,MI,natural gas,0.244008056,0.182880161,0.573111782
stock,BAU,MI,other fuel,0.161290323,0.387096774,0.451612903
stock,BAU,MI,propane,0.21975089,0.267793594,0.512455516
stock,BAU,MI,wood,0.145945946,0.278378378,0.575675676
stock,BAU,MN,electricity,0.127619048,0.396190476,0.476190476
stock,BAU,MN,distillate,0.010752688,0.075268817,0.913978495
stock,BAU,MN,natural gas,0.149895178,0.13836478,0.711740042
