,ochre_status,nec_version,ev_level,build_existing_model.census_division,case_name,case,outcome,building_count,division_total,division_share,share_type,group
0,post_ochre,nec_2023,L0,East North Central,BAU with Env.,9,management,2615,54322,0.048138876,building_count,1
1,post_ochre,nec_2023,L0,East North Central,BAU with Env.,9,no_management,8295,54322,0.152700563,building_count,1
2,post_ochre,nec_2023,L0,East North Central,BAU with Env.,9,replacement,7446,54322,0.137071536,building_count,1
3,post_ochre,nec_2023,L0,East North Central,Inefficient,1,management,221,54322,0.004068333,building_count,1
4,post_ochre,nec_2023,L0,East North Central,Inefficient,1,no_management,732,54322,0.013475203,building_count,1
5,post_ochre,nec_2023,L0,East North Central,Inefficient,1,replacement,134,54322,0.002466772,building_count,1
6,post_ochre,nec_2023,L0,East North Central,"Low-voltage with Env.
(HPWH and dryer only)",18,management,5974,54322,0.10997386,building_count,1
7,post_ochre,nec_2023,L0,East North Central,"Low-voltage with Env.
(HPWH and dryer only)",18,no_management,15303,54322,0.281709068,building_count,1
8,post_ochre,nec_2023,L0,East North Central,"Low-voltage with Env.
(HPWH and dryer only)",18,replacement,13602,54322,0.250395788,building_count,1
9,post_ochre,nec_2023,L0,East South Central,BAU with Env.,9,management,1085,21224,0.051121372,building_count,1
10,post_ochre,nec_2023,L0,East South Central,BAU with Env.,9,no_management,6660,21224,0.313795703,building_count,1
11,post_ochre,nec_2023,L0,East South Central,BAU with Env.,9,replacement,1607,21224,0.07571617,building_count,1
12,post_ochre,nec_2023,L0,East South Central,Inefficient,1,management,426,21224,0.020071617,building_count,1
13,post_ochre,nec_2023,L0,East South Central,Inefficient,1,no_management,1161,21224,0.054702224,building_count,1
14,post_ochre,nec_2023,L0,East South Central,Inefficient,1,replacement,146,21224,0.006879005,building_count,1
15,post_ochre,nec_2023,L0,East South Central,"Low-voltage with Env.
(HPWH and dryer only)",18,management,805,21224,0.03792876,building_count,1
16,post_ochre,nec_2023,L0,East South Central,"Low-voltage with Env.
(HPWH and dryer only)",18,no_management,8447,21224,0.397992838,building_count,1
17,post_ochre,nec_2023,L0,East South Central,"Low-voltage with Env.
(HPWH and dryer only)",18,replacement,887,21224,0.041792311,building_count,1
18,post_ochre,nec_2023,L0,Middle Atlantic,BAU with Env.,9,management,1820,37786,0.048165987,building_count,1
19,post_ochre,nec_2023,L0,Middle Atlantic,BAU with Env.,9,no_management,5371,37786,0.142142592,building_count,1
20,post_ochre,nec_2023,L0,Middle Atlantic,BAU with Env.,9,replacement,3968,37786,0.105012438,building_count,1
21,post_ochre,nec_2023,L0,Middle Atlantic,Inefficient,1,management,309,37786,0.008177632,building_count,1
22,post_ochre,nec_2023,L0,Middle Atlantic,Inefficient,1,no_management,777,37786,0.020563172,building_count,1
23,post_ochre,nec_2023,L0,Middle Atlantic,Inefficient,1,replacement,253,37786,0.006695602,building_count,1
24,post_ochre,nec_2023,L0,Middle Atlantic,"Low-voltage with Env.
(HPWH and dryer only)",18,management,5428,37786,0.143651088,building_count,1
25,post_ochre,nec_2023,L0,Middle Atlantic,"Low-voltage with Env.
(HPWH and dryer only)",18,no_management,11234,37786,0.29730588,building_count,1
26,post_ochre,nec_2023,L0,Middle Atlantic,"Low-voltage with Env.
(HPWH and dryer only)",18,replacement,8626,37786,0.228285608,building_count,1
27,post_ochre,nec_2023,L0,Mountain,BAU with Env.,9,management,1516,24965,0.060725015,building_count,1
28,post_ochre,nec_2023,L0,Mountain,BAU with Env.,9,no_management,6000,24965,0.240336471,building_count,1
29,post_ochre,nec_2023,L0,Mountain,BAU with Env.,9,replacement,2070,24965,0.082916083,building_count,1
