,build_existing_model.census_division,case_name,case,outcome,building_count,division_total,division_share,share_type
0,East North Central,BAU,2,management,21,4192,0.005009541984732824,building_count
1,East North Central,BAU,2,no_management,95,4192,0.022662213740458015,building_count
2,East North Central,BAU,2,replacement,29,4192,0.00691793893129771,building_count
3,East North Central,BAU,2,smart_panel,1,4192,0.00023854961832061068,building_count
4,East North Central,BAU with Env.,9,management,91,4192,0.021708015267175574,building_count
5,East North Central,BAU with Env.,9,no_management,443,4192,0.10567748091603053,building_count
6,East North Central,BAU with Env.,9,replacement,145,4192,0.03458969465648855,building_count
7,East North Central,BAU with Env.,9,smart_panel,16,4192,0.003816793893129771,building_count
8,East North Central,BAU with HPWH,3,management,1,4192,0.00023854961832061068,building_count
9,East North Central,BAU with HPWH,3,no_management,10,4192,0.002385496183206107,building_count
10,East North Central,BAU with HPWH,3,replacement,6,4192,0.0014312977099236641,building_count
11,East North Central,BAU with HPWH with Env.,10,management,1,4192,0.00023854961832061068,building_count
12,East North Central,BAU with HPWH with Env.,10,no_management,26,4192,0.006202290076335878,building_count
13,East North Central,BAU with HPWH with Env.,10,replacement,38,4192,0.009064885496183206,building_count
14,East North Central,BAU with HPWH with Env.,10,smart_panel,1,4192,0.00023854961832061068,building_count
15,East North Central,"High Eff HP
with HPWH and Env.",12,management,5,4192,0.0011927480916030535,building_count
16,East North Central,"High Eff HP
with HPWH and Env.",12,no_management,28,4192,0.006679389312977099,building_count
17,East North Central,"High Eff HP
with HPWH and Env.",12,replacement,31,4192,0.0073950381679389315,building_count
18,East North Central,High Eff and Low-voltage,7,management,11,4192,0.0026240458015267176,building_count
19,East North Central,High Eff and Low-voltage,7,no_management,94,4192,0.022423664122137404,building_count
20,East North Central,High Eff and Low-voltage,7,replacement,12,4192,0.0028625954198473282,building_count
21,East North Central,"High Eff and Low-voltage
with Env.",14,management,167,4192,0.039837786259541985,building_count
22,East North Central,"High Eff and Low-voltage
with Env.",14,no_management,444,4192,0.10591603053435114,building_count
23,East North Central,"High Eff and Low-voltage
with Env.",14,replacement,85,4192,0.020276717557251907,building_count
24,East North Central,"High Eff and Low-voltage
with Env.",14,smart_panel,10,4192,0.002385496183206107,building_count
25,East North Central,High Eff. HP,4,management,6,4192,0.0014312977099236641,building_count
26,East North Central,High Eff. HP,4,no_management,49,4192,0.011688931297709924,building_count
27,East North Central,High Eff. HP,4,replacement,14,4192,0.0033396946564885495,building_count
28,East North Central,High Eff. HP,4,smart_panel,1,4192,0.00023854961832061068,building_count
