,build_existing_model.census_division,case_name,case,outcome,energy_mbtu,division_total,division_share,share_type
0,East North Central,BAU,2,management,1202.095,233101.05831,0.005156969293555671,energy_weighted
1,East North Central,BAU,2,no_management,4721.377,233101.05831,0.020254635625553716,energy_weighted
2,East North Central,BAU,2,replacement,1806.695,233101.05831,0.007750694111381016,energy_weighted
3,East North Central,BAU,2,smart_panel,25.952,233101.05831,0.00011133368586206313,energy_weighted
4,East North Central,BAU with Env.,9,management,4472.339,233101.05831,0.019186266387740965,energy_weighted
5,East North Central,BAU with Env.,9,no_management,19769.914,233101.05831,0.08481263081057352,energy_weighted
6,East North Central,BAU with Env.,9,replacement,8276.217,233101.05831,0.03550484523752569,energy_weighted
7,East North Central,BAU with Env.,9,smart_panel,897.33,233101.05831,0.0038495320720794203,energy_weighted
8,East North Central,BAU with HPWH,3,management,84.847,233101.05831,0.00036399234141254894,energy_weighted
9,East North Central,BAU with HPWH,3,no_management,479.837,233101.05831,0.002058493442624645,energy_weighted
10,East North Central,BAU with HPWH,3,replacement,451.892,233101.05831,0.0019386098170306502,energy_weighted
11,East North Central,BAU with HPWH with Env.,10,management,54.646,233101.05831,0.0002344305100808532,energy_weighted
12,East North Central,BAU with HPWH with Env.,10,no_management,1522.582,233101.05831,0.006531853656258932,energy_weighted
13,East North Central,BAU with HPWH with Env.,10,replacement,2165.613,233101.05831,0.009290446880425405,energy_weighted
14,East North Central,BAU with HPWH with Env.,10,smart_panel,53.428,233101.05831,0.00022920530857884974,energy_weighted
15,East North Central,"High Eff HP
with HPWH and Env.",12,management,322.39,233101.05831,0.0013830482038020397,energy_weighted
16,East North Central,"High Eff HP
with HPWH and Env.",12,no_management,1780.905,233101.05831,0.007640055403058629,energy_weighted
17,East North Central,"High Eff HP
with HPWH and Env.",12,replacement,2356.76,233101.05831,0.010110464607439732,energy_weighted
18,East North Central,High Eff and Low-voltage,7,management,842.41951,233101.05831,0.0036139669039154266,energy_weighted
19,East North Central,High Eff and Low-voltage,7,no_management,6481.38568,233101.05831,0.027805046133168716,energy_weighted
20,East North Central,High Eff and Low-voltage,7,replacement,962.25805,233101.05831,0.004128072420504833,energy_weighted
21,East North Central,"High Eff and Low-voltage
with Env.",14,management,9805.09214,233101.05831,0.04206369636880951,energy_weighted
22,East North Central,"High Eff and Low-voltage
with Env.",14,no_management,26596.3035,233101.05831,0.11409773809190392,energy_weighted
23,East North Central,"High Eff and Low-voltage
with Env.",14,replacement,6139.89657,233101.05831,0.02634006303752847,energy_weighted
24,East North Central,"High Eff and Low-voltage
with Env.",14,smart_panel,912.76642,233101.05831,0.003915754079443588,energy_weighted
25,East North Central,High Eff. HP,4,management,448.597,233101.05831,0.0019244743170724389,energy_weighted
26,East North Central,High Eff. HP,4,no_management,3404.57,233101.05831,0.014605553594150906,energy_weighted
27,East North Central,High Eff. HP,4,replacement,1010.135,233101.05831,0.00433346380888853,energy_weighted
28,East North Central,High Eff. HP,4,smart_panel,94.748,233101.05831,0.00040646748104418765,energy_weighted
29,East North Central,"High Eff. HP
 With HPWH",5,management,160.228,233101.05831,0.000687375686587032,energy_weighted
30,East North Central,"High Eff. HP
 With HPWH",5,no_management,631.766,233101.05831,0.002710266545250161,energy_weighted
31,East North Central,"High Eff. HP
 With HPWH",5,replacement,363.431,233101.05831,0.0015591134705046034,energy_weighted
32,East North Central,"High Eff. and Low-voltage
(HPWH and dryer only)",17,no_management,1331.3088,233101.05831,0.00571129453316123,energy_weighted
33,East North Central,"High Eff. and Low-voltage
(HPWH and dryer only)",17,replacement,832.7522,233101.05831,0.003572494290834694,energy_weighted
34,East North Central,"High Eff. and Low-voltage
(HPWH and dryer only)",17,smart_panel,144.569,233101.05831,0.0006201988144032292,energy_weighted
35,East North Central,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,management,954.7994000000001,233101.05831,0.004096074925280763,energy_weighted
36,East North Central,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,no_management,5203.2472,233101.05831,0.022321851465299768,energy_weighted
37,East North Central,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,replacement,4660.6212,233101.05831,0.01999399416626355,energy_weighted
38,East North Central,High Efficiency HP with Env.,11,management,3846.938,233101.05831,0.016503305595824348,energy_weighted
39,East North Central,High Efficiency HP with Env.,11,no_management,12026.649,233101.05831,0.05159414155900492,energy_weighted
40,East North Central,High Efficiency HP with Env.,11,replacement,6093.969,233101.05831,0.026143034459739173,energy_weighted
41,East North Central,High Efficiency HP with Env.,11,smart_panel,1112.458,233101.05831,0.0047724279248897595,energy_weighted
42,East North Central,Inefficient,1,management,7156.6539999999995,233101.05831,0.030701936970540904,energy_weighted
43,East North Central,Inefficient,1,no_management,11122.77,233101.05831,0.0477165143763864,energy_weighted
44,East North Central,Inefficient,1,replacement,1434.127,233101.05831,0.006152383049641762,energy_weighted
45,East North Central,Inefficient,1,smart_panel,610.775,233101.05831,0.0026202154740444517,energy_weighted
46,East North Central,Low-voltage,6,management,2234.61565,233101.05831,0.009586467200969099,energy_weighted
47,East North Central,Low-voltage,6,no_management,5227.96345,233101.05831,0.0224278838024294,energy_weighted
48,East North Central,Low-voltage,6,replacement,956.29194,233101.05831,0.004102477899213275,energy_weighted
49,East North Central,"Low-voltage
(HPWH and dryer only)",16,management,94.22,233101.05831,0.00040420236906302357,energy_weighted
50,East North Central,"Low-voltage
(HPWH and dryer only)",16,no_management,1232.3718,233101.05831,0.005286856305736178,energy_weighted
51,East North Central,"Low-voltage
(HPWH and dryer only)",16,replacement,788.7984,233101.05831,0.003383933156369375,energy_weighted
52,East North Central,Low-voltage with Env.,13,management,11074.6134,233101.05831,0.047509923293749805,energy_weighted
53,East North Central,Low-voltage with Env.,13,no_management,26007.657,233101.05831,0.11157245354678974,energy_weighted
54,East North Central,Low-voltage with Env.,13,replacement,7622.02377,233101.05831,0.032698366216182106,energy_weighted
55,East North Central,Low-voltage with Env.,13,smart_panel,85.96823,233101.05831,0.0003688024010842167,energy_weighted
56,East North Central,"Low-voltage with Env.
(HPWH and dryer only)",18,management,1210.6884,233101.05831,0.005193834849046079,energy_weighted
57,East North Central,"Low-voltage with Env.
(HPWH and dryer only)",18,no_management,6226.3128,233101.05831,0.02671078735180883,energy_weighted
58,East North Central,"Low-voltage with Env.
(HPWH and dryer only)",18,replacement,5509.4798,233101.05831,0.0236355846684873,energy_weighted
59,East South Central,BAU,2,management,914.299,88291.00547,0.010355516908352182,energy_weighted
60,East South Central,BAU,2,no_management,6578.612,88291.00547,0.0745105570491585,energy_weighted
61,East South Central,BAU,2,replacement,845.651,88291.00547,0.009577997164018477,energy_weighted
62,East South Central,BAU,2,smart_panel,62.063,88291.00547,0.0007029368356337057,energy_weighted
63,East South Central,BAU with Env.,9,management,1380.635,88291.00547,0.015637323333792134,energy_weighted
64,East South Central,BAU with Env.,9,no_management,16964.244,88291.00547,0.1921401156289267,energy_weighted
65,East South Central,BAU with Env.,9,replacement,2011.272,88291.00547,0.022780032793752708,energy_weighted
66,East South Central,BAU with Env.,9,smart_panel,160.632,88291.00547,0.001819347272634475,energy_weighted
67,East South Central,BAU with HPWH,3,management,427.47,88291.00547,0.00484160303447046,energy_weighted
68,East South Central,BAU with HPWH,3,no_management,3767.186,88291.00547,0.042667834395430405,energy_weighted
69,East South Central,BAU with HPWH,3,replacement,377.035,88291.00547,0.004270367043538892,energy_weighted
70,East South Central,BAU with HPWH with Env.,10,management,133.105,88291.00547,0.0015075714597590252,energy_weighted
71,East South Central,BAU with HPWH with Env.,10,no_management,4326.071,88291.00547,0.04899786764202086,energy_weighted
72,East South Central,BAU with HPWH with Env.,10,replacement,331.498,88291.00547,0.0037546066922143975,energy_weighted
73,East South Central,"High Eff HP
with HPWH and Env.",12,management,1748.586,88291.00547,0.019804803339725743,energy_weighted
74,East South Central,"High Eff HP
with HPWH and Env.",12,no_management,5272.677,88291.00547,0.05971929951337544,energy_weighted
75,East South Central,"High Eff HP
with HPWH and Env.",12,replacement,307.581,88291.00547,0.003483718396485037,energy_weighted
76,East South Central,High Eff and Low-voltage,7,management,877.09838,88291.00547,0.009934175914420017,energy_weighted
77,East South Central,High Eff and Low-voltage,7,no_management,985.1788,88291.00547,0.011158314425751437,energy_weighted
78,East South Central,High Eff and Low-voltage,7,replacement,191.45,88291.00547,0.0021683975505868707,energy_weighted
79,East South Central,"High Eff and Low-voltage
with Env.",14,management,572.84584,88291.00547,0.0064881562617909545,energy_weighted
80,East South Central,"High Eff and Low-voltage
with Env.",14,no_management,1389.63818,88291.00547,0.01573929498936535,energy_weighted
81,East South Central,"High Eff and Low-voltage
with Env.",14,replacement,214.25104,88291.00547,0.002426646280212534,energy_weighted
82,East South Central,High Eff. HP,4,management,709.417,88291.00547,0.008034986080672166,energy_weighted
83,East South Central,High Eff. HP,4,no_management,1536.216,88291.00547,0.01739946206096819,energy_weighted
84,East South Central,High Eff. HP,4,replacement,342.042,88291.00547,0.0038740299555906728,energy_weighted
85,East South Central,"High Eff. HP
 With HPWH",5,management,2948.226,88291.00547,0.03339214435610618,energy_weighted
86,East South Central,"High Eff. HP
 With HPWH",5,no_management,7104.761,88291.00547,0.08046981640065357,energy_weighted
87,East South Central,"High Eff. HP
 With HPWH",5,replacement,464.272,88291.00547,0.005258429185719862,energy_weighted
88,East South Central,"High Eff. and Low-voltage
(HPWH and dryer only)",17,management,524.442,88291.00547,0.00593992555876145,energy_weighted
