county_name,state,cambium_ba,fips_code,cdiv,aia,population,ASHRAE,countryns,emm2020_county,iecc,ba_climate_zone,,cdiv_high
Autauga,AL,90,1001,6,5,60342,3A,161526,SRSE,3,Hot-Humid,,South
Baldwin,AL,90,1003,6,5,253507,2A,161527,SRSE,2,Hot-Humid,,South
Barbour,AL,90,1005,6,5,24585,3A,161528,SRSE,3,Hot-Humid,,South
Bibb,AL,89,1007,6,4,21868,3A,161529,SRSE,3,Mixed-Humid,,South
Blount,AL,90,1009,6,4,59816,3A,161530,SRSE,3,Mixed-Humid,,South
Bullock,AL,90,1011,6,5,9897,3A,161531,SRSE,3,Hot-Humid,,South
Butler,AL,90,1013,6,5,18382,3A,161532,SRSE,3,Hot-Humid,,South
Calhoun,AL,90,1015,6,4,116429,3A,161533,SRSE,3,Mixed-Humid,,South
Chambers,AL,90,1017,6,4,34079,3A,161534,SRSE,3,Mixed-Humid,,South
Cherokee,AL,90,1019,6,4,25666,3A,161535,SRSE,3,Mixed-Humid,,South
Chilton,AL,90,1021,6,4,46431,3A,161536,SRSE,3,Mixed-Humid,,South
Choctaw,AL,89,1023,6,4,12252,3A,161537,SRSE,3,Hot-Humid,,South
Clarke,AL,90,1025,6,5,22337,3A,161538,SRSE,3,Hot-Humid,,South
Clay,AL,90,1027,6,4,14111,3A,161539,SRSE,3,Mixed-Humid,,South
Cleburne,AL,90,1029,6,4,15639,3A,161540,SRSE,3,Mixed-Humid,,South
Coffee,AL,90,1031,6,5,55643,3A,161541,SRSE,3,Hot-Humid,,South
Colbert,AL,89,1033,6,4,58361,3A,161542,SRSE,3,Mixed-Humid,,South
Conecuh,AL,90,1035,6,5,11174,3A,161543,SRSE,3,Hot-Humid,,South
Coosa,AL,90,1037,6,4,10268,3A,161544,SRSE,3,Mixed-Humid,,South
Covington,AL,90,1039,6,4,37952,3A,161545,SRSE,3,Hot-Humid,,South
Crenshaw,AL,90,1041,6,4,13101,3A,161546,SRSE,3,Hot-Humid,,South
Cullman,AL,89,1043,6,4,92016,3A,161547,SRSE,3,Mixed-Humid,,South
Dale,AL,90,1045,6,5,49871,3A,161548,SRSE,3,Hot-Humid,,South
Dallas,AL,90,1047,6,5,36165,3A,161549,SRSE,3,Hot-Humid,,South
DeKalb,AL,89,1049,6,4,72569,3A,161550,SRCE,3,Mixed-Humid,,South
Elmore,AL,90,1051,6,4,90441,3A,161551,SRSE,3,Hot-Humid,,South
Escambia,AL,90,1053,6,5,36558,3A,161552,SRSE,3,Hot-Humid,,South
Etowah,AL,90,1055,6,4,103241,3A,161553,SRSE,3,Mixed-Humid,,South
Fayette,AL,89,1057,6,4,15967,3A,161554,SRSE,3,Mixed-Humid,,South
Franklin,AL,89,1059,6,4,31802,3A,161555,SRSE,3,Mixed-Humid,,South
Geneva,AL,90,1061,6,5,26988,3A,161556,SRSE,3,Hot-Humid,,South
Greene,AL,89,1063,6,4,7341,3A,161557,SRSE,3,Mixed-Humid,,South
Hale,AL,89,1065,6,5,14888,3A,161558,SRSE,3,Mixed-Humid,,South
Henry,AL,90,1067,6,5,17899,3A,161559,SRSE,3,Hot-Humid,,South
Houston,AL,90,1069,6,5,108462,3A,161560,SRSE,3,Hot-Humid,,South
Jackson,AL,89,1071,6,4,53467,3A,161561,SRCE,3,Mixed-Humid,,South
Jefferson,AL,89,1073,6,4,662895,3A,161562,SRSE,3,Mixed-Humid,,South
Lamar,AL,89,1075,6,4,13661,3A,161563,SRSE,3,Mixed-Humid,,South
Lauderdale,AL,89,1077,6,4,96814,3A,161564,SRCE,3,Mixed-Humid,,South
Lawrence,AL,89,1079,6,4,33502,3A,161565,SRSE,3,Mixed-Humid,,South
