State,Generation (TWh),CO2 Emissions (MMT),Residential Electricity Price ($/kWh),Commercial Electricity Price ($/kWh),Total Disposition,Direct Use,Estimated Losses,T&D Loss Factor,Emissions Rate (Mt/TWh)
AL,137.542702,44.803,0.1258,0.1155,137542702.0,5110676.0,4644657.0,0.03507200743119342,0.3375783903616761
AR,54.641259,23.469,0.1041,0.0861,54641259.0,863245.0,2553638.0,0.04748479555232367,0.45092256704349226
AZ,109.305057,35.714,0.12269999999999999,0.1011,109305057.0,220728.0,4564706.0,0.04184566235907268,0.34100658790556676
CA,193.07493,43.444,0.2045,0.1753,277149028.0,12545279.0,13933295.0,0.052657209327748415,0.2375181295300549
CO,54.115011,29.071,0.12359999999999999,0.10289999999999999,59129649.0,83313.0,3121678.0,0.05286827619583372,0.567194272462099
CT,41.190572,10.186,0.2271,0.16579999999999998,41190572.0,862269.0,1510076.0,0.037444570876190846,0.2569094628005392
DC,0.201104,0.0057,0.1263,0.1185,10454555.0,145698.0,545012.0,0.052868324781302135,0.029925663327189878
DE,5.205372,2.667,0.12560000000000002,0.09179999999999999,12443412.0,719476.0,619824.0,0.05286825175435963,0.5409546389754498
FL,250.827799,96.717,0.1127,0.0885,260212309.0,4812909.0,13502527.0,0.05286828003511363,0.40711468503001935
GA,120.126001,39.865,0.1202,0.1008,145761670.0,5157107.0,7433522.0,0.052868284224886784,0.35038408298329016
IA,59.636671,21.135,0.1246,0.09960000000000001,59636671.0,2145887.0,2820350.0,0.049057428056642954,0.3726786977106198
ID,17.686135,2.221,0.09949999999999999,0.0775,26419670.0,650778.0,1362357.0,0.052868280095240416,0.13258831189968093
IL,173.394525,47.512,0.1304,0.0915,173394525.0,4033358.0,7377779.0,0.04356240058265541,0.2864912030874704
IN,89.956915,64.775,0.1283,0.1121,109693445.0,7344405.0,5411018.0,0.05286828288765581,0.7602606071101846
KS,54.541831,20.346,0.1285,0.10400000000000001,54541831.0,207995.0,2199029.0,0.04047255194718812,0.3887692656205456
KY,63.539007,49.75,0.10869999999999999,0.10339999999999999,75921862.0,283494.0,3998871.0,0.05286828769229923,0.826689237494901
LA,100.773771,44.417,0.0967,0.0885,114628655.0,20737854.0,4963845.0,0.05286827833112213,0.46536244166340385
MA,18.214141,7.958,0.21969999999999998,0.1603,53344861.0,662356.0,2785234.0,0.05286829090606075,0.46130149697800976
MD,36.029204,10.219,0.1301,0.09720000000000001,61594764.0,885261.0,3209607.0,0.05286827994622193,0.2994631235726917
ME,10.00187,1.824,0.1681,0.12560000000000002,14076049.0,1935115.0,631948.0,0.052051020127446536,0.19237944388280387
MI,106.624721,53.183,0.16260000000000002,0.11710000000000001,112414862.0,2142041.0,5403007.0,0.048996724224548496,0.5244848056004479
MN,56.510143,20.957,0.1317,0.1043,68883805.0,1337630.0,3567474.0,0.05281533706386779,0.3915327095509696
MO,72.567869,54.133,0.11220000000000001,0.08929999999999999,80041288.0,267786.0,4217488.0,0.052868282001710294,0.787602970224309
MS,66.581788,26.744,0.1117,0.1038,66581788.0,1890489.0,2588783.0,0.04001748364953995,0.41841532856251024
MT,23.35329,10.416,0.1124,0.1051,23369523.0,28108.0,812255.0,0.034798875732255305,0.4620990542920877
NC,124.363443,38.462,0.11380000000000001,0.08689999999999999,139399446.0,2038637.0,7262030.0,0.052868282102211554,0.32653425374114653
ND,42.176424,27.415,0.10439999999999999,0.0902,50610956.0,165889.0,1215218.0,0.02408992736594046,0.6660528564342024
NE,36.848681,20.95,0.10800000000000001,0.0889,36848681.0,333713.0,1736076.0,0.047544228985768246,0.5969215566147233
NH,16.350578,1.728,0.19039999999999999,0.15410000000000001,16350578.0,91163.0,595568.0,0.03662911611518618,0.10970264831883006
NJ,61.106458,14.902,0.1603,0.1235,77268324.0,1421560.0,4009888.0,0.05286828057687471,0.25748211442530866
NM,34.075584,18.656,0.1294,0.10279999999999999,34075584.0,162685.0,1379945.0,0.04069085925092986,0.5707115249173289
NV,40.424745,13.481,0.1134,0.0745,40424745.0,106792.0,2129409.0,0.0528154045915972,0.35207905783547205
NY,129.430271,26.772,0.18359999999999999,0.1456,151910905.0,1992706.0,7819844.0,0.05216073867055994,0.21822789412220409
OH,120.992733,67.225,0.1229,0.0953,151420022.0,1181568.0,7942849.0,0.05286828231073251,0.5866257785220631
OK,82.297832,25.817,0.1012,0.0782,82297832.0,924513.0,3469714.0,0.04263945532318769,0.3276739036790622
OR,63.624782,9.371,0.1117,0.09,63624782.0,492135.0,2841483.0,0.04500813976641911,0.1542268401223188
PA,230.143279,72.284,0.1358,0.085,230143279.0,5141430.0,7781649.0,0.034584822456281236,0.3253342289777397
RI,8.89494,3.357,0.22010000000000002,0.1594,8894940.0,209258.0,409439.0,0.047139533775240675,0.39607643986523616
SC,98.528797,23.081,0.1278,0.1035,98528797.0,2161982.0,4273821.0,0.04434950973527557,0.24512767939693447
SD,14.146539,2.362,0.1175,0.0965,14146539.0,29793.0,707086.0,0.050088455228988325,0.17577071775662864
TN,80.56601,22.782,0.1076,0.1056,102703301.0,2621141.0,5291172.0,0.05286828341834349,0.29855861784989746
TX,473.514913,202.445,0.11710000000000001,0.076,488565606.0,35665123.0,23773836.0,0.05249240593103982,0.45122244475601975
UT,37.087309,26.297,0.10439999999999999,0.0827,37087309.0,640916.0,1763456.0,0.048384925224287625,0.7451085904657969
VA,103.056183,31.807,0.12029999999999999,0.07629999999999999,126270992.0,2748969.0,6530397.0,0.052868280824707674,0.32586541844156863
VT,2.156407,0.0011,0.1954,0.16390000000000002,16221564.0,7921.0,296932.0,0.018313712717123475,0.0005196240309997778
WA,116.114468,11.999,0.0987,0.0892,122945880.0,841296.0,4829035.0,0.039548351436175404,0.10759280013184963
WI,61.448545,33.174,0.1432,0.1075,72817808.0,1764109.0,3756487.0,0.05286828205805302,0.5700013124634459
WV,56.661533,49.518,0.11800000000000001,0.094,56661533.0,760925.0,1786482.0,0.03195818549952086,0.9027773576602245
WY,42.010989,37.556,0.11109999999999999,0.0965,42010989.0,1504219.0,853850.0,0.021079192441164775,0.9132062286696248
