ASHRAE	TRE	FRCC	MISW	MISC	MISE	MISS	ISNE	NYCW	NYUP	PJME	PJMW	PJMC	PJMD	SRCA	SRSE	SRCE	SPPS	SPPC	SPPN	SRSG	CANO	CASO	NWPP	RMRG	BASN
1A	0.0	0.2203929807	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2A	0.576617943	0.7796070193	0.0	0.0	0.0	0.5744617817	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.2067011099	0.0	0.03314751534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2B	0.02049573807	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6409599243	0.0	0.0	0.0	0.0	0.0
3A	0.3650679477	0.0	0.0	0.0	0.0	0.4092727584	0.0	0	0.0	0.0	0.0	0	0.05267801241	0.6568510607	0.734698107	0.2155684827	0.7335492015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3B	0.03769643971	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.07394011378	0.0	0.0	0.1609714419	0.4784321027	0.9625761306	0.0	0.0	0.298421812
3C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4772246492	0.03605095292	0.0	0.0	0.0
4A	0.0	0.0	0.0	0.5112549251	0.0	0.01626545994	0.0	1	0.0	0.6632963562	0.248457971	0	0.9473219876	0.3337698952	0.05860078308	0.7844315173	0.08128768039	0.9375588395	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4B	0.0001219315983	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.07807548896	0.0	0.0	0.1141823452	0.02778087687	0.0008051157857	0.0	0.005636639098	0.0
4C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008551678729	0.0	0.7176179247	0.0	0.0
5A	0.0	0.0	0.1497583448	0.4887450749	0.8984777574	0.0	0.8358752606	0	0.737162451	0.3250920087	0.751542029	1	0.0	0.009379044138	0.0	0.0	0.0	0.06244116048	0.5472374518	0.0	0.0	0.0	0.0	0.003585593438	0.0
5B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08388628871	0.007937867524	0.0	0.1701772037	0.8910755836	0.5633926195
5C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01884790031	0.0	0.0
6A	0.0	0.0	0.7669858655	0.0	0.1015222426	0.0	0.1596787018	0	0.262837549	0.01161163507	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.3012788259	0.0	0.0	0.0	0.0	0.0087198939	0.0
6B	0.0	0.0	0.0004710750768	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00807018073	0.0	7.282505825e-05	0.0005678006616	0.09335697127	0.06658716511	0.1319467453
7	0.0	0.0	0.08278471461	0.0	0.0	0.0	0.004446037557	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.1434135416	0.0	0.0	0.0	0.0	0.02439512481	0.006238823249
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
