End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.211231656,0.208522733,0.491154832,0.089090779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.137776494,0.173683139,0.13006893,0,0,0,0,0,0.378615412,0.179856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.393898288,0.130691654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232216299,0.24058918,0,0,0,0,0.00260458,0,0
heating,5,0,0.132021117,0,0,0,0,0,0,0,0.111338804,0.126956641,0,0.184339933,0.308831978,0.131394219,0.005117308,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.044644636,0,0,0,0,0.028505838,0,0,0,0.182288203,0.744561323,0,0,0,0,0,0,0,0,0,0
heating,7,0.597018619,0,0,0,0,0.167052684,0,0,0,0,0,0,0,0,0,0,0.232888548,0,0,0.003040149,0,0,0,0,0,0
heating,8,0,0,0.001415814,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011848674,0,0.005051668,0.184390591,0,0,0.131293464,0.345836799,0.32016299,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002554814,0.337851923,0.456200287,0.186541808,0,0,0.016851167
cooling,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0.294363469,0.142861345,0.490454481,0.072320705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0.100610145,0.188968227,0.156454078,0,0,0,0,0,0.350128403,0.203839147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,4,0,0,0.265425868,0.226121339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377685323,0.129351197,0,0,0,0,0.001416273,0,0
cooling,5,0,0.446531566,0,0,0,0,0,0,0,0.050543867,0.043873377,0,0.092463848,0.201393322,0.163822883,0.001371137,0,0,0,0,0,0,0,0,0,0
