CDIV	TRE	FRCC	MISW	MISC	MISE	MISS	ISNE	NYCW	NYUP	PJME	PJMW	PJMC	PJMD	SRCA	SRSE	SRCE	SPPS	SPPC	SPPN	SRSG	CANO	CASO	NWPP	RMRG	BASN
1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	6.90826E-05	0.284560258	0.205668168	0.439605615	0.070096877	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.136652302	0.190701801	0.198048154	0	0	0	0	0	0.292873198	0.181724544	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0.391182995	0.176089552	4.54787E-07	5.89905E-07	0	0	0	0	0	0	0	0	0	0	0	0.27345862	0.142780056	0	0	0	0	0.016487736	0
5	0	0.291191609	0	0	0	0	0	0	0	0.1228172	0.04847172	0	0.154542308	0.2189867	0.15882868	0.005161784	0	0	0	0	0	0	0	0	0
6	0	0	0	0.007939791	0	0.073582494	0	0	0	0	0.055245438	0	0	5.03582E-06	0.212658311	0.65056893	0	0	0	0	0	0	0	0	0
7	0.628033911	0	0	0	0	0.17546456	0	0	0	0	0	0	0	0	0	0	0.181073272	0.000112742	0	0.015315515	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026138748	4.93771E-05	0.004645037	0.36035277	3.4197E-08	4.71919E-07	0.066737539	0.23808373	0.303992295
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018004553	0.264224698	0.406172277	0.276283505	0	0.001349875
																									
