End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
cooling,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0.2043442839869103,0.19311038286080062,0.5103794577135317,0.09216587543875762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0.13033199000215204,0.15458023298531515,0.20937769913538096,0,0,0,0,0,0.35169309207177474,0.1540169858053771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,4,0,0,0.3544648238481337,0.1604752667790158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2963481446883563,0.18582908205916063,0,0,0,0,0.002882682625333459,0,0
cooling,5,0,0.3170644830807033,0,0,0,0,0,0,0,0.07200071720610773,0.06577193196230983,0,0.10237846831943383,0.2566974362292287,0.1843152765810579,0.0017716866211587587,0,0,0,0,0,0,0,0,0,0
cooling,6,0,0,0,0,0,0.07345715591677425,0,0,0,0,0.024375693453054622,0,0,0,0.27343934677054965,0.6287278038596213,0,0,0,0,0,0,0,0,0,0
cooling,7,0.5626417041650154,0,0,0,0,0.19773909838383077,0,0,0,0,0,0,0,0,0,0,0.2131963935881306,0,0,0.02642280386302335,0,0,0,0,0,0
cooling,8,0,0,0.00041198530044605645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008150208158203982,0,0.0011286396245841208,0.33737652303563603,0,0,0.059417080453219535,0.2583462118738861,0.33516935155402405,0
cooling,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021923653637909092,0.3092650665478761,0.36717895769464803,0.28825310885884126,0,0,0.03311050153484363
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.17838543374899038,0.19153685769866668,0.5459272574838439,0.08415045106849908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.11974581152280432,0.2068142225703666,0.13227135406591836,0,0,0,0,0,0.37296917762057624,0.1681994342203345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.30393216103739273,0.20004551786166577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2855162885270215,0.20742267591045535,0,0,0,0,0.00308335666346459,0,0
heating,5,0,0.42678868006080745,0,0,0,0,0,0,0,0.04848130890788841,0.048834941106281025,0,0.08087880017213452,0.248740681528234,0.14394530036253497,0.0023302878621196768,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.060287262864038384,0,0,0,0,0.0179890943666945,0,0,0,0.30922400224078217,0.612499640528485,0,0,0,0,0,0,0,0,0,0
heating,7,0.6284611917967138,0,0,0,0,0.20721702347957033,0,0,0,0,0,0,0,0,0,0,0.15681583253819098,0,0,0.0075059521855248505,0,0,0,0,0,0
heating,8,0,0,0.0007468286597817318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010057497157403065,0,0.0008861224257640151,0.4749157775098262,0,0,0.061470398548483185,0.18747906326720995,0.2644443124315318,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337803938480563,0.28348408799250674,0.34142578523212047,0.35356668229918614,0,0,0.018145405091381038
