Technology,End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
res_type_central_AC,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
res_type_central_AC,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053796812980639,0.1939294913843478,0.507955202259025,0.0927356250585632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
res_type_central_AC,cooling,3,0.0,0.0,0.1284578899291485,0.1512396371004252,0.2133045757379597,0.0,0.0,0.0,0.0,0.0,0.3551531460629568,0.1518447511695097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
res_type_central_AC,cooling,4,0.0,0.0,0.3563399737433077,0.1605946836493843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2981030668957602,0.1822770238166935,0.0,0.0,0.0,0.0,0.0026852518948539,0.0,
res_type_central_AC,cooling,5,0.0,0.2772290217246773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0814618649842327,0.0704541133541589,0.0,0.1085120518413433,0.2593353022951057,0.2014648884831031,0.0015427573173787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
res_type_central_AC,cooling,6,0.0,0.0,0.0,0.0,0.0,0.074197680747259,0.0,0.0,0.0,0.0,0.0260239537617948,0.0,0.0,0.0,0.2675054987818982,0.6322728667090478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
res_type_central_AC,cooling,7,0.5579290802986009,0.0,0.0,0.0,0.0,0.1986708023212581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2155740292338211,0.0,0.0,0.0278260881463198,0.0,0.0,0.0,0.0,0.0,
res_type_central_AC,cooling,8,0.0,0.0,0.0003711882844501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080680357720294,0.0,0.0007432339408697,0.3256596194968193,0.0,0.0,0.0574952370018445,0.2615657395994578,0.3460969459045289,
res_type_central_AC,cooling,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023305222263536,0.3244876863309186,0.3892727502546065,0.283909041188121,0.0,0.0,
wall-window_room_AC,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
wall-window_room_AC,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053796812980639,0.1939294913843478,0.507955202259025,0.0927356250585632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
wall-window_room_AC,cooling,3,0.0,0.0,0.1284578899291485,0.1512396371004252,0.2133045757379597,0.0,0.0,0.0,0.0,0.0,0.3551531460629568,0.1518447511695097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
wall-window_room_AC,cooling,4,0.0,0.0,0.3563399737433077,0.1605946836493843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2981030668957602,0.1822770238166935,0.0,0.0,0.0,0.0,0.0026852518948539,0.0,
