End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.30256856543307625,0.26074642604321785,0.40711716938933495,0.02956783913437089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.20090335514214508,0.0792529354680442,0.13493055855427194,0,0,0,0,0,0.5527116550357981,0.03220149579974063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.4901385393897574,0.0695396011784491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1878210536899533,0.24931493693864937,0,0,0,0,0.0031858688031910134,0,0
heating,5,0,0.006917212983400221,0,0,0,0,0,0,0,0.3222544245561171,0.148155494907102,0,0.19482432630404958,0.2762453445756911,0.05126636264251464,0.0003368340311254103,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.13369539708792522,0,0,0,0,0.07070183853110812,0,0,0,0.15541333273329577,0.6401894316476708,0,0,0,0,0,0,0,0,0,0
heating,7,0.45614209025049623,0,0,0,0,0.13292035385308393,0,0,0,0,0,0,0,0,0,0,0.4005436143565003,0,0,0.010393941539919443,0,0,0,0,0,0
heating,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027304918506009302,0,0.008960251811374031,0.10543384097178013,0,0,0.32138313862508017,0.3243383164204615,0.2371539603207031,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.855026772359419e-06,0.37110432428680507,0.16601582881700497,0.4315870558727571,0,0,0.03128393599666067
cooling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0.20858219020281107,0.2945689925069967,0.4615754893485105,0.0352733279416818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0.20372700207757716,0.057591295594251316,0.18159245218359785,0,0,0,0,0,0.4089453618625372,0.14814388828203645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,4,0,0,0.34430969149217977,0.07682712392792475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3150572949844849,0.25708409121717096,0,0,0,0,0.006721798378239333,0,0
water heating,5,0,0.4713605029245996,0,0,0,0,0,0,0,0.08022101574546045,0.026659226940269443,0,0.06898202986001709,0.2595427949959527,0.09323442953370059,0.0,0,0,0,0,0,0,0,0,0,0
water heating,6,0,0,0,0,0,0.13682799436525034,0,0,0,0,0.0036976730048836042,0,0,0,0.2845184684873238,0.5749558641425423,0,0,0,0,0,0,0,0,0,0
water heating,7,0.7030135400373113,0,0,0,0,0.12280696276510103,0,0,0,0,0,0,0,0,0,0,0.162228348742098,0,0,0.011951148455489799,0,0,0,0,0,0
water heating,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020124167611906173,0,0.0013950485065877811,0.370739427113009,0,0,0.11233627807226985,0.3325803350382888,0.16282474365793845,0
water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066835091523482085,0.3027182160943758,0.1511844290537992,0.5318756400634661,0,0,0.007538205636010528
misc,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,2,0,0,0,0,0,0,0,0.25952982574854633,0.19191561996063547,0.4636095063859308,0.08494504790488741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,3,0,0,0.15654861334000766,0.14374015746389537,0.17527520970133764,0,0,0,0,0,0.3293668771002899,0.19506914239446937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,4,0,0,0.3762819666415433,0.16265893343272905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2720381125519782,0.1872404093423178,0,0,0,0,0.0017805780314317054,0,0
misc,5,0,0.339804329416522,0,0,0,0,0,0,0,0.068690024044118,0.06918679432441187,0,0.11936442410029237,0.23575236972860766,0.16538267468381618,0.0018193837022319344,0,0,0,0,0,0,0,0,0,0
misc,6,0,0,0,0,0,0.08581608642155814,0,0,0,0,0.030173139004133463,0,0,0,0.26389248224641837,0.6201182923278902,0,0,0,0,0,0,0,0,0,0
