End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.3420702917952994,0.20085547941406842,0.4276885346882675,0.029385694102364607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.15503805788000713,0.09181540122122475,0.1214073884532393,0,0,0,0,0,0.5928036476088604,0.03893550483666848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.40007993590708285,0.11215104466381166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30610665434457135,0.17879345836452573,0,0,0,0,0.0028689067200082952,0,0
heating,5,0,0.07332150258848032,0,0,0,0,0,0,0,0.23737840353237427,0.10258324029603504,0,0.19571610796475442,0.306457902963486,0.08395661440743686,0.000586228247432939,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.19513494912884963,0,0,0,0,0.04635336133322215,0,0,0,0.23348477442543183,0.5250269151124964,0,0,0,0,0,0,0,0,0,0
heating,7,0.6234066717188284,0,0,0,0,0.10176485441165474,0,0,0,0,0,0,0,0,0,0,0.24926904090472365,0,0,0.0255594329647932,0,0,0,0,0,0
heating,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003820803766150815,0,0.001638477529276363,0.2985495880645755,0,0,0.15109291130103678,0.34022983766350107,0.20466838167545962,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031375803293612874,0.3652190601639563,0.3810729206953182,0.24412420567822182,0,0,0.006446233133142473
water heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0.3756873813822723,0.1451162484334196,0.4467368918336837,0.03245947835062431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0.1731191802012321,0.04060167783681913,0.17661552158884428,0,0,0,0,0,0.4323796136782295,0.1772840066948749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,4,0,0,0.3815971351451286,0.08020489355497305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3529923018820501,0.18278854294296276,0,0,0,0,0.002417126474885432,0,0
water heating,5,0,0.2730210389297653,0,0,0,0,0,0,0,0.18554218360977592,0.10483335219172661,0,0.1285432154852477,0.2587409813617735,0.049319228421711,0,0,0,0,0,0,0,0,0,0,0
water heating,6,0,0,0,0,0,0.21281642917970903,0,0,0,0,0.04396178251041403,0,0,0,0.2359314071364622,0.5072903811734147,0,0,0,0,0,0,0,0,0,0
water heating,7,0.662682751350782,0,0,0,0,0.14167126048657866,0,0,0,0,0,0,0,0,0,0,0.18824902153804318,0,0,0.007396966624596077,0,0,0,0,0,0
water heating,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043314740151632865,0,0.000158418692543333,0.3569594248356108,0,0,0.13252856631025775,0.3755440324980821,0.13047808364834274,0
water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005327736630810481,0.3918300657943119,0.429500426858641,0.16760068488917465,0,0,0.0057410858270620126
misc,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,2,0,0,0,0,0,0,0,0.2968607867740936,0.17034795260142604,0.4517054059210644,0.08108585470341606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,3,0,0,0.13545907037177446,0.1537674916142867,0.1843325312348702,0,0,0,0,0,0.3238531034469233,0.20258780333214524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,4,0,0,0.3476343578504271,0.16302956969977347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28597787372719874,0.20241673075584435,0,0,0,0,0.0009414679667563752,0,0
misc,5,0,0.37822466509775565,0,0,0,0,0,0,0,0.06634415023566834,0.05895157351753125,0,0.1327909285252795,0.2118676306208567,0.14957468905173346,0.002246362951175067,0,0,0,0,0,0,0,0,0,0
misc,6,0,0,0,0,0,0.09679844382612264,0,0,0,0,0.023393530161105208,0,0,0,0.2649708995412773,0.6148371264714947,0,0,0,0,0,0,0,0,0,0
misc,7,0.6112037502518748,0,0,0,0,0.185071550554526,0,0,0,0,0,0,0,0,0,0,0.18085834164108325,0,0,0.022866357552515933,0,0,0,0,0,0
misc,8,0,0,9.275949148123715e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010080691058660902,0,0.0023545971609394245,0.3292922314836332,0,0,0.03879258885124218,0.24806791291295904,0.37131921904108395,0
misc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015891504530594356,0.24427453174876468,0.4010234736232569,0.2546004032494261,0,0,0.09851244092549277
