End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.17304034598957807,0.20721285470621997,0.538473608191902,0.08127319111229996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.13480129680296812,0.19881526494039164,0.10758448555745109,0,0,0,0,0,0.3886781132002058,0.1701208394989834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.3621694084287143,0.15927898037432983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23122088697211834,0.24518972628973434,0,0,0,0,0.002140997935103119,0,0
heating,5,0,0.11817621062058282,0,0,0,0,0,0,0,0.12143706419097776,0.12386108824395164,0,0.18795082296038856,0.3114654028234405,0.13214139526707272,0.004968015893585839,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.046788644741725005,0,0,0,0,0.029352605051660256,0,0,0,0.17653388412247145,0.7473248660841433,0,0,0,0,0,0,0,0,0,0
heating,7,0.6005663160722364,0,0,0,0,0.14837836267413856,0,0,0,0,0,0,0,0,0,0,0.24803958902471027,0,0,0.0030157322289145797,0,0,0,0,0,0
heating,8,0,0,0.0009894359461332417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011194421102366143,0,0.0018558311812193707,0.1618631117900446,0,0,0.11294008468778564,0.3676673388365224,0.34348977645592854,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002021051555137161,0.23655862033487057,0.3179570127917201,0.4107322512642223,0,0,0.032731064054049824
cooling,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0.3284723264940359,0.13293489329008887,0.46217878197835705,0.07641399823751822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0.09671091008175771,0.18392738444096327,0.1581367419833274,0,0,0,0,0,0.34240859108107813,0.21881637241287352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,4,0,0,0.26878682003725024,0.23310417507288617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3624401291450857,0.13480131576440385,0,0,0,0,0.0008675599803739505,0,0
cooling,5,0,0.46068003565527776,0,0,0,0,0,0,0,0.04895364481985554,0.041229663403055714,0,0.10173536910150174,0.18928409842230712,0.15709219192308974,0.0010249966749124317,0,0,0,0,0,0,0,0,0,0
cooling,6,0,0,0,0,0,0.09185235845952962,0,0,0,0,0.014247745307988682,0,0,0,0.3057959184326816,0.5881039777998001,0,0,0,0,0,0,0,0,0,0
cooling,7,0.6668019468877067,0,0,0,0,0.1715872854837641,0,0,0,0,0,0,0,0,0,0,0.14223271534401583,0,0,0.019378052284513534,0,0,0,0,0,0
cooling,8,0,0,4.827678987628665e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934546907769401,0,0.000748821774346966,0.5101549043679746,0,0,0.012817463030768687,0.1413211297022344,0.3255639352571049,0
cooling,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004999371410380187,0.23681149077509928,0.5389091683850826,0.12500865653321025,0,0,0.09427131289622785
water heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0.2434257745337153,0.20183112702613532,0.4740921368902071,0.08065096154994222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0.14648702714752432,0.14456090276882344,0.15861907131866504,0,0,0,0,0,0.3226577865308243,0.22767521223416307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,4,0,0,0.39639710552840735,0.16443186810498722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24440559130517334,0.19301024772309633,0,0,0,0,0.001755187338335743,0,0
water heating,5,0,0.38129666114316313,0,0,0,0,0,0,0,0.06250510172063574,0.07352439089549198,0,0.11861485075089391,0.21092811206734982,0.1505006616181636,0.002630221804301899,0,0,0,0,0,0,0,0,0,0
water heating,6,0,0,0,0,0,0.08428977831591583,0,0,0,0,0.027372827774086474,0,0,0,0.26095639703292023,0.6273809968770775,0,0,0,0,0,0,0,0,0,0
water heating,7,0.6468920106757053,0,0,0,0,0.17926856679729666,0,0,0,0,0,0,0,0,0,0,0.1560322847181273,0,0,0.017807137808870666,0,0,0,0,0,0
water heating,8,0,0,6.826892852770148e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009629096460687167,0,0.0014264914727871553,0.3322282021508538,0,0,0.0447647960341241,0.25553217949477824,0.35635096545824185,0
water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014641172680467257,0.2561880327784892,0.3937631190883878,0.28516704647442637,0,0,0.0634176843906499
fans and pumps,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fans and pumps,2,0,0,0,0,0,0,0,0.2725799570675262,0.17561501035772234,0.46608363024618094,0.08572140232857065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fans and pumps,3,0,0,0.1222886146738962,0.15235412677891658,0.17782180851361498,0,0,0,0,0,0.3269745393557377,0.22056091067783457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fans and pumps,4,0,0,0.3450511566882022,0.18368427508051358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30327135542212674,0.1660070591095047,0,0,0,0,0.001986153699652863,0,0
fans and pumps,5,0,0.32173994343963236,0,0,0,0,0,0,0,0.07425797335345424,0.0692441886124514,0,0.12734158099142406,0.22737957456478636,0.17851030974304552,0.0015264292952060637,0,0,0,0,0,0,0,0,0,0
fans and pumps,6,0,0,0,0,0,0.08957413667820406,0,0,0,0,0.021099192357564942,0,0,0,0.2624547715217456,0.6268718994424854,0,0,0,0,0,0,0,0,0,0
fans and pumps,7,0.634561487494668,0,0,0,0,0.15758884985630217,0,0,0,0,0,0,0,0,0,0,0.18086566590911868,0,0,0.026983996739911056,0,0,0,0,0,0
fans and pumps,8,0,0,0.00011125969915485252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008241465818032513,0,0.0009619058183171608,0.36367610986981985,0,0,0.033777212264558786,0.25124298188125194,0.34198906464886497,0
fans and pumps,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025543595366681773,0.307346619546177,0.5065100539708949,0.15084053742027798,0,0,0.03274842952598199
lighting,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting,2,0,0,0,0,0,0,0,0.234542231751994,0.18577941441575144,0.4970101216529349,0.08266823217931965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting,3,0,0,0.1241911527031973,0.14916312032729961,0.18262212368379255,0,0,0,0,0,0.33522625004571227,0.2087973532399983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting,4,0,0,0.353150829438724,0.17963185001454046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31682856790840447,0.14894620663534447,0,0,0,0,0.0014425460029865126,0,0
lighting,5,0,0.30492519249952066,0,0,0,0,0,0,0,0.0758656867384849,0.06879021015807953,0,0.1256288123541977,0.24055388750678203,0.182730336487915,0.0015058742550201703,0,0,0,0,0,0,0,0,0,0
lighting,6,0,0,0,0,0,0.08138219932030225,0,0,0,0,0.01830346761692745,0,0,0,0.24241086024698624,0.657903472815784,0,0,0,0,0,0,0,0,0,0
lighting,7,0.6320634344765288,0,0,0,0,0.16275619011005646,0,0,0,0,0,0,0,0,0,0,0.18213905699545652,0,0,0.02304131841795814,0,0,0,0,0,0
lighting,8,0,0,0.00011876740840839114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007930533071498784,0,0.0009356991597091993,0.3484444648833795,0,0,0.03707611877006154,0.2478515944653919,0.3576428222415508,0
lighting,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016949338812258389,0.2547509645518812,0.4055371601671645,0.288921910213076,0,0,0.04909503118665228
refrigeration,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refrigeration,2,0,0,0,0,0,0,0,0.1932112316183079,0.23599900375555985,0.47683398112694964,0.09395578349918257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refrigeration,3,0,0,0.1630732358175946,0.17433454813835658,0.19295170881184628,0,0,0,0,0,0.32171757774136944,0.14792292949083308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refrigeration,4,0,0,0.33760076914584153,0.13321632511101011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2840222176627765,0.24030021896395598,0,0,0,0,0.004860469116415757,0,0
refrigeration,5,0,0.30361891178241684,0,0,0,0,0,0,0,0.07412079182900981,0.07488818893529653,0,0.1121545925068439,0.24772446033328263,0.1844838858501314,0.0030091687630188217,0,0,0,0,0,0,0,0,0,0
refrigeration,6,0,0,0,0,0,0.08835903039197873,0,0,0,0,0.022618028601814513,0,0,0,0.27791410691836294,0.6111088340878438,0,0,0,0,0,0,0,0,0,0
refrigeration,7,0.5679685640611839,0,0,0,0,0.1847774254672377,0,0,0,0,0,0,0,0,0,0,0.22879757600116915,0,0,0.018456434470409355,0,0,0,0,0,0
