End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.2934078402600703,0.15038091362164757,0.49505712300538274,0.06115412311289956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.11261786079924066,0.17799484987155992,0.11647108142295823,0,0,0,0,0,0.32548131771412275,0.26743489019211847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.3412937007353227,0.2005038086216977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2907087636634966,0.1662111303443733,0,0,0,0,0.0012825966351096743,0,0
heating,5,0,0.42820909902808174,0,0,0,0,0,0,0,0.06311998534476314,0.04807533667591703,0,0.10689034749401731,0.22040138229155254,0.13152088600653872,0.0017829631591294607,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.06797141585773044,0,0,0,0,0.019121240854042706,0,0,0,0.28983767423874884,0.623069669049478,0,0,0,0,0,0,0,0,0,0
heating,7,0.7244139303757371,0,0,0,0,0.147979775031521,0,0,0,0,0,0,0,0,0,0,0.12253393828067888,0,0,0.005072356312063073,0,0,0,0,0,0
heating,8,0,0,0.00021883448034863462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006183871974604081,0,0.0003320951077579861,0.44885698831676896,0,0,0.033824470600673555,0.20009869275450742,0.31048504676533933,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016875342019143898,0.2561954652882229,0.3778541262632186,0.3234722704672052,0,0,0.04079060377943887
cooling,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0.2732025262763868,0.16361665677605175,0.48527264332587583,0.07790817362168569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0.11805626377517647,0.14884588760529666,0.17666869786313483,0,0,0,0,0,0.32881697867107484,0.22761217208531725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,4,0,0,0.3704086460355268,0.163515510202793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3126332345149956,0.15247326750766427,0,0,0,0,0.0009693417390204182,0,0
cooling,5,0,0.30334357499192205,0,0,0,0,0,0,0,0.0839435499116753,0.06363205586858003,0,0.1357631692635414,0.22893634080017428,0.1831165243225567,0.0012647848415503556,0,0,0,0,0,0,0,0,0,0
cooling,6,0,0,0,0,0,0.08415756950009162,0,0,0,0,0.01813942581430414,0,0,0,0.24152800573078964,0.6561749989548147,0,0,0,0,0,0,0,0,0,0
cooling,7,0.6597746016891414,0,0,0,0,0.14824662030912727,0,0,0,0,0,0,0,0,0,0,0.16973727874252503,0,0,0.02224149925920639,0,0,0,0,0,0
cooling,8,0,0,0.0001191218365625292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006933080474863731,0,0.0010350995790878383,0.3268122027248527,0,0,0.035559335276974316,0.27030291256150263,0.3592382475461563,0
cooling,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014616398063055159,0.2726665854077683,0.3738429407409861,0.2971018174678519,0,0,0.05492701657708811
water heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0.307899542700901,0.15883625149539535,0.4579764776827633,0.0752877281209404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0.12278370878077435,0.15549708333689607,0.1709214487928584,0,0,0,0,0,0.31522401777250886,0.2355737413169624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,4,0,0,0.3724398475218858,0.17407190580737952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2660027438656198,0.18639882845760333,0,0,0,0,0.0010866743475115037,0,0
water heating,5,0,0.33963451396081745,0,0,0,0,0,0,0,0.0778197562476179,0.06568731944620533,0,0.14510399391058823,0.21165282618708137,0.15836122223360763,0.0017403680140821297,0,0,0,0,0,0,0,0,0,0
water heating,6,0,0,0,0,0,0.08601306592229442,0,0,0,0,0.022174096150461158,0,0,0,0.2550944365627765,0.6367184013644678,0,0,0,0,0,0,0,0,0,0
water heating,7,0.6523368870609914,0,0,0,0,0.1652316552027007,0,0,0,0,0,0,0,0,0,0,0.16186886862436706,0,0,0.020562589111940876,0,0,0,0,0,0
water heating,8,0,0,0.00012655154717137147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010763466901848946,0,0.0014769795748413035,0.3400779650166315,0,0,0.03822692397380403,0.26523372824815067,0.3440943847375522,0
water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015568479939804263,0.3018990061289961,0.48012630615203583,0.17138773292251958,0,0,0.045030106802468085
fans and pumps,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fans and pumps,2,0,0,0,0,0,0,0,0.2711269062249385,0.16441805045476302,0.48713960311272575,0.07731544020757275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fans and pumps,3,0,0,0.11809086356115703,0.14882685858526085,0.17636522886607736,0,0,0,0,0,0.3292809850829954,0.22743606390450927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fans and pumps,4,0,0,0.37107602989977034,0.16285525028918504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31365316864048765,0.1514542254685902,0,0,0,0,0.0009613257019667818,0,0
fans and pumps,5,0,0.3022415425347475,0,0,0,0,0,0,0,0.08421412843491505,0.06355637833094785,0,0.13586701133128823,0.22954600152043422,0.18331574536579653,0.0012591924818706405,0,0,0,0,0,0,0,0,0,0
fans and pumps,6,0,0,0,0,0,0.08418711094361203,0,0,0,0,0.018147363552505142,0,0,0,0.24153268297508748,0.6561328425287953,0,0,0,0,0,0,0,0,0,0
fans and pumps,7,0.6595300478013096,0,0,0,0,0.14810927429646986,0,0,0,0,0,0,0,0,0,0,0.17000539716470622,0,0,0.02235528073751433,0,0,0,0,0,0
fans and pumps,8,0,0,0.00011746451360019053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006836621640763217,0,0.0010206984050442458,0.3260284993304223,0,0,0.03563613407961931,0.27075103427547575,0.3596095477550751,0
fans and pumps,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013184771968407073,0.27583815889669133,0.4170387804306155,0.2582135714927892,0,0,0.04759101198306339
lighting,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting,2,0,0,0,0,0,0,0,0.270263749343192,0.1640504030167874,0.48850217699890597,0.07718367064111463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting,3,0,0,0.11813927138570697,0.14896071050632598,0.17614404528098423,0,0,0,0,0,0.32947286892553507,0.22728310390144782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting,4,0,0,0.37113660464067094,0.16277059250486164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31373175066266984,0.15140142995317715,0,0,0,0,0.0009596222386203763,0,0
lighting,5,0,0.3023045087645973,0,0,0,0,0,0,0,0.08420652889081653,0.06355064295721846,0,0.13585475059353155,0.2295252871225818,0.18329920281982767,0.0012590788514267666,0,0,0,0,0,0,0,0,0,0
lighting,6,0,0,0,0,0,0.08414020840552593,0,0,0,0,0.01813725324701249,0,0,0,0.24162052185365523,0.6561020164938064,0,0,0,0,0,0,0,0,0,0
lighting,7,0.6595300478013096,0,0,0,0,0.14810927429646986,0,0,0,0,0,0,0,0,0,0,0.17000539716470622,0,0,0.02235528073751433,0,0,0,0,0,0
lighting,8,0,0,0.00011739327642163183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068324755235944275,0,0.0010200793953339413,0.32628671311130303,0,0,0.035614522296036635,0.27059270188533435,0.35953611451197603,0
lighting,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013037358968274102,0.28465025174836706,0.44943469429044863,0.22338261426206082,0,0,0.04122870380229606
refrigeration,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refrigeration,2,0,0,0,0,0,0,0,0.31497318558293874,0.15876801204795365,0.4475579923110277,0.07870081005807984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refrigeration,3,0,0,0.12466259270750288,0.1635540236991385,0.19008696278887457,0,0,0,0,0,0.297587025623257,0.2241093951812271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refrigeration,4,0,0,0.35488569278057225,0.14922544244775632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27801079058161454,0.2167229766679559,0,0,0,0,0.001155097522100968,0,0
refrigeration,5,0,0.3434626843574231,0,0,0,0,0,0,0,0.08035175768356428,0.06166805939175301,0,0.1404158808537798,0.20749577397206517,0.16445119337116518,0.002154650370249357,0,0,0,0,0,0,0,0,0,0
refrigeration,6,0,0,0,0,0,0.09713254491033252,0,0,0,0,0.020410163221516692,0,0,0,0.27058857348174414,0.6118687183864067,0,0,0,0,0,0,0,0,0,0
refrigeration,7,0.6238667440878986,0,0,0,0,0.17237219332366815,0,0,0,0,0,0,0,0,0,0,0.18003202847909405,0,0,0.0237290341093393,0,0,0,0,0,0
refrigeration,8,0,0,0.00018559459041563996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012488880639501737,0,0.0022808064640952755,0.323928537391284,0,0,0.038274447381291134,0.25285436873925293,0.36998736479415906,0
refrigeration,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013127163943498841,0.26410370478969314,0.4024719010258532,0.2437788169334617,0,0,0.088332860856642
misc,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,2,0,0,0,0,0,0,0,0.270263749343192,0.1640504030167874,0.48850217699890597,0.07718367064111463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,3,0,0,0.11813927138570697,0.14896071050632598,0.17614404528098423,0,0,0,0,0,0.32947286892553507,0.22728310390144782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,4,0,0,0.37113660464067094,0.16277059250486164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31373175066266984,0.15140142995317715,0,0,0,0,0.0009596222386203763,0,0
misc,5,0,0.3023045087645973,0,0,0,0,0,0,0,0.08420652889081653,0.06355064295721846,0,0.13585475059353155,0.2295252871225818,0.18329920281982767,0.0012590788514267666,0,0,0,0,0,0,0,0,0,0
misc,6,0,0,0,0,0,0.08414020840552593,0,0,0,0,0.01813725324701249,0,0,0,0.24162052185365523,0.6561020164938064,0,0,0,0,0,0,0,0,0,0
misc,7,0.6595300478013096,0,0,0,0,0.14810927429646986,0,0,0,0,0,0,0,0,0,0,0.17000539716470622,0,0,0.02235528073751433,0,0,0,0,0,0
misc,8,0,0,0.00011739327642163183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068324755235944275,0,0.0010200793953339413,0.32628671311130303,0,0,0.035614522296036635,0.27059270188533435,0.35953611451197603,0
misc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013037358968274102,0.28465025174836706,0.44943469429044863,0.22338261426206082,0,0,0.04122870380229606
