Technology,End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
res_type_central_AC,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
res_type_central_AC,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.224614291,0.178977457,0.517268067,0.079140185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
res_type_central_AC,cooling,3,0.0,0.0,0.120147766,0.145205399,0.178955108,0.0,0,0.0,0.0,0.0,0.341918746,0.21377298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
res_type_central_AC,cooling,4,0.0,0.0,0.363205423,0.16625328,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327918223,0.141576383,0.0,0.0,0.0,0.0,0.001046691,0.0,0.0
res_type_central_AC,cooling,5,0.0,0.283236348,0.0,0.0,0.0,0.0,0,0.0,0.0,0.08750456,0.062653577,0.0,0.124802359,0.239949278,0.201062511,0.000791367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
res_type_central_AC,cooling,6,0.0,0.0,0.0,0.0,0.0,0.080302103,0,0.0,0.0,0.0,0.016890582,0.0,0.0,0.0,0.229207645,0.67359967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
res_type_central_AC,cooling,7,0.650623721,0.0,0.0,0.0,0.0,0.150422268,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176178576,0.0,0.0,0.022775434,0.0,0.0,0.0,0.0,0.0,0.0
res_type_central_AC,cooling,8,0.0,0.0,0.000145611,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006291997,0.0,0.000478252,0.309967508,0.0,0.0,0.035002176,0.273678131,0.374436326,0.0
res_type_central_AC,cooling,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001932165,0.295596901,0.404219109,0.298251826,0.0,0.0,0.0
wall-window_room_AC,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wall-window_room_AC,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.224614291,0.178977457,0.517268067,0.079140185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wall-window_room_AC,cooling,3,0.0,0.0,0.120147766,0.145205399,0.178955108,0.0,0,0.0,0.0,0.0,0.341918746,0.21377298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wall-window_room_AC,cooling,4,0.0,0.0,0.363205423,0.16625328,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327918223,0.141576383,0.0,0.0,0.0,0.0,0.001046691,0.0,0.0
wall-window_room_AC,cooling,5,0.0,0.283236348,0.0,0.0,0.0,0.0,0,0.0,0.0,0.08750456,0.062653577,0.0,0.124802359,0.239949278,0.201062511,0.000791367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wall-window_room_AC,cooling,6,0.0,0.0,0.0,0.0,0.0,0.080302103,0,0.0,0.0,0.0,0.016890582,0.0,0.0,0.0,0.229207645,0.67359967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wall-window_room_AC,cooling,7,0.650623721,0.0,0.0,0.0,0.0,0.150422268,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176178576,0.0,0.0,0.022775434,0.0,0.0,0.0,0.0,0.0,0.0
wall-window_room_AC,cooling,8,0.0,0.0,0.000145611,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006291997,0.0,0.000478252,0.309967508,0.0,0.0,0.035002176,0.273678131,0.374436326,0.0
wall-window_room_AC,cooling,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001932165,0.295596901,0.404219109,0.298251826,0.0,0.0,0.0
chiller,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiller,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.365900917,0.123930482,0.433073274,0.077095327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiller,cooling,3,0.0,0.0,0.111723123,0.154994183,0.182063676,0.0,0,0.0,0.0,0.0,0.290356644,0.260862375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiller,cooling,4,0.0,0.0,0.420028169,0.134120489,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281531655,0.164141549,0.0,0.0,0.0,0.0,0.000178138,0.0,0.0
chiller,cooling,5,0.0,0.178652654,0.0,0.0,0.0,0.0,0,0.0,0.0,0.115648691,0.092982241,0.0,0.214866366,0.20066014,0.195241982,0.001947927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiller,cooling,6,0.0,0.0,0.0,0.0,0.0,0.121824093,0,0.0,0.0,0.0,0.026529265,0.0,0.0,0.0,0.220586822,0.63105982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiller,cooling,7,0.683553896,0.0,0.0,0.0,0.0,0.13671303,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155481682,0.0,0.0,0.024251392,0.0,0.0,0.0,0.0,0.0,0.0
chiller,cooling,8,0.0,0.0,6.17e-05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009797597,0.0,0.002141736,0.316481972,0.0,0.0,0.041692392,0.288715657,0.341108898,0.0
chiller,cooling,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000520858,0.303410788,0.442276506,0.253791848,0.0,0.0,0.0
ASHP,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.285857153,0.169539884,0.493345953,0.051257009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,cooling,3,0.0,0.0,0.101523194,0.173161902,0.067170086,0.0,0,0.0,0.0,0.0,0.403919711,0.254225107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,cooling,4,0.0,0.0,0.319208318,0.215415304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249112867,0.214182242,0.0,0.0,0.0,0.0,0.00208127,0.0,0.0
ASHP,cooling,5,0.0,0.461508938,0.0,0.0,0.0,0.0,0,0.0,0.0,0.043967933,0.044502662,0.0,0.084364767,0.230883803,0.132537444,0.002234453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,cooling,6,0.0,0.0,0.0,0.0,0.0,0.064068807,0,0.0,0.0,0.0,0.015624533,0.0,0.0,0.0,0.338174322,0.582132338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
