End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
cooling,1,0,0,0,0,0,0,0.2714259435128197,0,0,0,0,0,0,0,0,0,0,0,0,0.3992073099210389,0,0.11041753319116998,0,0,0,0,0,0,0,0,0.09728317998938106,0,0,0,0,0,0,0,0,0.08660715302199429,0,0,0,0,0,0,0.03505888036359622,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2484213700099608,0,0,0.40750893522406245,0,0,0,0.3440696947659767,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21720511698576697,0.14290372071590554,0,0,0,0,0,0,0.23151833203602273,0,0,0,0,0,0,0,0,0,0,0,0,0.2841759063676474,0,0,0,0,0,0,0,0,0,0,0,0,0.12419692389465724,0,0
cooling,4,0,0,0,0,0,0,0,0,0,0,0,0,0.13375106328147043,0,0,0,0.15854053068806498,0,0,0,0,0,0,0.24810398438712145,0.29828288077930715,0,0,0,0.033620734373702534,0.09470318591448541,0,0,0,0,0,0,0,0,0,0,0,0.032997620575847986,0,0,0,0,0,0,0,0,0
cooling,5,0,0,0,0,0,0,0,0.011933377882072554,0.012512240135509289,0.34353233313531323,0.15842102674015074,0,0,0,0,0,0,0,0,0,0.07599039624511146,0,0,0,0,0,0,0.16325741227232488,0,0,0,0,0,0,0,0,0,0,0,0,0.10133978606828684,0,0,0,0,0.10125586462863904,0,0,0,0.031757562892592045,0
cooling,6,0,0.26521838946187376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20961286248142533,0,0,0,0,0,0,0,0.1302338269880247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3949349210686762,0,0,0,0,0,0,0,0
cooling,7,0,0,0.08351740207370074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12450699024140158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1233800049332295,0,0,0,0,0,0,0.6685956027516682,0,0,0,0,0,0,0
cooling,8,0,0,0,0.25127653702668956,0,0.24472581931133733,0,0,0,0,0,0,0,0.10186440572293083,0,0,0,0,0,0,0,0,0,0,0,0,0.04035604233154037,0,0,0,0,0,0.09812025489371914,0.11716281301839461,0,0,0,0,0,0,0,0,0,0,0.12630818424434267,0,0,0,0,0,0.020185943451045532
cooling,9,0.012534167561010001,0,0,0,0.6801841076601229,0,0,0,0,0,0,0.020576333973833627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12125249308745163,0,0,0,0,0,0,0,0,0,0.16545289771758173,0,0,0
heating,1,0,0,0,0,0,0,0.31783956728833174,0,0,0,0,0,0,0,0,0,0,0,0,0.397096933914725,0,0.0870430063422932,0,0,0,0,0,0,0,0,0.08855635391122806,0,0,0,0,0,0,0,0,0.07866376607358176,0,0,0,0,0,0,0.030800372469840343,0,0,0,0
