End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
heating,1,0,0,0,0,0,0,0.23802310161197268,0,0,0,0,0,0,0,0,0,0,0,0,0.3347187472032045,0,0.1951811174960013,0,0,0,0,0,0,0,0,0.13316536175427726,0,0,0,0,0,0,0,0,0.05640152907016767,0,0,0,0,0,0,0.042510142864376536,0,0,0,0
heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10212699698833361,0,0,0.5639047848960982,0,0,0,0.3339682181155683,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05323542814709057,0.09646558473966306,0,0,0,0,0,0,0.16272572611641856,0,0,0,0,0,0,0,0,0,0,0,0,0.5017283578675135,0,0,0,0,0,0,0,0,0,0,0,0,0.18584490312931423,0,0
heating,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2392223592672019,0,0,0,0.08140826456980961,0,0,0,0,0,0,0.34756715548338313,0.1759523902985928,0,0,0,0.055790825286244954,0.04808638378930057,0,0,0,0,0,0,0,0,0,0,0,0.05197262130546706,0,0,0,0,0,0,0,0,0
heating,5,0,0,0,0,0,0,0,0.00145553301603503,0.06316805728581483,0.008453905097656358,0.05006650455938391,0,0,0,0,0,0,0,0,0,0.3061963161047758,0,0,0,0,0,0,0.24703762433750323,0,0,0,0,0,0,0,0,0,0,0,0,0.050475235164339036,0,0,0,0,0.21341197256164138,0,0,0,0.05973485187285042,0
heating,6,0,0.1634866187603144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3978109528394662,0,0,0,0,0,0,0,0.17988621838627758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2588162100139418,0,0,0,0,0,0,0,0
heating,7,0,0,0.1406771159966154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018979339588135104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29853743937634014,0,0,0,0,0,0,0.5418061050389094,0,0,0,0,0,0,0
heating,8,0,0,0,0.04738204265937456,0,0.28042081796064,0,0,0,0,0,0,0,0.20765269268171344,0,0,0,0,0,0,0,0,0,0,0,0,0.23891755808361828,0,0,0,0,0,0.08251408280095668,0.05913034027640604,0,0,0,0,0,0,0,0,0,0,0.03395352791533643,0,0,0,0,0,0.0500289376219546
heating,9,0.03128393599666067,0,0,0,0.6087635142400744,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1514186944148527,0,0,0,0,0,0,0,0,0,0.20853385534841237,0,0,0
cooling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
