End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,HI
heating,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2627973940844618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3445213801867602,0.0,0.1658768305754275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1274887739953532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0616314046497535,0.0,0.0,0.0,0.0,0.0,0.0,0.0376842165082436,0.0,0.0,0.0,0.0,0.0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1056322030663299,0.0,0.0,0.543323289991096,0.0,0.0,0.0,0.351044506942574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0609765168749989,0.1029235807103492,0.0,0.0,0.0,0.0,0.0,0.0,0.1403040011213029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5456415973283397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1501543039650092,0.0,0.0,0.0
heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2094597269740408,0.0,0.0,0.0,0.1074749781451979,0.0,0.0,0.0,0.0,0.0,0.0,0.2534340975873557,0.3107827208631851,0.0,0.0,0.0,0.0351696914178395,0.0434471147543295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0402316702580512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005990013379726,0.0524424497560924,0.0793530166093884,0.0785113286339616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2248302396377061,0.0,0.0,0.0,0.0,0.0,0.0,0.2548911969621934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0717119788257849,0.0,0.0,0.0,0.0,0.2061784763246385,0.0,0.0,0.0,0.0314823119122617,0.0,0.0
heating,6,0.0,0.2455563447919417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.280615593676664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257194427838654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2166336336927402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,7,0.0,0.0,0.0863383152034916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319845590477919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1519402720152576,0.0,0.0,0.0,0.0,0.0,0.0,0.7297368537334588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heating,8,0.0,0.0,0.0,0.1599176466991038,0.0,0.3006548339874937,0.0,0.0,0.0,0.0,0.0,0.0,0.1104152501318646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161546724917234,0.0,0.0,0.0,0.0,0.0,0.1708679319827895,0.0618103808202585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0518842421243721,0.0,0.0,0.0,0.0,0.0,0.0282950417623941,0.0
heating,9,0.0064462331331424,0.0,0.0,0.0,0.7719483862426193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0921154932820657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1294898873421726,0.0,0.0,0.0,0.0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2415642982872845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2869699063005921,0.0,0.1967369400874529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1409659202906088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0740798723889159,0.0,0.0,0.0,0.0,0.0,0.0,0.0596830626451456,0.0,0.0,0.0,0.0,0.0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1352146739204212,0.0,0.0,0.5211611086961273,0.0,0.0,0.0,0.3436242173834515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193724495988526,0.0412144512291072,0.0,0.0,0.0,0.0,0.0,0.0,0.2092464217302901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3907472730308106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1650673580212661,0.0,0.0,0.0
water heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1205794198628099,0.0,0.0,0.0,0.1314298860393979,0.0,0.0,0.0,0.0,0.0,0.0,0.3059304195634483,0.3017673093976252,0.0,0.0,0.0,0.0550994775564806,0.0539019561360689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312915314441691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006997536527888,0.0268985138176074,0.280075517041497,0.0422647503099793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2163804687586489,0.0,0.0,0.0,0.0,0.0,0.0,0.2190425029507742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462810196425375,0.0,0.0,0.0,0.0,0.1328591244806504,0.0,0.0,0.0,0.0354983493455164,0.0,0.0
water heating,6,0.0,0.276082156150257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3141884830136474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2149800585151414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194749302320954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
