End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
heating,1,0,0,0,0,0,0,0.2680550406008362,0,0,0,0,0,0,0,0,0,0,0,0,0.4714473586370296,0,0.09515241719033136,0,0,0,0,0,0,0,0,0.07730525308044957,0,0,0,0,0,0,0,0,0.06322635248537414,0,0,0,0,0,0,0.02481357800597909,0,0,0,0
heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14342812921436676,0,0,0.3817625056853225,0,0,0,0.4748093651003108,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23148766638637253,0.19071255550240707,0,0,0,0,0,0,0.1269315920237516,0,0,0,0,0,0,0,0,0,0,0,0,0.3193767810957695,0,0,0,0,0,0,0,0,0,0,0,0,0.13149140499169937,0,0
heating,4,0,0,0,0,0,0,0,0,0,0,0,0,0.13593827278252604,0,0,0,0.11030773300513019,0,0,0,0,0,0,0.25295580418209934,0.280192134341318,0,0,0,0.08084373737200232,0.10064575490061771,0,0,0,0,0,0,0,0,0,0,0,0.03911656341630642,0,0,0,0,0,0,0,0,0
heating,5,0,0,0,0,0,0,0,0.015958391585610892,0.016837060021214153,0.1293300482085135,0.1215235627927855,0,0,0,0,0,0,0,0,0,0.14110077355789727,0,0,0,0,0,0,0.22772841929490575,0,0,0,0,0,0,0,0,0,0,0,0,0.09691282032461959,0,0,0,0,0.20187644624974083,0,0,0,0.048732477964712605,0
heating,6,0,0.19600421109720373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27239265778633676,0,0,0,0,0,0,0,0.08691817339827768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44468495771818184,0,0,0,0,0,0,0,0
heating,7,0,0,0.10034489033777903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783385211102468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14584482351433728,0,0,0,0,0,0,0.6754717650376368,0,0,0,0,0,0,0
heating,8,0,0,0,0.12964403202307517,0,0.34891867572474167,0,0,0,0,0,0,0,0.17692295785153628,0,0,0,0,0,0,0,0,0,0,0,0,0.07231888713902916,0,0,0,0,0,0.04584805829815467,0.10775638032042059,0,0,0,0,0,0,0,0,0,0,0.07991352849768193,0,0,0,0,0,0.03867748014536061
heating,9,0.029756484462094987,0,0,0,0.5597101581747338,0,0,0,0,0,0,0.0029745795919548365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1448356431428271,0,0,0,0,0,0,0,0,0,0.26272313462838925,0,0,0
cooling,1,0,0,0,0,0,0,0.27164547316595977,0,0,0,0,0,0,0,0,0,0,0,0,0.4925939268944825,0,0.07077559469216206,0,0,0,0,0,0,0,0,0.07279054772922453,0,0,0,0,0,0,0,0,0.06938514112372783,0,0,0,0,0,0,0.022809316394443425,0,0,0,0
