End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
heating,1,0,0,0,0,0,0,0.28122261270793486,0,0,0,0,0,0,0,0,0,0,0,0,0.4984870135572473,0,0.06839190256975831,0,0,0,0,0,0,0,0,0.06218613574708082,0,0,0,0,0,0,0,0,0.06283469101344213,0,0,0,0,0,0,0.026877644404536567,0,0,0,0
heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18660879037873115,0,0,0.44804031267215205,0,0,0,0.36535089694911677,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33958209488524205,0.14135329413802228,0,0,0,0,0,0,0.1321199890219937,0,0,0,0,0,0,0,0,0,0,0,0,0.2775120582542552,0,0,0,0,0,0,0,0,0,0,0,0,0.10943256370048685,0,0
heating,4,0,0,0,0,0,0,0,0,0,0,0,0,0.13077546695132858,0,0,0,0.12293092971889862,0,0,0,0,0,0,0.23574526029855297,0.3682816425662957,0,0,0,0.03422885379740393,0.08596790747876608,0,0,0,0,0,0,0,0,0,0,0,0.022069939188754134,0,0,0,0,0,0,0,0,0
heating,5,0,0,0,0,0,0,0,0.013769487231435675,0.009052871627529555,0.44629049941389975,0.11380679583393752,0,0,0,0,0,0,0,0,0,0.07367297621466803,0,0,0,0,0,0,0.13888382564988438,0,0,0,0,0,0,0,0,0,0,0,0,0.08787462377189906,0,0,0,0,0.10179822839229435,0,0,0,0.014850691864451726,0
heating,6,0,0.2865579055191485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19332007871541262,0,0,0,0,0,0,0,0.13149736069520684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388624655070232,0,0,0,0,0,0,0,0
heating,7,0,0,0.050213900498976505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1023984682340486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062142734750612494,0,0,0,0,0,0,0.7852448965163623,0,0,0,0,0,0,0
heating,8,0,0,0,0.40759093285857834,0,0.1919078858505935,0,0,0,0,0,0,0,0.06387297089796108,0,0,0,0,0,0,0,0,0,0,0,0,0.023172123579819036,0,0,0,0,0,0.04869795616109848,0.1929440305436738,0,0,0,0,0,0,0,0,0,0,0.060995008410665054,0,0,0,0,0,0.010819091697610665
heating,9,0.01088460153227865,0,0,0,0.6364897243337255,0,0,0,0,0,0,0.029906002247160217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11400238593340314,0,0,0,0,0,0,0,0,0,0.20871728595343245,0,0,0
cooling,1,0,0,0,0,0,0,0.2550128016133996,0,0,0,0,0,0,0,0,0,0,0,0,0.4882034807708743,0,0.08285176294431076,0,0,0,0,0,0,0,0,0.07770599580421997,0,0,0,0,0,0,0,0,0.06930522872542517,0,0,0,0,0,0,0.026920730141770113,0,0,0,0
