End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
heating,1,0,0,0,0,0,0,0.24071155147038903,0,0,0,0,0,0,0,0,0,0,0,0,0.527874460877979,0,0.055318896990815054,0,0,0,0,0,0,0,0,0.06752900590780955,0,0,0,0,0,0,0,0,0.08466045187941529,0,0,0,0,0,0,0.023905632873592104,0,0,0,0
heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22339156488530043,0,0,0.4717846797455558,0,0,0,0.30482375536914386,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2780443631317772,0.11528068188185969,0,0,0,0,0,0,0.22743283071724113,0,0,0,0,0,0,0,0,0,0,0,0,0.24887352644603208,0,0,0,0,0,0,0,0,0,0,0,0,0.13036859782309002,0,0
heating,4,0,0,0,0,0,0,0,0,0,0,0,0,0.16722134114074805,0,0,0,0.10962968786006015,0,0,0,0,0,0,0.3551351105332695,0.20892255657070938,0,0,0,0.03810107295473629,0.09240394250148944,0,0,0,0,0,0,0,0,0,0,0,0.028586288438987115,0,0,0,0,0,0,0,0,0
heating,5,0,0,0,0,0,0,0,0.03809561313775185,0.035679695078892903,0.024890844829418106,0.18802503647248367,0,0,0,0,0,0,0,0,0,0.2041896568069029,0,0,0,0,0,0,0.1727106724320297,0,0,0,0,0,0,0,0,0,0,0,0,0.05841524076865705,0,0,0,0,0.20495062139256764,0,0,0,0.07304261908129628,0
heating,6,0,0.1307408374801634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381248391532907,0,0,0,0,0,0,0,0.09416112661733225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39384964436959724,0,0,0,0,0,0,0,0
heating,7,0,0,0.11758714230675693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07515288935671957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24935111133962254,0,0,0,0,0,0,0.5579088569969008,0,0,0,0,0,0,0
heating,8,0,0,0,0.04888198678956233,0,0.3961348054971964,0,0,0,0,0,0,0,0.10286665880821637,0,0,0,0,0,0,0,0,0,0,0,0,0.07632322705684817,0,0,0,0,0,0.07196812108706108,0.06892086272938511,0,0,0,0,0,0,0,0,0,0,0.1897268053161837,0,0,0,0,0,0.04517753271554681
heating,9,0.03988793390424982,0,0,0,0.7085773715095005,0,0,0,0,0,0,0.002432070838735255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08788902436435848,0,0,0,0,0,0,0,0,0,0.16121359938315588,0,0,0
cooling,1,0,0,0,0,0,0,0.24069389128455324,0,0,0,0,0,0,0,0,0,0,0,0,0.530581479569542,0,0.0514970388141351,0,0,0,0,0,0,0,0,0.0661604488754622,0,0,0,0,0,0,0,0,0.08781520321677581,0,0,0,0,0,0,0.023251938239531558,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22972790972628815,0,0,0.4646467138566397,0,0,0,0.30562537641707227,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2786527749161375,0.11544202283179733,0,0,0,0,0,0,0.22805492673682806,0,0,0,0,0,0,0,0,0,0,0,0,0.2477972188624997,0,0,0,0,0,0,0,0,0,0,0,0,0.13005305665273756,0,0
cooling,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1679633304254213,0,0,0,0.11016413562765073,0,0,0,0,0,0,0.3561753156816577,0.20899536877157185,0,0,0,0.03828392666097831,0.09193352468434189,0,0,0,0,0,0,0,0,0,0,0,0.026484398148378205,0,0,0,0,0,0,0,0,0
cooling,5,0,0,0,0,0,0,0,0.03260279548527424,0.035594437999735246,0.019736603595110175,0.19087637127039875,0,0,0,0,0,0,0,0,0,0.20612680624327767,0,0,0,0,0,0,0.17536072862391888,0,0,0,0,0,0,0,0,0,0,0,0,0.05840267289052024,0,0,0,0,0.2058363034055686,0,0,0,0.07546328048619623,0
cooling,6,0,0.1308643745988096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382508261644911,0,0,0,0,0,0,0,0.09368154108592212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3929458226703573,0,0,0,0,0,0,0,0
cooling,7,0,0,0.11781278084805313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758469774180202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24818912469698953,0,0,0,0,0,0,0.5581511170369371,0,0,0,0,0,0,0
cooling,8,0,0,0,0.045501901276732086,0,0.40102817841079735,0,0,0,0,0,0,0,0.10483709401108132,0,0,0,0,0,0,0,0,0,0,0,0,0.07442740544829252,0,0,0,0,0,0.06957174558126641,0.064216752623747,0,0,0,0,0,0,0,0,0,0,0.19425468160772574,0,0,0,0,0,0.046162241040357495
cooling,9,0.038535615816456134,0,0,0,0.7163144210357015,0,0,0,0,0,0,0.0025550312836060806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08514096034884121,0,0,0,0,0,0,0,0,0,0.15745397151539497,0,0,0
water heating,1,0,0,0,0,0,0,0.25818473937608594,0,0,0,0,0,0,0,0,0,0,0,0,0.49293976360620473,0,0.07551093995172017,0,0,0,0,0,0,0,0,0.07022614584129369,0,0,0,0,0,0,0,0,0.08259676747378805,0,0,0,0,0,0,0.0205416437509075,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24017086807791027,0,0,0.4420324492326235,0,0,0,0.31779668268946626,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28216427836317926,0.12200777927225755,0,0,0,0,0,0,0.18886325981708263,0,0,0,0,0,0,0,0,0,0,0,0,0.2674668312994887,0,0,0,0,0,0,0,0,0,0,0,0,0.13949785124799188,0,0
water heating,4,0,0,0,0,0,0,0,0,0,0,0,0,0.13916517184748958,0,0,0,0.1274779968875427,0,0,0,0,0,0,0.3034365358318522,0.2740918174915096,0,0,0,0.03742234502382323,0.08480676675240527,0,0,0,0,0,0,0,0,0,0,0,0.03359936616537746,0,0,0,0,0,0,0,0,0
water heating,5,0,0,0,0,0,0,0,0.019180783093438077,0.021445089482744744,0.26201266635788156,0.16855878425219764,0,0,0,0,0,0,0,0,0,0.10373149389767784,0,0,0,0,0,0,0.15835394516826523,0,0,0,0,0,0,0,0,0,0,0,0,0.07828527646957095,0,0,0,0,0.14003452319434154,0,0,0,0.04839743808388252,0
water heating,6,0,0.21355753284225815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2526038091891127,0,0,0,0,0,0,0,0.1422037406943781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3916349172742511,0,0,0,0,0,0,0,0
water heating,7,0,0,0.07365684974484275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14213785424228695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10101868068647896,0,0,0,0,0,0,0.6831866153263914,0,0,0,0,0,0,0
water heating,8,0,0,0,0.1851919803352106,0,0.2928049985591018,0,0,0,0,0,0,0,0.06429126755826044,0,0,0,0,0,0,0,0,0,0,0,0,0.0410571477139403,0,0,0,0,0,0.08455815223557216,0.16993493768021725,0,0,0,0,0,0,0,0,0,0,0.13481535726285776,0,0,0,0,0,0.027346158654839754
water heating,9,0.014538461784278232,0,0,0,0.7179468158029971,0,0,0,0,0,0,0.041573931259204874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08789174807826114,0,0,0,0,0,0,0,0,0,0.1380490430752584,0,0,0
misc,1,0,0,0,0,0,0,0.24046469143680518,0,0,0,0,0,0,0,0,0,0,0,0,0.4422755507976687,0,0.1069505045427075,0,0,0,0,0,0,0,0,0.08969385663096596,0,0,0,0,0,0,0,0,0.09072520714507155,0,0,0,0,0,0,0.029890189446781186,0,0,0,0
misc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2316173851485301,0,0,0.460914619086021,0,0,0,0.3074679957654489,0,0,0,0,0,0,0,0,0,0,0,0
misc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2563049845984261,0.12618746552130722,0,0,0,0,0,0,0.1944953296199699,0,0,0,0,0,0,0,0,0,0,0,0,0.27302655072021736,0,0,0,0,0,0,0,0,0,0,0,0,0.14998566954007939,0,0
misc,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1405109404957957,0,0,0,0.13308372317849707,0,0,0,0,0,0,0.26959129243422564,0.30161332280621017,0,0,0,0.032482525882888615,0.09210222170410554,0,0,0,0,0,0,0,0,0,0,0,0.03061597349827732,0,0,0,0,0,0,0,0,0
misc,5,0,0,0,0,0,0,0,0.017214008595031968,0.014548253665269621,0.3612295021687142,0.14443117682591525,0,0,0,0,0,0,0,0,0,0.07152815483883958,0,0,0,0,0,0,0.14618904389133985,0,0,0,0,0,0,0,0,0,0,0,0,0.09780312025942733,0,0,0,0,0.11273079795958046,0,0,0,0.03432594179588177,0
misc,6,0,0.253546869326975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2090628900864894,0,0,0,0,0,0,0,0.14841765455249878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3889725860340369,0,0,0,0,0,0,0,0
misc,7,0,0,0.07098687388938081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13513520390135364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11001582443632273,0,0,0,0,0,0,0.6838620977729427,0,0,0,0,0,0,0
misc,8,0,0,0,0.24810826459563223,0,0.2596987523411447,0,0,0,0,0,0,0,0.0759480296002291,0,0,0,0,0,0,0,0,0,0,0,0,0.040406176435621,0,0,0,0,0,0.08566415841197847,0.1583463209612968,0,0,0,0,0,0,0,0,0,0,0.10389488598189388,0,0,0,0,0,0.027933411672203767
misc,9,0.006182375199177704,0,0,0,0.8490236870743052,0,0,0,0,0,0,0.021742084663328325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051367552780348436,0,0,0,0,0,0,0,0,0,0.07168430028284027,0,0,0
