End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
heating,1,0,0,0,0,0,0,0.2537845845313173,0,0,0,0,0,0,0,0,0,0,0,0,0.5579711230625284,0,0.03815377250480407,0,0,0,0,0,0,0,0,0.053662727041351166,0,0,0,0,0,0,0,0,0.07532912949613922,0,0,0,0,0,0,0.021098663363859838,0,0,0,0
heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2556040640951953,0,0,0.42835165868861214,0,0,0,0.3160442772161925,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2872879456800462,0.1348891577304832,0,0,0,0,0,0,0.19726009869514202,0,0,0,0,0,0,0,0,0,0,0,0,0.2663738595047837,0,0,0,0,0,0,0,0,0,0,0,0,0.11418893838954486,0,0
heating,4,0,0,0,0,0,0,0,0,0,0,0,0,0.13522533796135489,0,0,0,0.14977874814196854,0,0,0,0,0,0,0.27402525068125627,0.3199889019200675,0,0,0,0.01935122278868365,0.08106868586269136,0,0,0,0,0,0,0,0,0,0,0,0.02056185264397769,0,0,0,0,0,0,0,0,0
heating,5,0,0,0,0,0,0,0,0.030736029815076702,0.020666429064503798,0.15285302761342176,0.23547552595685764,0,0,0,0,0,0,0,0,0,0.1256941378871375,0,0,0,0,0,0,0.16874937472156223,0,0,0,0,0,0,0,0,0,0,0,0,0.07820499395779014,0,0,0,0,0.15381839046582346,0,0,0,0.03380209051782684,0
heating,6,0,0.21632207084411464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2634828713221622,0,0,0,0,0,0,0,0.1337639945626424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38643106327108084,0,0,0,0,0,0,0,0
heating,7,0,0,0.06948178613988738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996417668455915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11327588234842419,0,0,0,0,0,0,0.717600564666097,0,0,0,0,0,0,0
heating,8,0,0,0,0.20414776562745449,0,0.27712037958337615,0,0,0,0,0,0,0,0.061594943725625184,0,0,0,0,0,0,0,0,0,0,0,0,0.028817566722680786,0,0,0,0,0,0.08267481141626842,0.16799101682011644,0,0,0,0,0,0,0,0,0,0,0.1581070291865453,0,0,0,0,0,0.019546486917933124
heating,9,0.011755318590102636,0,0,0,0.7790938808725957,0,0,0,0,0,0,0.01939645229126932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07492199124289675,0,0,0,0,0,0,0,0,0,0.11483235700313568,0,0,0
cooling,1,0,0,0,0,0,0,0.2543124332152904,0,0,0,0,0,0,0,0,0,0,0,0,0.5595706183485659,0,0.03357225940413037,0,0,0,0,0,0,0,0,0.05137482504187037,0,0,0,0,0,0,0,0,0.08178627700397187,0,0,0,0,0,0,0.019383586986171132,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272772311662244,0,0,0.4021939875285063,0,0,0,0.32503370080924954,0,0,0,0,0,0,0,0,0,0,0,0
