EMM	AL	AK	AZ	AR	CA	CO	CT	DE	DC	FL	GA	HI	ID	IL	IN	IA	KS	KY	LA	ME	MD	MA	MI	MN	MS	MO	MT	NE	NV	NH	NJ	NM	NY	NC	ND	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VT	VA	WA	WV	WI	WY
TRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.856023148	0	0	0	0	0	0	0
FRCC	0	0	0	0	0	0	0	0	0	0.944914605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MISW	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009829878	0	0.927206605	0	0	0	0	0	0	0.043891542	0.986739657	0	0	0	0	0	0	0	0	0	0	0.50373045	0	0	0	0	0	0	0.254902291	0	0	0	0	0	0	0	1	0
MISC	0	0	0	0.005719527	0	0	0	0	0	0	0	0	0	0.350512096	0.790244502	0.012717751	0	0.131964138	0	0	0.001079562	0	0.02974584	0	0	0.648603777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MISE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.889257939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MISS	0	0	0	0.722658121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.927796892	0	0	0	0	0	0.442554941	0	0	0	0	0	0	0	0	0	0	0	0.000140231	0	0	0	0	0	4.91053E-07	0.053820997	0	0	0	0	0	0	0
ISNE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0.000116357	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
NYCW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014701176	0	0.522264856	0	0	0	0	0	3.83161E-08	0	0	0	0	0	0	0	0	0	0	0	0
NYUP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.476518086	0	0	0	0	0	0.000312625	0	0	0	0	0	0	0	0	0	0	0	0
PJME	0	0	0	0	0	0	0	0.999900238	0.999556479	0	0	0	0	0.189007486	2.2543E-07	0	0	0	0	0	0.920212452	0	0	0	0	0	0	0	0	0	0.983032878	0	0.001100701	0	0	0.285496775	0	0	0.815385091	0	0	0	0	0	0	0	0.017530213	0	0	0	0
PJMW	0	0	0	0	0	0	0	9.97621E-05	0.000443521	0	0	0	0	0.041065876	0.209755272	0	0	0.294244224	0	0	0.078707986	0	0.037104679	0	0	0	0	0	0	0	0.002265946	0	0	0	0	0.714448797	0	0	0.184302246	0	0	0	0.019515255	0	0	0	0.178602045	0	1	0	0
PJMC	0	0	0	0	0	0	0	0	0	0	0	0	0	0.409584664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.44278E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PJMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040835196	0	0	0	0	0	0	0	0	0	0	0	0	0.793086055	0	0	0	0
SRCA	0	0	0	0	0	0	0	0	0	0	2.39736E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.952606416	0	0	0	0	0	0	1	0	8.69164E-05	0	0	0	0	0	0	0	0
SRSE	0.739796254	0	0	0	0	0	0	0	0	0.055085395	0.976130519	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233721892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRCE	0.260203746	0	0	0	0	0	0	0	0	0	0.023845508	0	0	0	0	0	0	0.573791638	0	0	0	0	0	0	0.323723167	0	0	0	0	0	0	0	0	0.006558389	0	0	0	0	0	0	0	0	0.980397338	0	0	0	0.010781687	0	0	0	0
SPPS	0	0	0	0.271622352	0	2.70579E-06	0	0	0	0	0	0	0	0	0	0	0.006762347	0	0.072203108	0	0	0	0	0	0	0.055335424	0	0	0	0	0	0.367560226	0	0	0	0	0.999845184	0	0	0	0	0	0	0.074806029	0	0	0	0	0	0	0
SPPC	0	0	0	0	0	4.35439E-05	0	0	0	0	0	0	0	0	0	0	0.993220445	0	0	0	0	0	0	0	0	0.296060799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060075644	0	0	0	0	0	0	0	0.013260343	0	0	0.063145054	0.959361745	0	0	0	0	0	0	0.49626955	0	0	0	0	0	0	0.50009181	0	0	0	0	0	0	0	0	0
SRSG	0	0	0.993460288	0	0.024883427	2.04867E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004884658	0	0	0.583951333	0	0	0	0	1.45845E-05	0	0	0	0	0	0	0.015349826	0.001612537	0	0	0	0	0	0
CANO	0	0	0	0	0.4914021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000111336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASO	0	0	5.03405E-05	0	0.480152712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWPP	0	0	0	0	0.002971619	0	0	0	0	0	0	0	0.234125453	0	0	0	0	0	0	0	0	0	0	0	0	0	0.922122974	0	0.003691783	0	0	0	0	0	0	0	0	0.987339658	0	0	0	0	0	0	0.000998191	0	0	1	0	0	0.067058004
RMRG	0	0	1.2977E-06	0	0	0.998998046	0	0	0	0	0	0	0	0	0	0	1.72078E-05	0	0	0	0	0	0	0	0	0	0.014731972	0.040638255	0	0	0	0.043098079	0	0	0	0	0	0	0	0	0	0.245005898	0	0	0.027381318	0	0	0	0	0	0.371858326
BASN	0	0	0.006488074	0	0.000590142	0.000953656	0	0	0	0	0	0	0.765874547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.991312223	0	0	0.005390363	0	0	0	0	0	0.012660342	0	0	0	0	0	0	0.970007954	0	0	0	0	0	0.56108367
																																																			
