EMM	AL	AK	AZ	AR	CA	CO	CT	DE	DC	FL	GA	HI	ID	IL	IN	IA	KS	KY	LA	ME	MD	MA	MI	MN	MS	MO	MT	NE	NV	NH	NJ	NM	NY	NC	ND	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VT	VA	WA	WV	WI	WY
TRE	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FRCC	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MISW	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.001505613247	0.0	0.1840958909	0.0	0.0	0.0	0.0	0.0	0.0	0.02097747767	0.3789438091	0.0	0.0	0.0004710750768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004941409389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4090647246	0.0
MISC	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.3132830536	0.3805968202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3061201262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MISE	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MISS	0.0	0	0.0	0.2238990375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.4134734377	0.0	0.0	0.0	0.0	0.0	0.1606981003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2019294245	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ISNE	0.0	0	0.0	0.0	0.0	0.0	0.2380389668	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09213571336	0.0	0.4621829357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0925537073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07234767431	0.0	0.0	0.0	0.0	0.0	0.04274100252	0.0	0.0	0.0	0.0	0.0
NYCW	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NYUP	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PJME	0.0	0	0.0	0.0	0.0	0.0	0.0	0.04028934425	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1787006887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3627536767	0.0	0.01915849312	0.0	0.0	0.0	0.0	0.0	0.3973306557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001767141576	0.0	0.0	0.0	0.0
PJMW	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.106178139	0.0	0.0	0.01887058711	0.0	0.0	0.07011554078	0.0	0.03169257217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5153989063	0.0	0.0	0.1217992812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05853977318	0.0	0.07740520014	0.0	0.0
PJMC	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PJMD	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.07805752675	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0903916994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8315507739	0.0	0.0	0.0	0.0
SRCA	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6515834006	0.0	0.0	0.0	0.0	0.0	0.0	0.3484165994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRSE	0.2445785589	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06638492461	0.6339689005	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05506761595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRCE	0.06840143034	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004401827348	0	0.0	0.0	0.0	0.0	0.0	0.3200030167	0.0	0.0	0.0	0.0	0.0	0.0	0.04253534126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5569486218	0.0	0.0	0.0	0.007709762618	0.0	0.0	0.0	0.0
SPPS	0.0	0	0.0	0.1373599307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.1119887328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03510694432	0.0	0.0	0.0	0.0	0.5262126685	0.0	0.0	0.0	0.0	0.0	0.0	0.1893317237	0.0	0.0	0.0	0.0	0.0	0.0	0.0
