End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN
heating,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.122645106,0.213165238,0.574088272,0.090101384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.118755503,0.259381784,0.11373526,0,0,0,0,0,0.403577441,0.104550013,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.285627321,0.193473284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21925074,0.293533464,0,0,0,0,0.00811519,0
heating,5,0,0.086749432,0,0,0,0,0,0,0,0.110780222,0.133144691,0,0.193119435,0.318186857,0.151158168,0.006861197,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.046129045,0,0,0,0,0.031225507,0,0,0,0.196746562,0.725898886,0,0,0,0,0,0,0,0,0
heating,7,0.521676207,0,0,0,0,0.22441018,0,0,0,0,0,0,0,0,0,0,0.250881547,0,0,0.003032066,0,0,0,0,0
heating,8,0,0,0.001064772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020455983,0,0.007389951,0.182834967,0,0,0.157969173,0.322166685,0.308118468
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001011402,0.196866413,0.07618885,0.694287815,0,0
cooling,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0.250043827,0.146547988,0.531664909,0.071743276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0.068138519,0.251218934,0.168438734,0,0,0,0,0,0.338367555,0.173836258,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,4,0,0,0.189791565,0.278587768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402824122,0.127313836,0,0,0,0,0.001482708,0
cooling,5,0,0.456638815,0,0,0,0,0,0,0,0.049775633,0.039955314,0,0.085853777,0.200331305,0.165687092,0.001758064,0,0,0,0,0,0,0,0,0
cooling,6,0,0,0,0,0,0.098167679,0,0,0,0,0.014099468,0,0,0,0.334780905,0.552951948,0,0,0,0,0,0,0,0,0
cooling,7,0.617094676,0,0,0,0,0.202580741,0,0,0,0,0,0,0,0,0,0,0.166260332,0,0,0.014064251,0,0,0,0,0
cooling,8,0,0,0.000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010149685,0,0.000444434,0.663983571,0,0,0.011942031,0.074061319,0.239343935
cooling,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013086971,0.257672566,0.617919649,0.079675292,0,0
water heating,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
