End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.32358794021301474,0.2305455311283589,0.40611996072302814,0.039746567935598186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.2987211894405029,0.04676387479701904,0.15170120140966528,0,0,0,0,0,0.5006163639174344,0.0021973704353783065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.6178955332336912,0.011461250603351156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016936350483483964,0.34960843015660953,0,0,0,0,0.004098435522864082,0,0
heating,5,0,0.0006892116005916279,0,0,0,0,0,0,0,0.4237886289302418,0.208546572459954,0,0.19108173186627564,0.16909534663691428,0.001690487183070547,0.005108021322952028,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.011608522205586714,0,0,0,0,0.2285779544045488,0,0,0,0.01835554639627428,0.7414579769935902,0,0,0,0,0,0,0,0,0,0
heating,7,0.22430992520243415,0,0,0,0,0.03425343306342114,0,0,0,0,0,0,0,0,0,0,0.7414366417341448,0,0,0.0,0,0,0,0,0,0
heating,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.01817497180463093,0,0,0.490835930842236,0.017218435787991825,0.47377066156514125,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10989734109932131,0.0033073744784313424,0.8867952844222474,0,0,0
water heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0.45496448898169306,0.21955579034596365,0.29100207391552696,0.034477646756816284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0.11938350467335808,0.26479549697739463,0.30559235868420503,0,0,0,0,0,0.29010837836465525,0.020120261300386952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,4,0,0,0.6469809450113653,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.35301905498863473,0,0,0,0,0.0,0,0
water heating,5,0,0.006471199366617015,0,0,0,0,0,0,0,0.49149050525853366,0.16079049982025426,0,0.19575545823154214,0.14024280858174615,0.0015234245057345597,0.0037261042355721382,0,0,0,0,0,0,0,0,0,0
water heating,6,0,0,0,0,0,0.0,0,0,0,0,0.12938921411179607,0,0,0,0.0,0.870610785888204,0,0,0,0,0,0,0,0,0,0
water heating,7,0.7530301756373436,0,0,0,0,0.18154281187908505,0,0,0,0,0,0,0,0,0,0,0.058061218619594034,0,0,0.007365793863977309,0,0,0,0,0,0
water heating,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.00710435456595265,0,0,0.19888405439684329,0.3062781848928974,0.48773340614430666,0
water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1637028827063318,0.0,0.8362971172936683,0,0,0
misc,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,2,0,0,0,0,0,0,0,0.10815045813882929,0.21659041348158117,0.5774685977034576,0.09779053067613194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,3,0,0,0.10129166245162112,0.17316065561728367,0.18508043632174226,0,0,0,0,0,0.31929426032908087,0.2211729852802721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,4,0,0,0.33301766983611114,0.1855344228756304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3436960169671417,0.13775189032111668,0,0,0,0,0.0,0,0
misc,5,0,0.3770946914213496,0,0,0,0,0,0,0,0.06784823567360623,0.06457583721557408,0,0.09799364387734058,0.1345812203543988,0.2550666969842789,0.002839674473451819,0,0,0,0,0,0,0,0,0,0
misc,6,0,0,0,0,0,0.07662679107412852,0,0,0,0,0.01603812383816661,0,0,0,0.24738605246589088,0.659949032621814,0,0,0,0,0,0,0,0,0,0
misc,7,0.6575667444764804,0,0,0,0,0.14836631967620692,0,0,0,0,0,0,0,0,0,0,0.17810372507032754,0,0,0.015963210776984985,0,0,0,0,0,0
misc,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009013572196821784,0,0.0,0.6655531803925324,0,0,0.01396640705193904,0.044374095298997496,0.2670927450597093,0
misc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00170778201105953,0.3781721653885022,0.5236528749012604,0.09646717769917788,0,0,0
