End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.397979629,0.188846218,0.375772249,0.037401903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.257378985,0.051948052,0.149940968,0,0,0,0,0,0.536009445,0.00472255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.610486891,0.018726592,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026217228,0.337078652,0,0,0,0,0.007490637,0,0
heating,5,0,0.004560531,0,0,0,0,0,0,0,0.361525705,0.182835821,0,0.205223881,0.234660033,0.004975124,0.006218905,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.040540541,0,0,0,0,0.162162162,0,0,0,0.040540541,0.756756757,0,0,0,0,0,0,0,0,0,0
heating,7,0.266666667,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0
heating,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049382716,0,0,0.37037037,0.037037037,0.543209877,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150753769,0.012562814,0.836683417,0,0,0
water heating,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0.479321935,0.20765746,0.281601637,0.031418968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0.100478469,0.320574163,0.263157895,0,0,0,0,0,0.296650718,0.019138756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,4,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0,0,0,0
water heating,5,0,0.007042254,0,0,0,0,0,0,0,0.471830986,0.157276995,0,0.187793427,0.166666667,0.004694836,0.004694836,0,0,0,0,0,0,0,0,0,0
water heating,6,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.857142857,0,0,0,0,0,0,0,0,0,0
water heating,7,0.727272727,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0.068181818,0,0,0.022727273,0,0,0,0,0,0
water heating,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012048193,0,0,0.192771084,0.337349398,0.457831325,0
water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162393162,0,0.837606838,0,0,0
misc,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,2,0,0,0,0,0,0,0,0.106861642,0.217097863,0.57480315,0.101237345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,3,0,0,0.101935484,0.175483871,0.196129032,0,0,0,0,0,0.32,0.206451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,4,0,0,0.338308458,0.199004975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338308458,0.124378109,0,0,0,0,0,0,0
misc,5,0,0.370531822,0,0,0,0,0,0,0,0.068875327,0.064516129,0,0.094158675,0.137750654,0.261551874,0.002615519,0,0,0,0,0,0,0,0,0,0
misc,6,0,0,0,0,0,0.073619632,0,0,0,0,0.012269939,0,0,0,0.260736196,0.653374233,0,0,0,0,0,0,0,0,0,0
misc,7,0.636500754,0,0,0,0,0.158371041,0,0,0,0,0,0,0,0,0,0,0.190045249,0,0,0.015082956,0,0,0,0,0,0
misc,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010362694,0,0,0.670120898,0,0,0.013816926,0.039723661,0.26597582,0
misc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001893939,0.375,0.527462121,0.095643939,0,0,0
