End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.1269555104170502,0.218090167467915,0.5614521856398703,0.09350213647516432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.1169067005951209,0.26791434044435963,0.11014987626026755,0,0,0,0,0,0.3986068662247236,0.1064222164755284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.2815267287338882,0.1878406032717685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22656854964805276,0.2982293558814,0,0,0,0,0.005834762464890473,0,0
heating,5,0,0.09223973202158472,0,0,0,0,0,0,0,0.12521752404048966,0.14437587987594896,0,0.2032342996453845,0.2853574432281293,0.1429334292741939,0.0066416919142689955,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.04316501170269068,0,0,0,0,0.03406656659759269,0,0,0,0.16620785099919436,0.7565605707005223,0,0,0,0,0,0,0,0,0,0
heating,7,0.5208392864704449,0,0,0,0,0.21460500839571245,0,0,0,0,0,0,0,0,0,0,0.26157054617109105,0,0,0.002985158962751656,0,0,0,0,0,0
heating,8,0,0,0.0008365546389257525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015325745084842687,0,0.004319696787008651,0.15789548699946024,0,0,0.16425177819239795,0.3463053372387364,0.3110654010586282,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012484608067252008,0.18894853635695325,0.0750497553174877,0.7347532475188339,0,0,0
cooling,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0.22136787034994287,0.14454910753015698,0.5550164651026902,0.07906655701720995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0.09133897036686367,0.2442726979691954,0.153001079650635,0,0,0,0,0,0.33471070326469615,0.17667654874860977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,4,0,0,0.23560803676292558,0.24514375594509685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3708906488974049,0.14624516121258893,0,0,0,0,0.0021123971819838826,0,0
