End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.1864750484923294,0.16266972315288308,0.5652442250044084,0.08561100335037912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.11281792999244523,0.2689498866784185,0.09688995215311005,0,0,0,0,0,0.3973810123394611,0.12396121883656509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.25197215777262183,0.24157772621809745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27508120649651974,0.22645011600928075,0,0,0,0,0.004918793503480279,0,0
heating,5,0,0.41087883461423813,0,0,0,0,0,0,0,0.050311694034396504,0.05580684042043054,0,0.1028007102217499,0.2279578532640392,0.1491336072266359,0.0031104602185098302,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.06034891438323694,0,0,0,0,0.019721247748174835,0,0,0,0.3021238266805727,0.6178060111880156,0,0,0,0,0,0,0,0,0,0
heating,7,0.6231921960404844,0,0,0,0,0.21235975625702852,0,0,0,0,0,0,0,0,0,0,0.1569945340900175,0,0,0.007453513612469598,0,0,0,0,0,0
heating,8,0,0,0.00014210601108426886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013215859030837005,0,0.0008526360665056132,0.5379423049594998,0,0,0.049950262896120506,0.16661929799630523,0.23127753303964757,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041863111689156235,0.259226142090717,0.2962526418468542,0.44033490489351323,0,0,0
cooling,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0.26154298901847806,0.18770813004352338,0.47496243978749436,0.07578644115050416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0.1397432792443691,0.17692572433748455,0.18709767880587883,0,0,0,0,0,0.31665625677174286,0.17957706084052466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,4,0,0,0.3651973557890117,0.17412293935321063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2592643388101051,0.19716378198974133,0,0,0,0,0.0042515840579312614,0,0
cooling,5,0,0.31655659723825796,0,0,0,0,0,0,0,0.08174386920980926,0.07513970350528795,0,0.12586708539232438,0.22793146446219922,0.16982404285780262,0.0029372373343185703,0,0,0,0,0,0,0,0,0,0
cooling,6,0,0,0,0,0,0.07592380493097836,0,0,0,0,0.022936885888239195,0,0,0,0.27548375429501476,0.6256555548857676,0,0,0,0,0,0,0,0,0,0
cooling,7,0.5769436736283531,0,0,0,0,0.2026840627687714,0,0,0,0,0,0,0,0,0,0,0.2019538159453451,0,0,0.01841844765753047,0,0,0,0,0,0
cooling,8,0,0,0.0003514423780934251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011744032801288622,0,0.0014350563772148192,0.40287011275442963,0,0,0.051076292282911114,0.23221555132523064,0.30030751208083173,0
cooling,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031359393232205366,0.32112383313885645,0.44081826137689617,0.23492196616102684,0,0,0
water heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0.19767752269087027,0.18659903897490657,0.5346147001245773,0.08110873820964584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0.16367461906539518,0.20629857128313028,0.1566837479214036,0,0,0,0,0,0.3392608680897275,0.13408219364034343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,4,0,0,0.3206134307793686,0.20960881806745343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2489067273707542,0.21637812256634517,0,0,0,0,0.004492901216078596,0,0
water heating,5,0,0.3727347754826861,0,0,0,0,0,0,0,0.06574527194318196,0.06931383603203571,0,0.10714991456369363,0.23331667228492717,0.1484964372479048,0.0032430924455706797,0,0,0,0,0,0,0,0,0,0
water heating,6,0,0,0,0,0,0.061980286374883384,0,0,0,0,0.022350221068429807,0,0,0,0.27919522978947797,0.6364742627672089,0,0,0,0,0,0,0,0,0,0
water heating,7,0.5996941978057352,0,0,0,0,0.21489310335577672,0,0,0,0,0,0,0,0,0,0,0.1745486735159205,0,0,0.010864025322567665,0,0,0,0,0,0
water heating,8,0,0,0.0004966167980631945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011360109255695574,0,0.0019243900924948787,0.4858774598050779,0,0,0.07455459680923707,0.17685765721025515,0.24892917002917625,0
water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002783779292005983,0.20824331061991025,0.2679075951470833,0.5210653149410005,0,0,0
cooking,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,2,0,0,0,0,0,0,0,0.2742656550073985,0.18468028838585776,0.46497497087806566,0.07607908572867803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,3,0,0,0.13520547762369367,0.17211003296717964,0.19179691149580236,0,0,0,0,0,0.31874057365561975,0.18214700425770458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,4,0,0,0.37474547761678517,0.168294626257857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2548469914716558,0.1978929973146044,0,0,0,0,0.004219907339097589,0,0
cooking,5,0,0.30353089925485277,0,0,0,0,0,0,0,0.08534474717849333,0.07650454446528691,0,0.1321884942637137,0.22832181239701113,0.17146676892145382,0.002642733519188318,0,0,0,0,0,0,0,0,0,0
cooking,6,0,0,0,0,0,0.07452569910419292,0,0,0,0,0.02305936850710174,0,0,0,0.26284955209646105,0.6395653802922443,0,0,0,0,0,0,0,0,0,0
cooking,7,0.5875304484883221,0,0,0,0,0.19635692792663706,0,0,0,0,0,0,0,0,0,0,0.19685843244017767,0,0,0.01925419114486316,0,0,0,0,0,0
cooking,8,0,0,0.00042713138561421496,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010023349849080244,0,0.0013383450082578735,0.3666495814112421,0,0,0.06073808303434136,0.25946807904778174,0.30135543026368244,0
cooking,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025671574050435426,0.31167560207641903,0.43329645703911723,0.2524607834794202,0,0,0
drying,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drying,2,0,0,0,0,0,0,0,0.18822354383256912,0.20293276433468016,0.5186135197711899,0.09023017206156081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drying,3,0,0,0.1371412803532009,0.17793143747565252,0.19370860927152317,0,0,0,0,0,0.32526619919490973,0.16595247370471367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drying,4,0,0,0.37457848737182575,0.165577042185672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2597894157318836,0.1956506778611245,0,0,0,0,0.004404376849494185,0,0
drying,5,0,0.301518258210565,0,0,0,0,0,0,0,0.08457681959868678,0.07699145461225748,0,0.12974529766631504,0.23199364725682387,0.1724129757149799,0.00276154694037192,0,0,0,0,0,0,0,0,0,0
drying,6,0,0,0,0,0,0.07301357328046362,0,0,0,0,0.02245691627268568,0,0,0,0.2630776269635504,0.6414518834833003,0,0,0,0,0,0,0,0,0,0
drying,7,0.5845952514488689,0,0,0,0,0.19577906566128664,0,0,0,0,0,0,0,0,0,0,0.20080596580877008,0,0,0.018819717081074345,0,0,0,0,0,0
drying,8,0,0,0.0004818348270212971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010279142976454337,0,0.0014455044810638912,0.365905367639973,0,0,0.062253059651151584,0.2563040056535286,0.3033310847708072,0
drying,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027080800265281307,0.3152978888029181,0.41190449872886037,0.27008953244169337,0,0,0
clothes washing,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clothes washing,2,0,0,0,0,0,0,0,0.19738017915912906,0.20197903271506723,0.5123471589546871,0.08829362917111658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clothes washing,3,0,0,0.13557025583804894,0.17664780425599744,0.19548896150474218,0,0,0,0,0,0.32675539969713874,0.16553757870407268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clothes washing,4,0,0,0.3729888191982547,0.16662121625306792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2605331333515135,0.19542541587128442,0,0,0,0,0.004431415325879465,0,0
clothes washing,5,0,0.3003398272932523,0,0,0,0,0,0,0,0.08461932360403138,0.0778460535809883,0,0.13015850848404442,0.23224635151176592,0.1720433861694947,0.0027465493564229684,0,0,0,0,0,0,0,0,0,0
clothes washing,6,0,0,0,0,0,0.07347502894923612,0,0,0,0,0.022449665683015204,0,0,0,0.26345672556124167,0.640618579806507,0,0,0,0,0,0,0,0,0,0
clothes washing,7,0.5845246749050965,0,0,0,0,0.1962078992003877,0,0,0,0,0,0,0,0,0,0,0.20054922865681285,0,0,0.018718197237702933,0,0,0,0,0,0
clothes washing,8,0,0,0.00047705371624844956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010272556689883281,0,0.0014311611487453487,0.3662818433355596,0,0,0.061889768787965524,0.25665489934166585,0.30299271697993196,0
clothes washing,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027659266758261625,0.31553257646973754,0.41248463374068983,0.2692168631137465,0,0,0
dishwasher,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dishwasher,2,0,0,0,0,0,0,0,0.23172542210815028,0.1903827281648675,0.4984273168767771,0.07946453285020508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dishwasher,3,0,0,0.13660865241173545,0.17093983092988563,0.1899552461461959,0,0,0,0,0,0.3178518150174043,0.18464445549477873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dishwasher,4,0,0,0.38391951644963696,0.16628128676321446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2517139264127216,0.19419090503427852,0,0,0,0,0.0038943653401484726,0,0
dishwasher,5,0,0.3043713825091841,0,0,0,0,0,0,0,0.08728228982213178,0.07274625366704549,0,0.13667838359277956,0.2245817585960832,0.17185559108808837,0.002484340724687475,0,0,0,0,0,0,0,0,0,0
dishwasher,6,0,0,0,0,0,0.07193672189459889,0,0,0,0,0.022091172891509876,0,0,0,0.2612093981091454,0.6447627071047458,0,0,0,0,0,0,0,0,0,0
dishwasher,7,0.6077867097940352,0,0,0,0,0.18876944299100984,0,0,0,0,0,0,0,0,0,0,0.18520192170479952,0,0,0.018241925510155545,0,0,0,0,0,0
dishwasher,8,0,0,0.00038227628149435275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008027801911381407,0,0.0012510860121633363,0.3558992180712424,0,0,0.05876629018245004,0.26380538662033015,0.31186794092093834,0
dishwasher,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026655072025407386,0.31464327573821316,0.4164240614011872,0.2662671556580589,0,0,0
lighting,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting,2,0,0,0,0,0,0,0,0.2742704318414222,0.18462990639502871,0.4649885943522379,0.07611106741131125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting,3,0,0,0.135162899911946,0.1720922165594898,0.19198441710916028,0,0,0,0,0,0.31862208821410465,0.18213837820529924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting,4,0,0,0.37469765795528287,0.16830865435667514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25491121467760014,0.19786443277682733,0,0,0,0,0.004218040233614536,0,0
lighting,5,0,0.30330140868378047,0,0,0,0,0,0,0,0.08536913306993774,0.07656744513166332,0,0.1322838880499762,0.22845086155182756,0.17136917444097388,0.0026580890718408043,0,0,0,0,0,0,0,0,0,0
lighting,6,0,0,0,0,0,0.07436193320662503,0,0,0,0,0.02304507195221287,0,0,0,0.2631007330980179,0.6394922617431442,0,0,0,0,0,0,0,0,0,0
lighting,7,0.5875304484883221,0,0,0,0,0.19635692792663706,0,0,0,0,0,0,0,0,0,0,0.19685843244017767,0,0,0.01925419114486316,0,0,0,0,0,0
lighting,8,0,0,0.0004268275332214097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010016219446262414,0,0.0013373929374270836,0.36698631306376805,0,0,0.060694875224084455,0.2592834988475657,0.30125487294767095,0
lighting,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025671574050435426,0.31167560207641903,0.43329645703911723,0.2524607834794202,0,0,0
refrigeration,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refrigeration,2,0,0,0,0,0,0,0,0.2669802499220765,0.19266951914085745,0.46490606670255874,0.07544416423450738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refrigeration,3,0,0,0.13902992972400918,0.17192052035149885,0.19710572315302569,0,0,0,0,0,0.3158376636503086,0.1761061631211577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refrigeration,4,0,0,0.36732657669484853,0.17379089429186578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2558682980622801,0.19878695583679043,0,0,0,0,0.004227275114215197,0,0
