Technology,End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
central AC,cooling,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
central AC,cooling,2,0,0,0,0,0,0,0,0.175456354,0.178178772,0.557327842,0.089037032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
central AC,cooling,3,0,0,0.143660398,0.17566836,0.189271308,0,0,0,0,0,0.312553478,0.178846456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
central AC,cooling,4,0,0,0.373644212,0.16476057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267062643,0.190511326,0,0,0,0,0.00402125,0,0
central AC,cooling,5,0,0.279183545,0,0,0,0,0,0,0,0.102144598,0.079436057,0,0.136216178,0.208339909,0.192294878,0.002384835,0,0,0,0,0,0,0,0,0,0
central AC,cooling,6,0,0,0,0,0,0.08806867,0,0,0,0,0.025922747,0,0,0,0.241316166,0.644692418,0,0,0,0,0,0,0,0,0,0
central AC,cooling,7,0.570202966,0,0,0,0,0.188793845,0,0,0,0,0,0,0,0,0,0,0.217441919,0,0,0.023561269,0,0,0,0,0,0
central AC,cooling,8,0,0,0.000124938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009578544,0,0.001249375,0.363401633,0,0,0.046976512,0.246460103,0.332208896,0
central AC,cooling,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003084983,0.347118743,0.475349243,0.174447031,0,0,0
ASHP,cooling,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP,cooling,2,0,0,0,0,0,0,0,0.125407649,0.144381856,0.625555885,0.10465461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP,cooling,3,0,0,0.091709256,0.309483248,0.090289608,0,0,0,0,0,0.435831914,0.072685974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP,cooling,4,0,0,0.236257736,0.258827812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275209319,0.223880597,0,0,0,0,0.005824536,0,0
ASHP,cooling,5,0,0.390833294,0,0,0,0,0,0,0,0.04750577,0.054595129,0,0.102077347,0.254957841,0.146851006,0.003179613,0,0,0,0,0,0,0,0,0,0
ASHP,cooling,6,0,0,0,0,0,0.055537163,0,0,0,0,0.016139712,0,0,0,0.315096838,0.613226287,0,0,0,0,0,0,0,0,0,0
ASHP,cooling,7,0.625747283,0,0,0,0,0.212024457,0,0,0,0,0,0,0,0,0,0,0.155298913,0,0,0.006929348,0,0,0,0,0,0
ASHP,cooling,8,0,0,0.000364897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01897464,0,0.000364897,0.708629812,0,0,0.022076263,0.063127167,0.186462324,0
ASHP,cooling,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006002401,0.256152461,0.293667467,0.444177671,0,0,0
room AC,cooling,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
room AC,cooling,2,0,0,0,0,0,0,0,0.351455177,0.200590061,0.386828114,0.061126648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
room AC,cooling,3,0,0,0.136620994,0.154569131,0.199354546,0,0,0,0,0,0.306194089,0.203261239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
room AC,cooling,4,0,0,0.384161114,0.177316778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220623864,0.213355542,0,0,0,0,0.004542701,0,0
room AC,cooling,5,0,0.200113895,0,0,0,0,0,0,0,0.114806378,0.146583144,0,0.173690205,0.224487472,0.134965831,0.005353075,0,0,0,0,0,0,0,0,0,0
room AC,cooling,6,0,0,0,0,0,0.085335543,0,0,0,0,0.031206849,0,0,0,0.308202154,0.575255454,0,0,0,0,0,0,0,0,0,0
room AC,cooling,7,0.51576668,0,0,0,0,0.258357017,0,0,0,0,0,0,0,0,0,0,0.212071999,0,0,0.013804304,0,0,0,0,0,0
room AC,cooling,8,0,0,0.001504729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014402408,0,0.003654342,0.246345658,0,0,0.106405847,0.357910576,0.26977644,0
room AC,cooling,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001880787,0.287832755,0.425925926,0.284360532,0,0,0
ASHP,heating,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP,heating,2,0,0,0,0,0,0,0,0.12537048,0.144339063,0.625666864,0.104623592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP,heating,3,0,0,0.091709256,0.309483248,0.090289608,0,0,0,0,0,0.435831914,0.072685974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP,heating,4,0,0,0.236171761,0.258733624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27510917,0.224163028,0,0,0,0,0.005822416,0,0
ASHP,heating,5,0,0.390330717,0,0,0,0,0,0,0,0.047544964,0.054640172,0,0.102161563,0.255168187,0.146972161,0.003182236,0,0,0,0,0,0,0,0,0,0
ASHP,heating,6,0,0,0,0,0,0.055537163,0,0,0,0,0.016139712,0,0,0,0.315096838,0.613226287,0,0,0,0,0,0,0,0,0,0
ASHP,heating,7,0.625747283,0,0,0,0,0.212024457,0,0,0,0,0,0,0,0,0,0,0.155298913,0,0,0.006929348,0,0,0,0,0,0
ASHP,heating,8,0,0,0.000364764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018967718,0,0.000364764,0.70837133,0,0,0.022068211,0.063468904,0.18639431,0
ASHP,heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060015,0.256114029,0.293623406,0.444261065,0,0,0
resistance heat,heating,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resistance heat,heating,2,0,0,0,0,0,0,0,0.212349398,0.170431727,0.539658635,0.077560241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resistance heat,heating,3,0,0,0.118831904,0.257401715,0.098770425,0,0,0,0,0,0.386426145,0.138569811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resistance heat,heating,4,0,0,0.257381338,0.235704497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275071633,0.227233088,0,0,0,0,0.004609443,0,0
resistance heat,heating,5,0,0.435974205,0,0,0,0,0,0,0,0.053690696,0.05723169,0,0.103581299,0.194725933,0.151773376,0.003022801,0,0,0,0,0,0,0,0,0,0
resistance heat,heating,6,0,0,0,0,0,0.066799822,0,0,0,0,0.024522858,0,0,0,0.284731469,0.62394585,0,0,0,0,0,0,0,0,0,0
resistance heat,heating,7,0.62159289,0,0,0,0,0.21256963,0,0,0,0,0,0,0,0,0,0,0.158055874,0,0,0.007781605,0,0,0,0,0,0
resistance heat,heating,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009544873,0,0.001164009,0.429170062,0,0,0.067745315,0.232452567,0.259923175,0
resistance heat,heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003511901,0.260382407,0.2972295,0.438876192,0,0,0
all,water heating,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,water heating,2,0,0,0,0,0,0,0,0.197677523,0.186599039,0.5346147,0.081108738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,water heating,3,0,0,0.163674619,0.206298571,0.156683748,0,0,0,0,0,0.339260868,0.134082194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,water heating,4,0,0,0.320613431,0.209608818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248906727,0.216378123,0,0,0,0,0.004492901,0,0
all,water heating,5,0,0.372734775,0,0,0,0,0,0,0,0.065745272,0.069313836,0,0.107149915,0.233316672,0.148496437,0.003243092,0,0,0,0,0,0,0,0,0,0
all,water heating,6,0,0,0,0,0,0.061980286,0,0,0,0,0.022350221,0,0,0,0.27919523,0.636474263,0,0,0,0,0,0,0,0,0,0
all,water heating,7,0.599694198,0,0,0,0,0.214893103,0,0,0,0,0,0,0,0,0,0,0.174548674,0,0,0.010864025,0,0,0,0,0,0
all,water heating,8,0,0,0.000496617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011360109,0,0.00192439,0.48587746,0,0,0.074554597,0.176857657,0.24892917,0
all,water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002783779,0.208243311,0.267907595,0.521065315,0,0,0
all,cooking,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,cooking,2,0,0,0,0,0,0,0,0.274265655,0.184680288,0.464974971,0.076079086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,cooking,3,0,0,0.135205478,0.172110033,0.191796911,0,0,0,0,0,0.318740574,0.182147004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,cooking,4,0,0,0.374745478,0.168294626,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254846991,0.197892997,0,0,0,0,0.004219907,0,0
all,cooking,5,0,0.303530899,0,0,0,0,0,0,0,0.085344747,0.076504544,0,0.132188494,0.228321812,0.171466769,0.002642734,0,0,0,0,0,0,0,0,0,0
all,cooking,6,0,0,0,0,0,0.074525699,0,0,0,0,0.023059369,0,0,0,0.262849552,0.63956538,0,0,0,0,0,0,0,0,0,0
all,cooking,7,0.587530448,0,0,0,0,0.196356928,0,0,0,0,0,0,0,0,0,0,0.196858432,0,0,0.019254191,0,0,0,0,0,0
all,cooking,8,0,0,0.000427131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01002335,0,0.001338345,0.366649581,0,0,0.060738083,0.259468079,0.30135543,0
all,cooking,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002567157,0.311675602,0.433296457,0.252460783,0,0,0
all,drying,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,drying,2,0,0,0,0,0,0,0,0.188223544,0.202932764,0.51861352,0.090230172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,drying,3,0,0,0.13714128,0.177931437,0.193708609,0,0,0,0,0,0.325266199,0.165952474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,drying,4,0,0,0.374578487,0.165577042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259789416,0.195650678,0,0,0,0,0.004404377,0,0
all,drying,5,0,0.301518258,0,0,0,0,0,0,0,0.08457682,0.076991455,0,0.129745298,0.231993647,0.172412976,0.002761547,0,0,0,0,0,0,0,0,0,0
all,drying,6,0,0,0,0,0,0.073013573,0,0,0,0,0.022456916,0,0,0,0.263077627,0.641451883,0,0,0,0,0,0,0,0,0,0
all,drying,7,0.584595251,0,0,0,0,0.195779066,0,0,0,0,0,0,0,0,0,0,0.200805966,0,0,0.018819717,0,0,0,0,0,0
all,drying,8,0,0,0.000481835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010279143,0,0.001445504,0.365905368,0,0,0.06225306,0.256304006,0.303331085,0
all,drying,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00270808,0.315297889,0.411904499,0.270089532,0,0,0
all,clothes washing,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,clothes washing,2,0,0,0,0,0,0,0,0.197380179,0.201979033,0.512347159,0.088293629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,clothes washing,3,0,0,0.135570256,0.176647804,0.195488962,0,0,0,0,0,0.3267554,0.165537579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,clothes washing,4,0,0,0.372988819,0.166621216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260533133,0.195425416,0,0,0,0,0.004431415,0,0
