Technology,End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
central AC,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
central AC,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164033383662269,0.1459820730547536,0.6041123073205863,0.085872235962391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
central AC,cooling,3,0.0,0.0,0.0953170168478876,0.2385436340315221,0.1563004103525765,0.0,0.0,0.0,0.0,0.0,0.3296232615061946,0.180215677261819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
central AC,cooling,4,0.0,0.0,0.2454212057657424,0.2338310602776335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3739913553438992,0.1446677805856144,0.0,0.0,0.0,0.0,0.0020885980271104,0.0,
central AC,cooling,5,0.0,0.3790828565487494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728642592278285,0.0527989705432176,0.0,0.1056153676113551,0.1923159542225443,0.1956316504023931,0.0016909414439117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
central AC,cooling,6,0.0,0.0,0.0,0.0,0.0,0.1051280783230824,0.0,0.0,0.0,0.0,0.0183631284939833,0.0,0.0,0.0,0.2794064535051631,0.597102339677771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
central AC,cooling,7,0.6088758588791556,0.0,0.0,0.0,0.0,0.1822272839377951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1865747206546537,0.0,0.0,0.0223221365283955,0.0,0.0,0.0,0.0,0.0,
central AC,cooling,8,0.0,0.0,3.159325181125284e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092477275077519,0.0,0.0004576655651778,0.5470011700312327,0.0,0.0,0.014793461445284,0.1165357814042749,0.3119326007944672,
central AC,cooling,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097904088957965,0.2931746467344129,0.589237005757458,0.1077979386123326,0.0,0.0,
ASHP,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
