End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.26711054987946276,0.18140282401561245,0.4657789002410745,0.08570772586385031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.12682184033065041,0.1470189588527635,0.21771724034069043,0,0,0,0,0,0.2964809825806128,0.21196097789528287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.4142327516050276,0.14711999276607288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2573921692738946,0.17790939506284476,0,0,0,0,0.0033456912921602314,0,0
heating,5,0,0.04499980536416365,0,0,0,0,0,0,0,0.15675970259644206,0.11709291914827358,0,0.19280625948849703,0.22776285569699092,0.25995562302931213,0.0006228346763206042,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.09396290688872067,0,0,0,0,0.02791445874337623,0,0,0,0.22464042392127176,0.6534822104466314,0,0,0,0,0,0,0,0,0,0
heating,7,0.5199790840559502,0,0,0,0,0.18375528345461675,0,0,0,0,0,0,0,0,0,0,0.25796330994814587,0,0,0.0383023225412872,0,0,0,0,0,0
heating,8,0,0,0.0005018477120306583,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009626351567133536,0,0.0015967881746430039,0.2574478762717277,0,0,0.05798622199917879,0.31771522423468224,0.35512569004060407,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018022780794924784,0.3535588984476378,0.4842360743980391,0.1604027490748306,0,0,0
cooling,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0.26711054987946276,0.18140282401561245,0.4657789002410745,0.08570772586385031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0.12682184033065041,0.1470189588527635,0.21771724034069043,0,0,0,0,0,0.2964809825806128,0.21196097789528287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,4,0,0,0.4142327516050276,0.14711999276607288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2573921692738946,0.17790939506284476,0,0,0,0,0.0033456912921602314,0,0
cooling,5,0,0.04499980536416365,0,0,0,0,0,0,0,0.15675970259644206,0.11709291914827358,0,0.19280625948849703,0.22776285569699092,0.25995562302931213,0.0006228346763206042,0,0,0,0,0,0,0,0,0,0
cooling,6,0,0,0,0,0,0.09396290688872067,0,0,0,0,0.02791445874337623,0,0,0,0.22464042392127176,0.6534822104466314,0,0,0,0,0,0,0,0,0,0
cooling,7,0.5199790840559502,0,0,0,0,0.18375528345461675,0,0,0,0,0,0,0,0,0,0,0.25796330994814587,0,0,0.0383023225412872,0,0,0,0,0,0
cooling,8,0,0,0.0005018477120306583,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009626351567133536,0,0.0015967881746430039,0.2574478762717277,0,0,0.05798622199917879,0.31771522423468224,0.35512569004060407,0
cooling,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018022780794924784,0.3535588984476378,0.4842360743980391,0.1604027490748306,0,0,0
water heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0.2774924471299094,0.18141993957703928,0.45996978851963743,0.0811178247734139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0.12307451716318711,0.1474313863476425,0.21545859723199626,0,0,0,0,0,0.30242786769880364,0.21160763155837048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,4,0,0,0.412160751565762,0.1474947807933194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25521920668058456,0.18152400835073068,0,0,0,0,0.00360125260960334,0,0
water heating,5,0,0.1186790053067848,0,0,0,0,0,0,0,0.13600280689443445,0.09622384983114776,0,0.194245866409368,0.20582430595149337,0.24770843384062102,0.0013157317661506075,0,0,0,0,0,0,0,0,0,0
water heating,6,0,0,0,0,0,0.10468547149769857,0,0,0,0,0.025610763602029976,0,0,0,0.2546913725953027,0.6150123923049687,0,0,0,0,0,0,0,0,0,0
water heating,7,0.5459105594286686,0,0,0,0,0.1829620812786941,0,0,0,0,0,0,0,0,0,0,0.238862438360823,0,0,0.032264920931814316,0,0,0,0,0,0
water heating,8,0,0,0.0004100788262632706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009431813004055224,0,0.0013213651068483163,0.28409349797238803,0,0,0.05198888230737686,0.30787806989565775,0.34487629288741056,0
water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003161652218255992,0.35155532891381946,0.5218154003059663,0.12346761856195819,0,0,0
cooking,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,2,0,0,0,0,0,0,0,0.32084792957872993,0.16593311176981346,0.4442049163148597,0.0690140423365969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,3,0,0,0.11435866626614599,0.1586061880444578,0.20762991889456292,0,0,0,0,0,0.2758786422349054,0.2435265845599279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,4,0,0,0.472613849033063,0.13973799126637554,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2214597629444791,0.16244541484716157,0,0,0,0,0.0037429819089207735,0,0
cooking,5,0,0.17883326351068288,0,0,0,0,0,0,0,0.12761834939254293,0.08755760368663594,0,0.16406577293674068,0.19695224130708003,0.24361122748219521,0.0013615416841223293,0,0,0,0,0,0,0,0,0,0
cooking,6,0,0,0,0,0,0.07626050420168068,0,0,0,0,0.03004201680672269,0,0,0,0.23865546218487396,0.6550420168067227,0,0,0,0,0,0,0,0,0,0
cooking,7,0.5651222795602423,0,0,0,0,0.18308279111509984,0,0,0,0,0,0,0,0,0,0,0.22010320843616782,0,0,0.03169172088849002,0,0,0,0,0,0
