End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.0888037358289254,0.4697507699308829,0.4055901511868053,0.03585534305338638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.2892321611912593,0.19028148101801562,0.23092702636122867,0,0,0,0,0,0.2598820248954069,0.029677306534089475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.43953926313748737,0.0977215230184026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16678529100881523,0.2893632278644905,0,0,0,0,0.006590694970804345,0,0
heating,5,0,0.011701348704862209,0,0,0,0,0,0,0,0.14253108033661707,0.14150961006659915,0,0.20091361922687273,0.34539175352573365,0.14620815627669717,0.011744431862618013,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.1021860915592423,0,0,0,0,0.031951173735496996,0,0,0,0.180719369497018,0.6851433652082427,0,0,0,0,0,0,0,0,0,0
heating,7,0.31586080823372326,0,0,0,0,0.2448697946869163,0,0,0,0,0,0,0,0,0,0,0.43728859843708123,0,0,0.0019807986422791415,0,0,0,0,0,0
heating,8,0,0,0.0013407494545750348,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01248384407535159,0,0.02186030121291186,0.1454586265766547,0,0,0.2611160354366363,0.3439252853315336,0.21381515791233674,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005988680469416676,0.5889543941951505,0.07037741150534746,0.3400693262525605,0,0,0
water heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0.18775273807535772,0.4201259536244452,0.35221511118134724,0.03990619711884986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0.16427667357181552,0.22201137812290722,0.265358203526507,0,0,0,0,0,0.30776917919114044,0.04058456558762977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,4,0,0,0.36079672772689697,0.10722857169159153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30741079695563506,0.21649553641053884,0,0,0,0,0.008068367215337525,0,0
water heating,5,0,0.12567354607547188,0,0,0,0,0,0,0,0.12320419903838555,0.10755838900721618,0,0.18813717128381732,0.2478777226525028,0.20112580008135603,0.006423171861250156,0,0,0,0,0,0,0,0,0,0
