End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.12171738224260108,0.4105877448937057,0.42350979574822845,0.04418507711546478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.2722614840989399,0.20724381625441696,0.23233215547703182,0,0,0,0,0,0.26060070671378094,0.02756183745583039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.3975782038345106,0.136226034308779,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21543895055499496,0.24419778002018164,0,0,0,0,0.006559031281533804,0,0
heating,5,0,0.043823680164018455,0,0,0,0,0,0,0,0.1176319835981548,0.08969759097898514,0,0.17145053818554587,0.3621219887237314,0.2037416709379805,0.011532547411583802,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.1551556420233463,0,0,0,0,0.02091439688715953,0,0,0,0.28647859922178986,0.5374513618677043,0,0,0,0,0,0,0,0,0,0
heating,7,0.42830365510777885,0,0,0,0,0.2408622305529522,0,0,0,0,0,0,0,0,0,0,0.3233364573570759,0,0,0.007497656982193065,0,0,0,0,0,0
heating,8,0,0,0.0005977286312014345,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02092050209205021,0,0.010161386730424387,0.3114166168559474,0,0,0.15959354453078303,0.29707112970711297,0.20023909145248056,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001514386673397274,0.5335689045936396,0.24835941443715295,0.2165572942958102,0,0,0
water heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0.1924273858921162,0.4071576763485477,0.3573651452282158,0.04304979253112033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0.16055625790139064,0.2193426042983565,0.26833122629582806,0,0,0,0,0,0.3185840707964602,0.033185840707964605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,4,0,0,0.3283653846153846,0.12211538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32884615384615384,0.21394230769230768,0,0,0,0,0.006730769230769231,0,0
water heating,5,0,0.17355956168257336,0,0,0,0,0,0,0,0.11063980205019441,0.09508660303994344,0,0.16719688936019794,0.24849770236832802,0.19794980558501238,0.007069635913750442,0,0,0,0,0,0,0,0,0,0
water heating,6,0,0,0,0,0,0.16920152091254753,0,0,0,0,0.019011406844106463,0,0,0,0.2946768060836502,0.5171102661596958,0,0,0,0,0,0,0,0,0,0
water heating,7,0.5143911439114391,0,0,0,0,0.22361623616236162,0,0,0,0,0,0,0,0,0,0,0.25608856088560883,0,0,0.005904059040590406,0,0,0,0,0,0
water heating,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024803387779794312,0,0.0024198427102238356,0.4537205081669691,0,0,0.08348457350272233,0.2595281306715064,0.17604355716878403,0
water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001830831197363603,0.48224093738557305,0.27462467960454046,0.2413035518125229,0,0,0
cooking,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,2,0,0,0,0,0,0,0,0.18696642003414912,0.28372225384177574,0.46983494593056346,0.05947638019351167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,3,0,0,0.23599386032233308,0.2075978511128166,0.20184190330007676,0,0,0,0,0,0.32655410590943973,0.028012279355333843,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,4,0,0,0.37662337662337664,0.15753811405985318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22077922077922077,0.23941276115189158,0,0,0,0,0.00564652738565782,0,0
cooking,5,0,0.21647774398672934,0,0,0,0,0,0,0,0.09012994194083494,0.10146530273707492,0,0.13021841304948853,0.30633121371302185,0.14763616256566214,0.007741222007188278,0,0,0,0,0,0,0,0,0,0
cooking,6,0,0,0,0,0,0.10416666666666667,0,0,0,0,0.03598484848484849,0,0,0,0.24337121212121213,0.6164772727272727,0,0,0,0,0,0,0,0,0,0
cooking,7,0.5299781181619256,0,0,0,0,0.2363238512035011,0,0,0,0,0,0,0,0,0,0,0.2262582056892779,0,0,0.007439824945295405,0,0,0,0,0,0
