End use,CDIV,AL,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,VA,VT,WA,WI,WV,AR,UT,WY,AK,HI
heating,1,0.0,0.0,0.0,0.0,0.2552353307070288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3106987352270371,0.0,0.1938627410325523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1202571013891768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0597138710346257,0.0,0.0,0.0,0.0,0.0,0.0602322206095791,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0977625647019535,0.0,0.0,0.5899983302721656,0.0,0.0,0.0,0.3122391050258807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094451003541912,0.0684769775678866,0.0,0.0,0.0,0.0,0.0,0.0,0.2054309327036599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4805194805194805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2361275088547816,0.0,0.0,0.0,0.0,0,0
heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636704119850187,0.0,0.0,0.0,0.0187265917602996,0.0,0.0,0.0,0.0,0.0,0.0,0.6292134831460674,0.0262172284644194,0.0,0.0,0.0,0.1273408239700374,0.0337078651685393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1011235955056179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,5,0.0,0.0,0.0,0.0,0.0,0.0045605306799336,0.0762852404643449,0.0049751243781094,0.0045605306799336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3445273631840796,0.0,0.0,0.0,0.0,0.0,0.0,0.2271973466003316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0240464344941956,0.0,0.0,0.0,0.2736318407960199,0.0,0.0,0.0,0.0402155887230514,0.0,0.0,0.0,0,0
heating,6,0.0405405405405405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405405405405405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3783783783783784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,8,0.0,0.037037037037037,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1851851851851851,0.0,0.0,0.0,0.0,0.0,0.0123456790123456,0.2839506172839506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,9,0.0,0.0,0.2738693467336683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2814070351758794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4447236180904522,0.0,0.0,0.0,0.0,0.0,0,0
water heating,1,0.0,0.0,0.0,0.0,0.2359985910531877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3230010567101092,0.0,0.2145121521662557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1065516026769989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686861570975695,0.0,0.0,0.0,0.0,0.0,0.0512504402958788,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0841736080666374,0.0,0.0,0.6915095718252229,0.0,0.0,0.0,0.2243168201081397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0191387559808612,0.4258373205741627,0.0,0.0,0.0,0.0,0.0,0.0,0.3014354066985646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0956937799043062,0.0,0.0,0.0,0.0,0,0
water heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,5,0.0,0.0,0.0,0.0,0.0,0.0258215962441314,0.0751173708920187,0.0070422535211267,0.0046948356807511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4553990610328638,0.0,0.0,0.0,0.0,0.0,0.0,0.1572769953051643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0164319248826291,0.0,0.0,0.0,0.2230046948356807,0.0,0.0,0.0,0.0352112676056338,0.0,0.0,0.0,0,0
