End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
heating,1,0,0,0,0,0,0.28663213940496385,0,0,0,0,0,0,0,0,0,0,0,0.4957115003424315,0,0.07322010757835394,0,0,0,0,0,0,0,0,0.06217740749630856,0,0,0,0,0,0,0,0,0.05793130018211054,0,0,0,0,0,0,0.024327544995831608,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1424785585299126,0,0,0.34767481882356843,0,0,0,0.509846622646519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.22362002335734407,0.2209012026288946,0,0,0,0,0,0,0.12916886676960943,0,0,0,0,0,0,0,0,0,0,0,0,0.3168314475965781,0,0,0,0,0,0,0,0,0,0,0,0,0.10947845964757388,0,0,0,0
heating,4,0,0,0,0,0,0,0,0,0,0,0.13620038328082923,0,0,0,0.09971009559837517,0,0,0,0,0,0,0.19320786477043972,0.31469905732144604,0,0,0,0.077351293069656,0.12119715067271064,0,0,0,0,0,0,0,0,0,0,0,0.05763415528654306,0,0,0,0,0,0,0,0,0,0,0
heating,5,0,0,0,0,0,0,0.009406495007700775,0.017017638034774477,0.10641823905387789,0.13007797871639248,0,0,0,0,0,0,0,0,0.1372305029709914,0,0,0,0,0,0,0.2211703070302774,0,0,0,0,0,0,0,0,0,0,0,0,0.08489432779371858,0,0,0,0,0.23523585651130258,0,0,0,0.0585486548809644,0,0,0
heating,6,0.18162424217936549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3241946232645418,0,0,0,0,0,0,0,0.0963174045426475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3978637300134453,0,0,0,0,0,0,0,0,0,0
heating,7,0,0.12857678750694246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11624140520985243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1504921172361173,0,0,0,0,0,0,0.6046896900470878,0,0,0,0,0,0,0,0,0
heating,8,0,0,0.11418862132606979,0,0.31772708095405267,0,0,0,0,0,0,0.1885981455959847,0,0,0,0,0,0,0,0,0,0,0,0,0.12673674241383528,0,0,0,0,0,0.061352459128498904,0.0628332353480633,0,0,0,0,0,0,0,0,0,0,0.06464457054650169,0,0,0,0,0,0.06391914468699351,0,0
heating,9,0,0,0,0.2700057093331938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2296360451099964,0,0,0,0,0,0,0,0,0,0.5003582455568099,0,0,0,0,0
cooling,1,0,0,0,0,0,0.28498924746791554,0,0,0,0,0,0,0,0,0,0,0,0.49150358533663696,0,0.04632888201791352,0,0,0,0,0,0,0,0,0.08194164328206412,0,0,0,0,0,0,0,0,0.0726818064011966,0,0,0,0,0,0,0.02255483549427323,0,0,0,0,0,0
