End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
heating,1,0.0,0.0,0.0,0.0,0.0,0.289502762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.519337017,0.0,0.056353591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061049724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055248619,0.0,0.0,0.0,0.0,0.0,0.0,0.018508287,0.0,0.0,0.0,0.0,0,0
heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170692999,0.0,0.0,0.35170164,0.0,0.0,0.0,0.477605361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234890456,0.21927726,0.0,0.0,0.0,0.0,0.0,0.0,0.112943843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325358852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10752959,0.0,0.0,0,0
heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122969838,0.0,0.0,0.0,0.119164733,0.0,0.0,0.0,0.0,0.0,0.0,0.162227378,0.3974942,0.0,0.0,0.0,0.054570766,0.09837587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045197216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.007102217,0.007892793,0.433935121,0.127101181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05524955,0.0,0.0,0.0,0.0,0.0,0.0,0.156041421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08675592,0.0,0.0,0.0,0.0,0.104511463,0.0,0.0,0.0,0.021410335,0.0,0,0
heating,6,0.289608419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204418318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147719731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358253532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,7,0.0,0.075685854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142165965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074535136,0.0,0.0,0.0,0.0,0.0,0.0,0.707613045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
heating,8,0.0,0.0,0.498010516,0.0,0.156103453,0.0,0.0,0.0,0.0,0.0,0.0,0.071905642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035242291,0.0,0.0,0.0,0.0,0.0,0.054639761,0.125408555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040855478,0.0,0.0,0.0,0.0,0.0,0.017834304,0,0
heating,9,0.0,0.0,0.0,0.561737929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151235571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2870265,0.0,0.0,0.0,0,0
cooling,1,0.0,0.0,0.0,0.0,0.0,0.241456034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458303667,0.0,0.095363119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090201139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074225703,0.0,0.0,0.0,0.0,0.0,0.0,0.040450338,0.0,0.0,0.0,0.0,0,0
cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216486223,0.0,0.0,0.459287827,0.0,0.0,0.0,0.32422595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooling,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26541408,0.140890492,0.0,0.0,0.0,0.0,0.0,0.0,0.210755758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252246625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130693044,0.0,0.0,0,0
cooling,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147680829,0.0,0.0,0.0,0.136626711,0.0,0.0,0.0,0.0,0.0,0.0,0.254628741,0.296760567,0.0,0.0,0.0,0.037057355,0.087171188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040074608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooling,5,0.0,0.0,0.0,0.0,0.0,0.0,0.010991549,0.015175726,0.335039025,0.152413061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086666975,0.0,0.0,0.0,0.0,0.0,0.0,0.161483397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080487692,0.0,0.0,0.0,0.0,0.12574701,0.0,0.0,0.0,0.031995566,0.0,0,0
cooling,6,0.266954006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233558382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155313762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34417385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooling,7,0.0,0.085601155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128685718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110754102,0.0,0.0,0.0,0.0,0.0,0.0,0.674959025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cooling,8,0.0,0.0,0.324791331,0.0,0.216283497,0.0,0.0,0.0,0.0,0.0,0.0,0.063728218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039800849,0.0,0.0,0.0,0.0,0.0,0.094801581,0.132991653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104378386,0.0,0.0,0.0,0.0,0.0,0.023224484,0,0
cooling,9,0.0,0.0,0.0,0.767885793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095664382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136449825,0.0,0.0,0.0,0,0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.250408974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393900444,0.0,0.12608086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119770975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049310587,0.0,0.0,0.0,0.0,0.0,0.0,0.060528161,0.0,0.0,0.0,0.0,0,0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159325503,0.0,0.0,0.389571098,0.0,0.0,0.0,0.451103399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218821054,0.181830522,0.0,0.0,0.0,0.0,0.0,0.0,0.181321478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264193844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153833101,0.0,0.0,0,0
water heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135625711,0.0,0.0,0.0,0.106212185,0.0,0.0,0.0,0.0,0.0,0.0,0.22452525,0.352303361,0.0,0.0,0.0,0.053914815,0.07805667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049362008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.008020551,0.012553906,0.392669914,0.12970045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068709389,0.0,0.0,0.0,0.0,0.0,0.0,0.164909507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08419254,0.0,0.0,0.0,0.0,0.108777273,0.0,0.0,0.0,0.030466471,0.0,0,0
water heating,6,0.27327303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225895429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138441569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362389973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,7,0.0,0.092706349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084497975,0.0,0.0,0.0,0.0,0.0,0.0,0.688054937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
