Technology,End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
central AC,cooling,1,0,0,0,0,0,0.303718015,0,0,0,0,0,0,0,0,0,0,0,0.498162421,0,0.034945129,0,0,0,0,0,0,0,0,0.078830658,0,0,0,0,0,0,0,0,0.069210798,0,0,0,0,0,0,0.015132978,0,0,0,0,0,0
central AC,cooling,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33676906,0,0,0.321155554,0,0,0,0.342075385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
central AC,cooling,3,0,0,0,0,0,0,0,0,0,0,0,0,0.305176144,0.168885373,0,0,0,0,0,0,0.17259993,0,0,0,0,0,0,0,0,0,0,0,0,0.262589929,0,0,0,0,0,0,0,0,0,0,0,0,0.090748625,0,0,0,0
central AC,cooling,4,0,0,0,0,0,0,0,0,0,0,0.124437906,0,0,0,0.204806267,0,0,0,0,0,0,0.147275715,0.403016149,0,0,0,0.01561167,0.082865431,0,0,0,0,0,0,0,0,0,0,0,0.021986863,0,0,0,0,0,0,0,0,0,0,0
central AC,cooling,5,0,0,0,0,0,0,0.008893998,0.013366437,0.398334112,0.177216184,0,0,0,0,0,0,0,0,0.079580878,0,0,0,0,0,0,0.13377801,0,0,0,0,0,0,0,0,0,0,0,0,0.069550327,0,0,0,0,0.099730039,0,0,0,0.019550014,0,0,0
central AC,cooling,6,0.259591167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221690459,0,0,0,0,0,0,0,0.193564118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325154256,0,0,0,0,0,0,0,0,0,0
central AC,cooling,7,0,0.062790702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121176874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112802859,0,0,0,0,0,0,0.703229566,0,0,0,0,0,0,0,0,0
central AC,cooling,8,0,0,0.482575684,0,0.110183496,0,0,0,0,0,0,0.029239572,0,0,0,0,0,0,0,0,0,0,0,0,0.01130867,0,0,0,0,0,0.076891415,0.200940008,0,0,0,0,0,0,0,0,0,0,0.082299648,0,0,0,0,0,0.006561506,0,0
central AC,cooling,9,0,0,0,0.893880936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054262063,0,0,0,0,0,0,0,0,0,0.051857001,0,0,0,0,0
ASHP,cooling,1,0,0,0,0,0,0.324763212,0,0,0,0,0,0,0,0,0,0,0,0.494771979,0,0.048195341,0,0,0,0,0,0,0,0,0.06025131,0,0,0,0,0,0,0,0,0.060588868,0,0,0,0,0,0,0.01142929,0,0,0,0,0,0
ASHP,cooling,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157803014,0,0,0.21635115,0,0,0,0.625845836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP,cooling,3,0,0,0,0,0,0,0,0,0,0,0,0,0.22655165,0.29607394,0,0,0,0,0,0,0.080629041,0,0,0,0,0,0,0,0,0,0,0,0,0.347476199,0,0,0,0,0,0,0,0,0,0,0,0,0.049269171,0,0,0,0
ASHP,cooling,4,0,0,0,0,0,0,0,0,0,0,0.09658368,0,0,0,0.144117005,0,0,0,0,0,0,0.072235866,0.543059715,0,0,0,0.021015545,0.096127551,0,0,0,0,0,0,0,0,0,0,0,0.026860639,0,0,0,0,0,0,0,0,0,0,0
ASHP,cooling,5,0,0,0,0,0,0,0.002464193,0.004520358,0.532499367,0.112938042,0,0,0,0,0,0,0,0,0.032537023,0,0,0,0,0,0,0.137896807,0,0,0,0,0,0,0,0,0,0,0,0,0.097778922,0,0,0,0,0.069257685,0,0,0,0.010107604,0,0,0
ASHP,cooling,6,0.360563432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135784332,0,0,0,0,0,0,0,0.170993837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332658399,0,0,0,0,0,0,0,0,0,0
ASHP,cooling,7,0,0.067488454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144307594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061614536,0,0,0,0,0,0,0.726589416,0,0,0,0,0,0,0,0,0
ASHP,cooling,8,0,0,0.812203591,0,0.017260963,0,0,0,0,0,0,0.007551047,0,0,0,0,0,0,0,0,0,0,0,0,0.00233692,0,0,0,0,0,0.032171023,0.120045014,0,0,0,0,0,0,0,0,0,0,0.007186811,0,0,0,0,0,0.001244632,0,0
