End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
heating,1,0,0,0,0,0,0.19809526028174476,0,0,0,0,0,0,0,0,0,0,0,0.6170327023730569,0,0.01836975466581127,0,0,0,0,0,0,0,0,0.045649134013873945,0,0,0,0,0,0,0,0,0.09760298928285278,0,0,0,0,0,0,0.023250159382660403,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24290027073337372,0,0,0.47066062158814204,0,0,0,0.2864391076784842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2824956997563423,0.11369696822443712,0,0,0,0,0,0,0.25111208306036265,0,0,0,0,0,0,0,0,0,0,0,0,0.23208888434273736,0,0,0,0,0,0,0,0,0,0,0,0,0.12060636461612066,0,0,0,0
heating,4,0,0,0,0,0,0,0,0,0,0,0.16195351209187156,0,0,0,0.135336989078712,0,0,0,0,0,0,0.3263667089732002,0.21020098313045157,0,0,0,0.036353295833751124,0.09531082063392034,0,0,0,0,0,0,0,0,0,0,0,0.034477690258093247,0,0,0,0,0,0,0,0,0,0,0
heating,5,0,0,0,0,0,0,0.029931883545036207,0.03725427778064049,0.010103082664404137,0.18607894737809008,0,0,0,0,0,0,0,0,0.22941993833952296,0,0,0,0,0,0,0.1474022556314126,0,0,0,0,0,0,0,0,0,0,0,0,0.056904485764925204,0,0,0,0,0.21322782041596336,0,0,0,0.08967730848000505,0,0,0
heating,6,0.15691886718289588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38648001681472294,0,0,0,0,0,0,0,0.10622019804744058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3503809179549406,0,0,0,0,0,0,0,0,0,0
heating,7,0,0.12643158588711037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08162120522778532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27848544963918487,0,0,0,0,0,0,0.5134617592459194,0,0,0,0,0,0,0,0,0
heating,8,0,0,0.04259584022109961,0,0.3845478140944832,0,0,0,0,0,0,0.09320467286735319,0,0,0,0,0,0,0,0,0,0,0,0,0.10671731141712436,0,0,0,0,0,0.0892690124717162,0.04777640652352454,0,0,0,0,0,0,0,0,0,0,0.1782011231224088,0,0,0,0,0,0.05768781928229012,0,0
heating,9,0,0,0,0.5564084995467097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1605395857612828,0,0,0,0,0,0,0,0,0,0.2830519146920076,0,0,0,0,0
cooling,1,0,0,0,0,0,0.19809526028174476,0,0,0,0,0,0,0,0,0,0,0,0.6170327023730569,0,0.01836975466581127,0,0,0,0,0,0,0,0,0.045649134013873945,0,0,0,0,0,0,0,0,0.09760298928285278,0,0,0,0,0,0,0.023250159382660403,0,0,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24290027073337372,0,0,0.47066062158814204,0,0,0,0.2864391076784842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2824956997563423,0.11369696822443712,0,0,0,0,0,0,0.25111208306036265,0,0,0,0,0,0,0,0,0,0,0,0,0.23208888434273736,0,0,0,0,0,0,0,0,0,0,0,0,0.12060636461612066,0,0,0,0
cooling,4,0,0,0,0,0,0,0,0,0,0,0.16195351209187156,0,0,0,0.135336989078712,0,0,0,0,0,0,0.3263667089732002,0.21020098313045157,0,0,0,0.036353295833751124,0.09531082063392034,0,0,0,0,0,0,0,0,0,0,0,0.034477690258093247,0,0,0,0,0,0,0,0,0,0,0
cooling,5,0,0,0,0,0,0,0.029931883545036207,0.03725427778064049,0.010103082664404137,0.18607894737809008,0,0,0,0,0,0,0,0,0.22941993833952296,0,0,0,0,0,0,0.1474022556314126,0,0,0,0,0,0,0,0,0,0,0,0,0.056904485764925204,0,0,0,0,0.21322782041596336,0,0,0,0.08967730848000505,0,0,0
cooling,6,0.15691886718289588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38648001681472294,0,0,0,0,0,0,0,0.10622019804744058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3503809179549406,0,0,0,0,0,0,0,0,0,0
cooling,7,0,0.12643158588711037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08162120522778532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27848544963918487,0,0,0,0,0,0,0.5134617592459194,0,0,0,0,0,0,0,0,0
cooling,8,0,0,0.04259584022109961,0,0.3845478140944832,0,0,0,0,0,0,0.09320467286735319,0,0,0,0,0,0,0,0,0,0,0,0,0.10671731141712436,0,0,0,0,0,0.0892690124717162,0.04777640652352454,0,0,0,0,0,0,0,0,0,0,0.1782011231224088,0,0,0,0,0,0.05768781928229012,0,0
cooling,9,0,0,0,0.5564084995467097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1605395857612828,0,0,0,0,0,0,0,0,0,0.2830519146920076,0,0,0,0,0
water heating,1,0,0,0,0,0,0.22128166755926584,0,0,0,0,0,0,0,0,0,0,0,0.5920404500394466,0,0.02179234973901432,0,0,0,0,0,0,0,0,0.04499869639885995,0,0,0,0,0,0,0,0,0.09853133406315748,0,0,0,0,0,0,0.021355502200255706,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2622013859684424,0,0,0.465445182381052,0,0,0,0.27235343165050563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2912909466217428,0.108414546058653,0,0,0,0,0,0,0.23692496288283532,0,0,0,0,0,0,0,0,0,0,0,0,0.23906596080114,0,0,0,0,0,0,0,0,0,0,0,0,0.12430358363562881,0,0,0,0
water heating,4,0,0,0,0,0,0,0,0,0,0,0.14837387577144115,0,0,0,0.13947537144494748,0,0,0,0,0,0,0.32252100245620574,0.2288369651517151,0,0,0,0.026330329304061227,0.10158743643060614,0,0,0,0,0,0,0,0,0,0,0,0.032875019441023154,0,0,0,0,0,0,0,0,0,0,0
