End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
heating,1,0,0,0,0,0,0.21631374,0,0,0,0,0,0,0,0,0,0,0,0.595290096,0,0.018326845,0,0,0,0,0,0,0,0,0.049188111,0,0,0,0,0,0,0,0,0.099610673,0,0,0,0,0,0,0.021270535,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261944668,0,0,0.463758466,0,0,0,0.274296866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.28644099,0.11840498,0,0,0,0,0,0,0.239972557,0,0,0,0,0,0,0,0,0,0,0,0,0.23620756,0,0,0,0,0,0,0,0,0,0,0,0,0.118973913,0,0,0,0
heating,4,0,0,0,0,0,0,0,0,0,0,0.155303373,0,0,0,0.152726286,0,0,0,0,0,0,0.290306538,0.251785876,0,0,0,0.026946379,0.089836332,0,0,0,0,0,0,0,0,0,0,0,0.033095217,0,0,0,0,0,0,0,0,0,0,0
heating,5,0,0,0,0,0,0,0.026509401,0.027793997,0.055081942,0.250145977,0,0,0,0,0,0,0,0,0.172213788,0,0,0,0,0,0,0.161353108,0,0,0,0,0,0,0,0,0,0,0,0,0.073338783,0,0,0,0,0.176417922,0,0,0,0.057145082,0,0,0
heating,6,0.226154428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279806964,0,0,0,0,0,0,0,0.148088569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345950038,0,0,0,0,0,0,0,0,0,0
heating,7,0,0.089328511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117085712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154690836,0,0,0,0,0,0,0.638894941,0,0,0,0,0,0,0,0,0
heating,8,0,0,0.162735526,0,0.298280031,0,0,0,0,0,0,0.064236507,0,0,0,0,0,0,0,0,0,0,0,0,0.049226698,0,0,0,0,0,0.109904649,0.12477759,0,0,0,0,0,0,0,0,0,0,0.159952553,0,0,0,0,0,0.030886446,0,0
heating,9,0,0,0,0.839957707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062190609,0,0,0,0,0,0,0,0,0,0.097851685,0,0,0,0,0
cooling,1,0,0,0,0,0,0.21631374,0,0,0,0,0,0,0,0,0,0,0,0.595290096,0,0.018326845,0,0,0,0,0,0,0,0,0.049188111,0,0,0,0,0,0,0,0,0.099610673,0,0,0,0,0,0,0.021270535,0,0,0,0,0,0
