End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
heating,1,0,0,0,0,0,0.14317566947259158,0,0,0,0,0,0,0,0,0,0,0,0.20006349161176812,0,0.20559498522796582,0,0,0,0,0,0,0,0,0.25479060532639375,0,0,0,0,0,0,0,0,0.02415864197955949,0,0,0,0,0,0,0.17221660638172118,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07110944771660503,0,0,0.559247537754922,0,0,0,0.3696430145284729,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.14081199883345039,0.13608330813427322,0,0,0,0,0,0,0.28933174460415256,0,0,0,0,0,0,0,0,0,0,0,0,0.17511043491596867,0,0,0,0,0,0,0,0,0,0,0,0,0.25866251351215513,0,0,0,0
heating,4,0,0,0,0,0,0,0,0,0,0,0.19901150383812224,0,0,0,0.08260807887238789,0,0,0,0,0,0,0.3255788341147769,0.18189873515482993,0,0,0,0.07121046167759554,0.07183149603366706,0,0,0,0,0,0,0,0,0,0,0,0.0678608903086204,0,0,0,0,0,0,0,0,0,0,0
heating,5,0,0,0,0,0,0,0.0011989978155615326,0.05024341810968212,0.014995900000296686,0.1497985060049229,0,0,0,0,0,0,0,0,0.10948164600335543,0,0,0,0,0,0,0.3339064497715201,0,0,0,0,0,0,0,0,0,0,0,0,0.06715432522175907,0,0,0,0,0.20005338755931337,0,0,0,0.07316736951358872,0,0,0
heating,6,0.1813718397603749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3747203630677862,0,0,0,0,0,0,0,0.19779279253476348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24611500463707542,0,0,0,0,0,0,0,0,0,0
heating,7,0,0.24195326184451213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04228265911021836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31683675680535,0,0,0,0,0,0,0.39892732223991956,0,0,0,0,0,0,0,0,0
heating,8,0,0,0.06399183649031724,0,0.28803276587413146,0,0,0,0,0,0,0.09049933754925375,0,0,0,0,0,0,0,0,0,0,0,0,0.2655895404320366,0,0,0,0,0,0.10283218603842592,0.045776230413826974,0,0,0,0,0,0,0,0,0,0,0.03875390252358479,0,0,0,0,0,0.10452420067842329,0,0
heating,9,0,0,0,0.6683823351662781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06601863825281463,0,0,0,0,0,0,0,0,0,0.2655990265809072,0,0,0,0,0
water heating,1,0,0,0,0,0,0.1734269231139569,0,0,0,0,0,0,0,0,0,0,0,0.1830408964919786,0,0.19592439112247267,0,0,0,0,0,0,0,0,0.2433178650768324,0,0,0,0,0,0,0,0,0.034436333109883414,0,0,0,0,0,0,0.16985359108487602,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09145568433043023,0,0,0.6096736420676739,0,0,0,0.29887067360189584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.17796569541274304,0.12688886428519278,0,0,0,0,0,0,0.33027687196673927,0,0,0,0,0,0,0,0,0,0,0,0,0.23526412173658373,0,0,0,0,0,0,0,0,0,0,0,0,0.12960444659874112,0,0,0,0
water heating,4,0,0,0,0,0,0,0,0,0,0,0.2587197154323372,0,0,0,0.2134871780189725,0,0,0,0,0,0,0.17459784705107798,0.2011521906282541,0,0,0,0.03274850104183837,0.06843800094184178,0,0,0,0,0,0,0,0,0,0,0,0.050856566885678,0,0,0,0,0,0,0,0,0,0,0
water heating,5,0,0,0,0,0,0,0.0022025848932565144,0.031447238770195195,0.13516566084243445,0.19399919705877364,0,0,0,0,0,0,0,0,0.11249099793352557,0,0,0,0,0,0,0.21241428629254525,0,0,0,0,0,0,0,0,0,0,0,0,0.052928168677435175,0,0,0,0,0.22658781866151986,0,0,0,0.0327640468703145,0,0,0
water heating,6,0.19566402201059352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21223502780017592,0,0,0,0,0,0,0,0.3287998572138611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26330109297536936,0,0,0,0,0,0,0,0,0,0
water heating,7,0,0.11697387848779943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10334315780982864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1745525893072641,0,0,0,0,0,0,0.6051303743951079,0,0,0,0,0,0,0,0,0
water heating,8,0,0,0.23631925234331316,0,0.25289949708563897,0,0,0,0,0,0,0.055457854057941,0,0,0,0,0,0,0,0,0,0,0,0,0.0982305337181888,0,0,0,0,0,0.19982861209132027,0.06358244496479938,0,0,0,0,0,0,0,0,0,0,0.04563012533593216,0,0,0,0,0,0.04805168040286633,0,0
water heating,9,0,0,0,0.7565899272370838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06535799873572867,0,0,0,0,0,0,0,0,0,0.17805207402718762,0,0,0,0,0
cooking,1,0,0,0,0,0,0.25238027278843606,0,0,0,0,0,0,0,0,0,0,0,0.224940836243819,0,0.2051863364265248,0,0,0,0,0,0,0,0,0.1700218149197741,0,0,0,0,0,0,0,0,0.050468840421744654,0,0,0,0,0,0,0.0970018991997014,0,0,0,0,0,0
cooking,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09065916517049191,0,0,0.4710321019854817,0,0,0,0.43830873284402644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,3,0,0,0,0,0,0,0,0,0,0,0,0,0.12506172385402736,0.1715640975770994,0,0,0,0,0,0,0.24915753237605093,0,0,0,0,0,0,0,0,0,0,0,0,0.2385275510090968,0,0,0,0,0,0,0,0,0,0,0,0,0.21568909518372548,0,0,0,0
cooking,4,0,0,0,0,0,0,0,0,0,0,0.18853310938284068,0,0,0,0.09397544883163063,0,0,0,0,0,0,0.25404700428990273,0.2832860193246642,0,0,0,0.043662714774329675,0.07924054129310563,0,0,0,0,0,0,0,0,0,0,0,0.05725516210352648,0,0,0,0,0,0,0,0,0,0,0
