End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
heating,1,0,0,0,0,0,0.148383006,0,0,0,0,0,0,0,0,0,0,0,0.202916931,0,0.200380469,0,0,0,0,0,0,0,0,0.26379201,0,0,0,0,0,0,0,0,0.031071655,0,0,0,0,0,0,0.153455929,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076698624,0,0,0.533555648,0,0,0,0.389745727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.14664311,0.140106007,0,0,0,0,0,0,0.289045936,0,0,0,0,0,0,0,0,0,0,0,0,0.180742049,0,0,0,0,0,0,0,0,0,0,0,0,0.243462898,0,0,0,0
heating,4,0,0,0,0,0,0,0,0,0,0,0.185418769,0,0,0,0.09889001,0,0,0,0,0,0,0.284056509,0.252774975,0,0,0,0.051210898,0.063319879,0,0,0,0,0,0,0,0,0,0,0,0.064328961,0,0,0,0,0,0,0,0,0,0,0
heating,5,0,0,0,0,0,0,0.002306509,0.04818042,0.051512045,0.20399795,0,0,0,0,0,0,0,0,0.077652486,0,0,0,0,0,0,0.336237827,0,0,0,0,0,0,0,0,0,0,0,0,0.085853409,0,0,0,0,0.148385443,0,0,0,0.045873911,0,0,0
heating,6,0.258754864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239785992,0,0,0,0,0,0,0,0.292315175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209143969,0,0,0,0,0,0,0,0,0,0
heating,7,0,0.174789128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064198688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216494845,0,0,0,0,0,0,0.544517338,0,0,0,0,0,0,0,0,0
heating,8,0,0,0.185295876,0,0.252241482,0,0,0,0,0,0,0.077704722,0,0,0,0,0,0,0,0,0,0,0,0,0.151823072,0,0,0,0,0,0.160789002,0.063956964,0,0,0,0,0,0,0,0,0,0,0.04363419,0,0,0,0,0,0.064554692,0,0
heating,9,0,0,0,0.793538617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045936396,0,0,0,0,0,0,0,0,0,0.160524987,0,0,0,0,0
water heating,1,0,0,0,0,0,0.167270531,0,0,0,0,0,0,0,0,0,0,0,0.183574879,0,0.201086957,0,0,0,0,0,0,0,0,0.240338164,0,0,0,0,0,0,0,0,0.037439614,0,0,0,0,0,0,0.170289855,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096473029,0,0,0.602178423,0,0,0,0.301348548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.172250316,0.125158028,0,0,0,0,0,0,0.334702908,0,0,0,0,0,0,0,0,0,0,0,0,0.242098609,0,0,0,0,0,0,0,0,0,0,0,0,0.125790139,0,0,0,0
water heating,4,0,0,0,0,0,0,0,0,0,0,0.241346154,0,0,0,0.220192308,0,0,0,0,0,0,0.161538462,0.230769231,0,0,0,0.029326923,0.064903846,0,0,0,0,0,0,0,0,0,0,0,0.051923077,0,0,0,0,0,0,0,0,0,0,0
water heating,5,0,0,0,0,0,0,0.002474373,0.030045953,0.184870979,0.189112761,0,0,0,0,0,0,0,0,0.098974903,0,0,0,0,0,0,0.215977377,0,0,0,0,0,0,0,0,0,0,0,0,0.056203606,0,0,0,0,0.192294097,0,0,0,0.030045953,0,0,0
water heating,6,0.197718631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186311787,0,0,0,0,0,0,0,0.375475285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240494297,0,0,0,0,0,0,0,0,0,0
water heating,7,0,0.105166052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110332103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164944649,0,0,0,0,0,0,0.619557196,0,0,0,0,0,0,0,0,0
water heating,8,0,0,0.28554144,0,0.217785844,0,0,0,0,0,0,0.050816697,0,0,0,0,0,0,0,0,0,0,0,0,0.074410163,0,0,0,0,0,0.215970962,0.075015124,0,0,0,0,0,0,0,0,0,0,0.04476709,0,0,0,0,0,0.03569268,0,0
water heating,9,0,0,0,0.77993409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574881,0,0,0,0,0,0,0,0,0,0.16257781,0,0,0,0,0
cooking,1,0,0,0,0,0,0.250591017,0,0,0,0,0,0,0,0,0,0,0,0.225531915,0,0.208510638,0,0,0,0,0,0,0,0,0.16643026,0,0,0,0,0,0,0,0,0.048699764,0,0,0,0,0,0,0.100236407,0,0,0,0,0,0
cooking,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091064314,0,0,0.474388162,0,0,0,0.434547524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
