county_name,state_name,state_abbrev,FIPS_code,Population,COUNTYNS,cambium_pre24_ba,cambium_24_ba,EMM_2020,CDIV,CDIV_high,AIA,ASHRAE,IECC,BA Climate Zone
Autauga,Alabama,AL,1001,60342,161526,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Baldwin,Alabama,AL,1003,253507,161527,90,90,SRSE,6,South,5,2A,2,Hot-Humid
Barbour,Alabama,AL,1005,24585,161528,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Bibb,Alabama,AL,1007,21868,161529,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Blount,Alabama,AL,1009,59816,161530,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Bullock,Alabama,AL,1011,9897,161531,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Butler,Alabama,AL,1013,18382,161532,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Calhoun,Alabama,AL,1015,116429,161533,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Chambers,Alabama,AL,1017,34079,161534,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Cherokee,Alabama,AL,1019,25666,161535,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Chilton,Alabama,AL,1021,46431,161536,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Choctaw,Alabama,AL,1023,12252,161537,89,89,SRSE,6,South,4,3A,3,Hot-Humid
Clarke,Alabama,AL,1025,22337,161538,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Clay,Alabama,AL,1027,14111,161539,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Cleburne,Alabama,AL,1029,15639,161540,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Coffee,Alabama,AL,1031,55643,161541,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Colbert,Alabama,AL,1033,58361,161542,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Conecuh,Alabama,AL,1035,11174,161543,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Coosa,Alabama,AL,1037,10268,161544,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Covington,Alabama,AL,1039,37952,161545,90,90,SRSE,6,South,4,3A,3,Hot-Humid
Crenshaw,Alabama,AL,1041,13101,161546,90,90,SRSE,6,South,4,3A,3,Hot-Humid
Cullman,Alabama,AL,1043,92016,161547,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Dale,Alabama,AL,1045,49871,161548,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Dallas,Alabama,AL,1047,36165,161549,90,90,SRSE,6,South,5,3A,3,Hot-Humid
DeKalb,Alabama,AL,1049,72569,161550,89,89,SRCE,6,South,4,3A,3,Mixed-Humid
Elmore,Alabama,AL,1051,90441,161551,90,90,SRSE,6,South,4,3A,3,Hot-Humid
Escambia,Alabama,AL,1053,36558,161552,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Etowah,Alabama,AL,1055,103241,161553,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Fayette,Alabama,AL,1057,15967,161554,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Franklin,Alabama,AL,1059,31802,161555,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Geneva,Alabama,AL,1061,26988,161556,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Greene,Alabama,AL,1063,7341,161557,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Hale,Alabama,AL,1065,14888,161558,89,89,SRSE,6,South,5,3A,3,Mixed-Humid
Henry,Alabama,AL,1067,17899,161559,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Houston,Alabama,AL,1069,108462,161560,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Jackson,Alabama,AL,1071,53467,161561,89,89,SRCE,6,South,4,3A,3,Mixed-Humid
Jefferson,Alabama,AL,1073,662895,161562,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Lamar,Alabama,AL,1075,13661,161563,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Lauderdale,Alabama,AL,1077,96814,161564,89,89,SRCE,6,South,4,3A,3,Mixed-Humid
Lawrence,Alabama,AL,1079,33502,161565,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Lee,Alabama,AL,1081,183215,161566,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Limestone,Alabama,AL,1083,114654,161567,89,89,SRCE,6,South,4,3A,3,Mixed-Humid
Lowndes,Alabama,AL,1085,9717,161568,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Macon,Alabama,AL,1087,18370,161569,90,90,SRSE,6,South,4,3A,3,Hot-Humid
Madison,Alabama,AL,1089,412600,161570,89,89,SRCE,6,South,4,3A,3,Mixed-Humid
Marengo,Alabama,AL,1091,18684,161572,89,89,SRSE,6,South,5,3A,3,Hot-Humid
Marion,Alabama,AL,1093,29244,161573,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Marshall,Alabama,AL,1095,100756,161574,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Mobile,Alabama,AL,1097,411640,161575,90,90,SRSE,6,South,5,2A,2,Hot-Humid
Monroe,Alabama,AL,1099,19229,161576,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Montgomery,Alabama,AL,1101,224980,161577,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Morgan,Alabama,AL,1103,125133,161578,89,89,SRCE,6,South,4,3A,3,Mixed-Humid
Perry,Alabama,AL,1105,7738,161579,89,89,SRSE,6,South,4,3A,3,Hot-Humid
Pickens,Alabama,AL,1107,18688,161580,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Pike,Alabama,AL,1109,33137,161581,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Randolph,Alabama,AL,1111,22786,161582,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Russell,Alabama,AL,1113,58744,161583,90,90,SRSE,6,South,5,3A,3,Hot-Humid
St. Clair,Alabama,AL,1115,95552,164997,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Shelby,Alabama,AL,1117,233000,161584,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Sumter,Alabama,AL,1119,11727,161585,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Talladega,Alabama,AL,1121,81132,161586,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Tallapoosa,Alabama,AL,1123,40677,161587,90,90,SRSE,6,South,4,3A,3,Mixed-Humid
Tuscaloosa,Alabama,AL,1125,237373,161588,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Walker,Alabama,AL,1127,64728,161589,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Washington,Alabama,AL,1129,15022,161590,90,90,SRSE,6,South,5,3A,3,Hot-Humid
Wilcox,Alabama,AL,1131,9944,161591,89,89,SRSE,6,South,5,3A,3,Hot-Humid
Winston,Alabama,AL,1133,23611,161592,89,89,SRSE,6,South,4,3A,3,Mixed-Humid
Apache,Arizona,AZ,4001,65036,25441,29,29,SRSG,8,West,2,5B,5,Cold
Cochise,Arizona,AZ,4003,124640,25442,28,28,SRSG,8,West,4,3B,3,Hot-Dry
Coconino,Arizona,AZ,4005,144472,25443,28,28,SRSG,8,West,2,5B,5,Cold
