county_name,state_abbr,cambium_ba,FIPS_code,CDIV,AIA,Population,EMM_pre2020,ASHRAE,COUNTYNS,EMM_2020
Autauga,AL,90,01001,6,5,55416,SRSE,3A,00161526,SRSE
Baldwin,AL,90,01003,6,5,208563,SRSE,2A,00161527,SRSE
Barbour,AL,90,01005,6,5,25965,SRSE,3A,00161528,SRSE
Blount,AL,90,01009,6,4,57704,SRSE,3A,00161530,SRSE
Bullock,AL,90,01011,6,5,10362,SRSE,3A,00161531,SRSE
Butler,AL,90,01013,6,5,19998,SRSE,3A,00161532,SRSE
Calhoun,AL,90,01015,6,4,114611,SRSE,3A,00161533,SRSE
Chambers,AL,90,01017,6,4,33843,SRSE,3A,00161534,SRSE
Cherokee,AL,90,01019,6,4,25725,SRSE,3A,00161535,SRSE
Chilton,AL,90,01021,6,4,43941,SRSE,3A,00161536,SRSE
Clarke,AL,90,01025,6,5,24392,SRSE,3A,00161538,SRSE
Clay,AL,90,01027,6,4,13492,SRSE,3A,00161539,SRSE
Cleburne,AL,90,01029,6,4,14924,SRSE,3A,00161540,SRSE
Coffee,AL,90,01031,6,5,51226,SRSE,3A,00161541,SRSE
Conecuh,AL,90,01035,6,5,12395,SRSE,3A,00161543,SRSE
Coosa,AL,90,01037,6,4,10581,SRSE,3A,00161544,SRSE
Covington,AL,90,01039,6,4,37458,SRSE,3A,00161545,SRSE
Crenshaw,AL,90,01041,6,4,13913,SRSE,3A,00161546,SRSE
Dale,AL,90,01045,6,5,49226,SRSE,3A,00161548,SRSE
Dallas,AL,90,01047,6,5,40008,SRSE,3A,00161549,SRSE
Elmore,AL,90,01051,6,4,81799,SRSE,3A,00161551,SRSE
Escambia,AL,90,01053,6,5,37728,SRSE,3A,00161552,SRSE
Etowah,AL,90,01055,6,4,102564,SRSE,3A,00161553,SRSE
Geneva,AL,90,01061,6,5,26614,SRSE,3A,00161556,SRSE
Henry,AL,90,01067,6,5,17164,SRSE,3A,00161559,SRSE
Houston,AL,90,01069,6,5,104056,SRSE,3A,00161560,SRSE
Lee,AL,90,01081,6,4,158991,SRSE,3A,00161566,SRSE
Lowndes,AL,90,01085,6,5,10358,SRSE,3A,00161568,SRSE
Macon,AL,90,01087,6,4,18963,SRSE,3A,00161569,SRSE
Mobile,AL,90,01097,6,5,414836,SRSE,2A,00161575,SRSE
Monroe,AL,90,01099,6,5,21530,SRSE,3A,00161576,SRSE
Montgomery,AL,90,01101,6,5,226349,SRSE,3A,00161577,SRSE
Pike,AL,90,01109,6,5,33286,SRSE,3A,00161581,SRSE
Randolph,AL,90,01111,6,4,22652,SRSE,3A,00161582,SRSE
Russell,AL,90,01113,6,5,58172,SRSE,3A,00161583,SRSE
St. Clair,AL,90,01115,6,4,88019,SRSE,3A,00164997,SRSE
Talladega,AL,90,01121,6,4,80103,SRSE,3A,00161586,SRSE
Tallapoosa,AL,90,01123,6,4,40727,SRSE,3A,00161587,SRSE
Washington,AL,90,01129,6,5,16756,SRSE,3A,00161590,SRSE
Bibb,AL,89,01007,6,4,22643,SRSE,3A,00161529,SRSE
Choctaw,AL,89,01023,6,4,12993,SRSE,3A,00161537,SRSE
Colbert,AL,89,01033,6,4,54216,SRSE,3A,00161542,SRSE
Cullman,AL,89,01043,6,4,82471,SRSE,3A,00161547,SRSE
DeKalb,AL,89,01049,6,4,70900,SRSE,3A,00161550,SRSE
Fayette,AL,89,01057,6,4,16546,SRSE,3A,00161554,SRSE
Franklin,AL,89,01059,6,4,31628,SRSE,3A,00161555,SRSE
Greene,AL,89,01063,6,4,8422,SRSE,3A,00161557,SRSE
Hale,AL,89,01065,6,5,14952,SRSE,3A,00161558,SRSE
Jackson,AL,89,01071,6,4,52138,SRSE,3A,00161561,SRSE
Jefferson,AL,89,01073,6,4,659521,SRSE,3A,00161562,SRSE
Lamar,AL,89,01075,6,4,13918,SRSE,3A,00161563,SRSE
Lauderdale,AL,89,01077,6,4,92318,SRCE,3A,00161564,SRSE
Lawrence,AL,89,01079,6,4,33244,SRSE,3A,00161565,SRSE
Limestone,AL,89,01083,6,4,92753,SRCE,3A,00161567,SRSE
Madison,AL,89,01089,6,4,356967,SRCE,3A,00161570,SRSE
Marengo,AL,89,01091,6,5,19673,SRSE,3A,00161572,SRSE
Marion,AL,89,01093,6,4,29998,SRSE,3A,00161573,SRSE
Marshall,AL,89,01095,6,4,95157,SRSE,3A,00161574,SRSE
Morgan,AL,89,01103,6,4,119012,SRCE,3A,00161578,SRSE
Perry,AL,89,01105,6,4,9574,SRSE,3A,00161579,SRSE
Pickens,AL,89,01107,6,4,20324,SRSE,3A,00161580,SRSE
Shelby,AL,89,01117,6,4,210622,SRSE,3A,00161584,SRSE
Sumter,AL,89,01119,6,4,13040,SRSE,3A,00161585,SRSE
Tuscaloosa,AL,89,01125,6,4,206102,SRSE,3A,00161588,SRSE
Walker,AL,89,01127,6,4,64967,SRSE,3A,00161589,SRSE
Wilcox,AL,89,01131,6,5,10986,SRSE,3A,00161591,SRSE
Winston,AL,89,01133,6,4,23805,SRSE,3A,00161592,SRSE
Apache,AZ,29,04001,8,2,73112,AZNM,5B,00025441,SRSG
Cochise,AZ,28,04003,8,4,125770,AZNM,3B,00025442,SRSG
Coconino,AZ,28,04005,8,2,140908,AZNM,5B,00025443,SRSG
Gila,AZ,28,04007,8,4,53556,AZNM,4B,00040471,SRSG
Graham,AZ,28,04009,8,5,37599,AZNM,3B,00025444,SRSG
Greenlee,AZ,28,04011,8,5,9613,AZNM,3B,00042807,SRSG
La Paz,AZ,28,04012,8,5,20317,AZNM,2B,00043540,SRSG
Maricopa,AZ,28,04013,8,5,4242997,AZNM,2B,00037026,SRSG
