state,heating,cooling
AL,0.75,1.25
AK,0.75,1.25
AZ,0.75,1.25
AR,0.75,1.25
CA,0.75,1.25
CO,0.75,1.25
CT,0.75,1.25
DE,0.75,1.25
DC,0.75,1.25
FL,0.75,1.25
GA,0.75,1.25
HI,0.75,1.25
ID,0.75,1.25
IL,0.75,1.25
IN,0.75,1.25
IA,0.75,1.25
KS,0.75,1.25
KY,0.75,1.25
LA,0.75,1.25
ME,0.75,1.25
MD,0.75,1.25
MA,0.75,1.25
MI,0.75,1.25
MN,0.75,1.25
MS,0.75,1.25
MO,0.75,1.25
MT,0.75,1.25
NE,0.75,1.25
NV,0.75,1.25
NH,0.75,1.25
NJ,0.75,1.25
NM,0.75,1.25
NY,0.75,1.25
NC,0.75,1.25
ND,0.75,1.25
OH,0.75,1.25
OK,0.75,1.25
OR,0.75,1.25
PA,0.75,1.25
RI,0.75,1.25
SC,0.75,1.25
SD,0.75,1.25
TN,0.75,1.25
TX,0.75,1.25
UT,0.75,1.25
VT,0.75,1.25
VA,0.75,1.25
WA,0.75,1.25
WV,0.75,1.25
WI,0.75,1.25
WY,0.75,1.25
