dsire_id,dsire_name,dsire_match_reason,source_url,llm_confidence,llm_open_questions,scenario,description,state(s),building type(s),building vintage(s),end use(s),tech(s),fuel type(s),base fuel,base fuel backup,modification,scope,ira,increase pct,performance level,performance units,credit pct,rebate amount,rebate units,start year,end year,applicable fraction,fraction notes
5785,Arkansas Oklahoma Gas (AOG) Residential Rebate Program,updated,https://www.aogc.com/energyefficiency.aspx,medium,"This row represents the tier for >=95% AFUE gas furnaces ($800 rebate). Program also offers $400 for 90-94.9% AFUE gas furnaces, $700 for natural gas water heaters (>=0.90 EF or 90% TE), and $100 for smart thermostats; separate candidate rows should be drafted for those technologies. Exact start/end years are not specified in the input.",reference,Arkansas Oklahoma Gas (AOG) Residential Rebate Program: https://www.aogc.com/energyefficiency.aspx,AR,all residential,all,heating,furnace (NG),natural gas,natural gas,,replace,non-federal,,,0.95,AFUE,,800,$/unit,,,,
3681,Entergy Arkansas - CitySmart Energy Efficiency Program,updated,https://www.entergyarkansas.com/energyefficiency/business/citysmart,low,"Program provides performance-based incentives ($0.12/kWh for one measure up to $0.15/kWh for 4+ comprehensive measures) for public sector and educational commercial facilities. Specific equipment/tech mappings are not provided. Check if start/end years and specific commercial building sub-types (e.g., K-12 school, higher education) should be explicitly modeled.",reference,Entergy Arkansas - CitySmart Energy Efficiency Program: https://www.entergyarkansas.com/energyefficiency/business/citysmart,AR,commercial,all,all,all,electricity,electricity,,replace,non-federal,,,,,,0.12,$/kWh,,,,
5494,Entergy Arkansas - Small Business Energy Efficiency Programs,updated,http://www.entergyarkansas.com/smallbusiness,low,"Program start and end years are omitted as they are not explicitly specified in the source. Rebate is expressed in $/kWh savings rather than per-unit or per-square-foot, which may require conversion for Scout modeling. Target technology was selected as ceiling insulation (roof); additional rows may be needed for HVAC, duct sealing, lighting, and refrigeration.",reference,Entergy Arkansas Small Business Energy Efficiency Programs: http://www.entergyarkansas.com/smallbusiness,AR,all commercial,all,heating,roof,electricity,all,,replace,non-federal,,,,,,0.35,$/kWh,,,,
3637,Liberty Utilities - Commercial & Industrial Energy Efficiency Rebates,updated,https://central.libertyutilities.com/all/residential/ways-to-save/arkansas-electric-commercial-industrial-program.html,medium,"Program contains prescriptive rebates for multiple equipment types (chillers, CAC, heat pumps, lighting, controls). This draft focuses on commercial heat pumps ($50/ton). Efficiency thresholds (COP/HSPF/IEER) and program start/end dates are not provided in the text and need verification from the program catalog.",reference,Liberty Utilities - Commercial & Industrial Energy Efficiency Rebates: https://central.libertyutilities.com/all/residential/ways-to-save/arkansas-electric-commercial-industrial-program.html,AR,all commercial,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,50,$/ton,,,,
22726,Arizona – Home Electrification and Appliance Rebate (HEAR) Program,updated,https://efficiencyarizona.com/,medium,"Numeric performance thresholds for ENERGY STAR certification are not detailed in the summary text. Rebate caps vary by income level (100% of project cost for <80% AMI vs 50% for 80-150% AMI). This entry represents space heating heat pumps; additional rows would be needed for HPWH ($1,750), HP dryers ($840), and insulation/air sealing ($1,600).",reference,"AZ Home Electrification and Appliance Rebate (HEAR) Program, Governor’s Office of Resiliency: https://efficiencyarizona.com/",AZ,residential single family,all,heating,ASHP,electricity,all,,replace,non-federal,yes,,,,,8000,$/unit,2024,,,
1683,Energy Equipment Property Tax Exemption,updated,,low,"This program provides a 100% property tax exemption on the added value of eligible energy equipment/components, rather than a direct equipment rebate or income tax credit. Specific rebate amounts or credit percentages relative to equipment cost are not provided. Reviewer must determine how property tax exemptions should be modeled within Scout's incentive schema.",reference,Energy Equipment Property Tax Exemption (Arizona Department of Revenue),AZ,all,all,all,all,all,,,,non-federal,,,,,,,,2006,,,
2984,Property Tax Assessment for Renewable Energy Equipment,expired+updated,,low,"This program is a property tax valuation mechanism (assessed at 20% depreciated cost) for utility/commercial renewable generation, storage, and transmission equipment expressly 'not intended for self-consumption'. It does not target residential or commercial building end-use efficiency/equipment upgrades tracked in Scout. Missing numeric rebate/credit rates, specific start/end years, and mapped Scout technologies/end uses.",reference,Property Tax Assessment for Renewable Energy Equipment (Arizona Dept of Revenue): https://www.azleg.gov/legtext/51leg/2R/laws/0264.pdf,AZ,commercial,all,,,,,,,non-federal,,,,,,,,,,,
2,Qualifying Wood Stove Deduction,updated,,low,"Tax deduction up to $500 reduces taxable income, not a direct rebate/credit. Equipment includes wood stoves and gas fireplaces, which do not cleanly map to standard Scout techs (mapped to furnace (NG)). Numeric performance metrics are missing beyond standard 40 CFR part 60 subpart AAA. Source URL was not provided.",reference,Qualifying Wood Stove Deduction: Arizona personal tax deduction for converting existing wood fireplace to qualifying wood stove or gas fireplace.,AZ,all residential,all,heating,furnace (NG),natural gas,wood,,replace,non-federal,,,,,,500,$/unit,1994,,,
119,Solar and Wind Equipment Sales Tax Exemption,updated,,low,"The incentive is a 100% sales tax exemption rather than a direct rebate or fixed tax credit percentage of system cost; converting this to Scout rebate units requires specifying local/state sales tax rates (e.g., 5.6% state + city privilege tax). Program covers multiple technologies (PV, wind, solar water heating, daylighting); mapped tentatively to electric WH / solar. Missing source URL and explicit start/end years.",reference,Arizona Solar and Wind Equipment Sales Tax Exemption: Arizona Department of Revenue,AZ,all,all,water heating,electric WH,solar,all,,replace,non-federal,,,,,,,,,,,
1429,Pacific Power - wattsmart Business,updated,https://www.pacificpower.net/savings-energy-choices/business/wattsmart-efficiency-incentives-california.html,medium,Start year and end year are missing from the input text. Equipment efficiency requirements (COP/EER) and building type granularity (commercial vs. industrial) should be verified against program documentation.,reference,Pacific Power - wattsmart Business: https://www.pacificpower.net/savings-energy-choices/business/wattsmart-efficiency-incentives-california.html,CA,commercial,all,heating,GSHP,electricity,,,replace,non-federal,,,,,,62,$/ton,,,,
