CZONE,BLDG,ENDUSE,AREA,WIND_COND,WALL,ROOF,FLOOR,GRND,EQUIP_ELEC,EQUIP_NELEC,PEOPLE,INFIL,LIGHTS,WIND_SOL,VENT,NET
1,7,1,95.1,-11.9,-3.4,-1.5,-0.3,0,1.9,0,0.3,-1.5,4,4.5,-1.5,-9.4
1,7,2,76.6,-5.2,-0.7,-0.1,-0.4,0,6.5,0,1.2,-2,12.8,15.4,-2.2,25.3
2,7,1,705,-8.7,-2.4,-1,-0.2,0,1.4,0,0.2,-1.4,3.1,3.8,-1,-6.2
2,7,2,657.6,-5,-0.6,0,-0.4,0,6.7,0,1.3,-1.7,13.3,16.3,-1.7,28
3,7,1,556.4,-4.8,-1.3,-0.4,-0.1,0,0.7,0,0.1,-0.5,1.6,2,-0.5,-3.2
3,7,2,535.2,-4.9,-0.3,0,-0.5,0,7.3,0,1.4,-1.6,14.6,17.6,-1.4,32.1
4,7,1,686.3,-0.2,-0.1,0,0,0,0,0,0,0,0.1,0.1,0,-0.1
4,7,2,701.9,-10.2,-0.9,-0.2,-0.8,0,8.8,0,1.6,-1.3,17.7,31.5,-1.2,45
5,7,1,548.1,-1,-0.2,-0.1,0,0,0.2,0,0,-0.1,0.4,0.5,-0.1,-0.4
5,7,2,548.7,-5.3,-0.2,0.1,-0.8,0,8.6,0,1.6,-1.4,17.3,24.8,-0.3,44.5
1,7,1,239.4,-12.2,-6.4,-1.3,-0.2,0,1.8,0,0.2,-1.5,5.3,4.9,-1.3,-10.6
1,7,2,185.4,-4.8,-1,-0.2,-0.4,0,6.4,0,1,-2.4,17.7,15.9,-1.8,30.4
2,7,1,1621.5,-8.9,-4.6,-0.8,-0.2,0,1.4,0,0.2,-1.4,4.1,4,-0.8,-7
2,7,2,1360.6,-4.8,-0.9,-0.1,-0.4,0,6.8,0,1.1,-2.1,18.6,16.9,-1.5,33.5
3,7,1,1745.3,-4.6,-2.4,-0.3,-0.1,0,0.7,0,0.1,-0.5,2.1,1.9,-0.4,-3.5
3,7,2,1761.8,-4.6,-0.6,-0.1,-0.5,0,7.4,0,1.2,-1.8,20.4,17.1,-1.3,37.1
4,7,1,996.2,-0.2,-0.1,0,0,0,0,0,0,0,0.1,0.1,0,-0.1
4,7,2,983.2,-8.5,-1.4,-0.2,-0.8,0,8.7,0,1.3,-1.3,24.3,26.2,-1,47.4
5,7,1,428.8,-0.9,-0.5,-0.1,0,0,0.2,0,0,-0.1,0.5,0.5,-0.1,-0.5
5,7,2,324.7,-4.4,-0.2,0.1,-0.8,0,8.6,0,1.3,-1.5,24.1,20.5,-0.2,47.6
