ENDUSE	CDIV	BLDG	WIND_COND	WIND_SOL	ROOF	WALL	INFIL	PEOPLE	GRND	EQUIP_ELEC	EQUIP_NELEC	FLOOR	LIGHTS	VENT
HT	1	1	0.2237	-0.0784	0.0853	0.1609	0.3755	-0.0619	-0.0102	-0.0277	0.0417	0.0	-0.0591	0.3502
HT	1	2	0.2097	-0.0693	0.0839	0.1352	0.3383	-0.0808	-0.0123	-0.0115	0.0223	0.0	-0.0341	0.4185
HT	1	3	0.0797	-0.0112	0.0512	0.0331	0.0853	-0.0373	-0.0309	0.2439	0.3861	0.0	-0.0631	0.2633
HT	1	4	0.0735	-0.0135	0.0563	0.08	0.1049	-0.0402	-0.0265	0.0107	0.1037	0.0	-0.0225	0.6736
HT	1	5	0.1928	-0.0382	0.092	0.0734	0.2561	-0.0325	-0.0179	-0.1068	0.0002	0.0	-0.0495	0.6305
HT	1	6	0.2476	-0.0641	0.0702	0.1383	0.4144	-0.0581	-0.0151	-0.0513	0.0501	0.0	-0.0524	0.3204
HT	1	7	0.1744	-0.0414	0.0282	0.0187	0.1326	-0.018	-0.0115	-0.0559	0.0	0.0	-0.0213	0.7942
HT	1	8	0.2532	-0.0958	0.1155	0.2125	0.5636	-0.0508	0.0136	-0.1628	0.0	0.0	-0.0764	0.2274
HT	1	9	0.2172	-0.0721	0.0794	0.1657	0.2584	-0.0614	-0.0142	0.0237	0.0753	0.0	-0.0706	0.3986
HT	1	10	0.2321	-0.0828	0.2021	0.3176	0.4564	-0.0017	-0.0451	-0.0881	0.0	0.0	-0.0621	0.0716
HT	1	11	0.2101	-0.0659	0.0968	0.1557	0.32	-0.0418	-0.0178	-0.0464	0.0253	0.0	-0.0485	0.4125
HT	1	12	0.2101	-0.0659	0.0968	0.1557	0.32	-0.0418	-0.0178	-0.0464	0.0253	0.0	-0.0485	0.4125
CL	1	1	0.0518	0.2203	0.1005	0.1099	-0.0312	0.1567	-0.0255	0.1233	-0.0056	0.0	0.1114	0.1883
CL	1	2	0.0658	0.2455	0.1211	0.1039	-0.0321	0.2021	-0.0217	0.0733	-0.0039	0.0	0.0579	0.1881
CL	1	3	0.0043	0.1027	0.0085	0.0167	-0.0454	0.1546	-0.0184	0.5377	-0.2984	0.0	0.2172	0.3205
CL	1	4	-0.0167	0.0684	0.018	-0.0085	-0.0442	0.2806	-0.084	0.4436	-0.0598	0.0	0.0831	0.3195
CL	1	5	-0.0111	0.0948	0.0377	0.0316	-0.0248	0.1266	-0.0006	0.4414	-0.0041	0.0	0.1128	0.1956
CL	1	6	-0.0024	0.151	0.041	0.0818	-0.0385	0.1547	0.0035	0.4277	-0.0071	0.0	0.0778	0.1105
