ENDUSE	CDIV	BLDG	NBLDGS	WIND_COND	WIND_SOL	ROOF	WALL	INFIL	PEOPLE	GRND	EQUIP
HT	1	1	4132590.3769	0.1335	-0.0812	0.0804	0.3824	0.3981	0.0	0.0949	-0.0082
CL	1	1	4132590.3769	-0.0686	0.3893	0.0541	0.3092	-0.1181	0.0	-0.1302	0.5642
HT	1	2	2325901.2233	0.1709	-0.0888	0.0828	0.2792	0.5312	0.0	0.1228	-0.0982
CL	1	2	2325901.2233	-0.1242	0.4805	0.115	0.0109	-0.2059	0.0	-0.0953	0.819
HT	1	3	161151.905	0.1546	-0.1074	0.0932	0.204	0.3284	0.0	0.3528	-0.0257
CL	1	3	161151.905	-0.1538	0.6442	0.0461	-0.0068	-0.2255	0.0	-0.4016	1.0974
HT	2	1	10574197.0317	0.1247	-0.0755	0.079	0.3696	0.425	0.0	0.0905	-0.0133
CL	2	1	10574197.0317	-0.0312	0.2847	0.0561	0.2757	-0.0528	0.0	-0.0557	0.5232
HT	2	2	6726167.6458	0.1839	-0.0996	0.0698	0.2505	0.6223	0.0	0.0932	-0.1202
CL	2	2	6726167.6458	-0.061	0.3659	0.0813	0.0249	-0.1052	0.0	-0.015	0.7091
HT	2	3	454651.9846	0.1544	-0.1104	0.088	0.22	0.3298	0.0	0.3182	-0.0001
CL	2	3	454651.9846	-0.0766	0.4809	0.0501	0.0803	-0.1159	0.0	-0.2299	0.811
HT	3	1	15065840.8055	0.1307	-0.0687	0.0735	0.3663	0.4001	0.0	0.092	0.0061
CL	3	1	15065840.8055	-0.0361	0.2998	0.047	0.3035	-0.0592	0.0	-0.0546	0.4996
HT	3	2	5084603.3255	0.1822	-0.0847	0.0911	0.224	0.5558	0.0	0.105	-0.0733
CL	3	2	5084603.3255	-0.0778	0.3947	0.1014	0.0289	-0.1249	0.0	-0.0481	0.7259
HT	3	3	811967.2254	0.1539	-0.1008	0.0816	0.1999	0.3195	0.0	0.317	0.029
CL	3	3	811967.2254	-0.0465	0.4106	0.0503	0.1045	-0.0713	0.0	-0.1522	0.7045
HT	4	1	7083234.5785	0.1381	-0.0712	0.0679	0.3429	0.4214	0.0	0.0982	0.0027
CL	4	1	7083234.5785	-0.0225	0.2717	0.0459	0.2859	-0.0215	0.0	-0.0282	0.4687
HT	4	2	1953687.5014	0.1908	-0.0877	0.1071	0.1899	0.5819	0.0	0.1057	-0.0878
CL	4	2	1953687.5014	-0.0631	0.3553	0.1073	0.0468	-0.0958	0.0	-0.04	0.6896
HT	4	3	448692.5921	0.1494	-0.1007	0.0745	0.1841	0.3239	0.0	0.3153	0.0535
CL	4	3	448692.5921	-0.0229	0.3716	0.0542	0.1251	-0.0313	0.0	-0.093	0.5963
HT	5	1	18733101.9529	0.181	-0.1301	0.1204	0.32	0.4279	0.0	0.0922	-0.0116
CL	5	1	18733101.9529	-0.0087	0.2379	0.0588	0.14	-0.0008	0.0	0.08	0.4929
HT	5	2	6746280.5954	0.2741	-0.1649	0.1122	0.2458	0.6555	0.0	0.0784	-0.201
