EMMReg,Year,Summer-MaxHr,Summer-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr1,Summer-TakeEndHr1,Summer-TakeStartHr2,Summer-TakeEndHr2,Summer-TakeStartHr3,Summer-TakeEndHr3,Winter-MaxHr,Winter-MinHr,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr1,Winter-TakeEndHr1,Winter-TakeStartHr2,Winter-TakeEndHr2,Winter-TakeStartHr3,Winter-TakeEndHr3,Inter-MaxHr,Inter-MinHr,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr1,Inter-TakeEndHr1,Inter-TakeStartHr2,Inter-TakeEndHr2,Inter-TakeStartHr3,Inter-TakeEndHr3
1,2025,18,5,17,20,2,7,,,,,20,5,19,22,1,7,9.0,17.0,,,19,4,18,21,1,15,,,,
2,2025,19,5,18,21,2,12,,,,,20,13,18,21,4,4,10.0,16.0,,,19,11,17,20,2,6,9.0,14.0,,
3,2025,18,4,17,20,1,5,,,,,11,4,10,13,1,6,24.0,24.0,,,10,3,9,12,1,6,24.0,24.0,,
4,2025,16,3,15,18,1,6,24.0,24.0,,,19,3,18,21,1,6,13.0,16.0,23.0,24.0,19,3,18,21,1,6,23.0,24.0,,
5,2025,19,3,18,21,1,5,11.0,15.0,24.0,24.0,19,4,18,21,1,6,11.0,16.0,24.0,24.0,20,14,18,21,1,5,11.0,16.0,24.0,24.0
6,2025,19,11,17,20,9,14,,,,,20,13,18,21,11,15,,,,,20,11,18,21,10,15,,,,
7,2025,18,4,17,20,1,14,,,,,19,13,17,20,1,6,10.0,15.0,,,19,4,18,21,1,15,24.0,24.0,,
8,2025,17,4,16,19,1,7,,,,,19,5,18,21,1,7,,,,,18,5,17,20,1,7,,,,
9,2025,19,4,18,21,1,6,,,,,19,4,18,21,1,6,10.0,15.0,24.0,24.0,19,4,18,21,1,7,9.0,15.0,24.0,24.0
10,2025,18,5,17,20,1,11,,,,,19,13,17,20,1,6,10.0,16.0,,,21,12,19,22,1,16,24.0,24.0,,
11,2025,18,4,17,20,1,6,,,,,19,3,18,21,1,6,14.0,16.0,24.0,24.0,19,3,18,21,1,6,24.0,24.0,,
12,2025,17,5,16,19,1,6,,,,,20,5,19,22,1,7,,,,,12,5,11,14,1,7,,,,
13,2025,19,4,18,21,1,11,,,,,19,14,17,20,11,16,,,,,21,12,19,22,1,6,9.0,15.0,,
14,2025,18,4,17,20,1,7,,,,,20,14,18,21,1,5,10.0,17.0,,,20,4,19,22,1,6,8.0,16.0,24.0,24.0
15,2025,19,4,18,21,1,12,24.0,24.0,,,19,13,17,20,11,16,,,,,19,11,17,20,1,1,3.0,3.0,9.0,15.0
16,2025,19,11,17,20,3,5,8.0,14.0,,,20,13,18,21,11,15,,,,,20,12,18,21,10,15,,,,
17,2025,19,4,18,21,1,6,,,,,19,15,17,20,1,5,11.0,16.0,,,19,3,18,21,1,6,10.0,15.0,24.0,24.0
18,2025,19,4,18,21,1,5,,,,,19,14,17,20,3,3,12.0,15.0,,,19,13,17,20,1,5,11.0,15.0,24.0,24.0
19,2025,15,4,14,17,1,6,24.0,24.0,,,11,3,10,13,1,6,24.0,24.0,,,11,3,10,13,1,6,24.0,24.0,,
20,2025,18,4,17,20,1,10,,,,,20,14,18,21,10,16,,,,,19,11,17,20,1,1,3.0,4.0,9.0,15.0
21,2025,21,10,19,22,10,15,,,,,19,13,17,20,10,15,,,,,21,11,19,22,10,15,,,,
22,2025,22,11,20,23,10,14,,,,,19,12,17,20,11,14,,,,,20,12,18,21,10,14,,,,
23,2025,19,3,18,21,1,6,9.0,16.0,23.0,24.0,19,13,17,20,1,5,11.0,16.0,24.0,24.0,19,13,17,20,1,5,10.0,16.0,24.0,24.0
24,2025,18,3,17,20,1,6,9.0,10.0,24.0,24.0,19,13,17,20,1,6,10.0,15.0,,,19,3,18,21,1,6,9.0,15.0,24.0,24.0
25,2025,19,10,17,20,9,15,,,,,19,13,17,20,11,15,,,,,20,13,18,21,10,15,,,,
1,2030,19,11,17,20,4,6,9.0,13.0,,,21,13,19,22,11,16,,,,,19,12,17,20,10,15,,,,
2,2030,19,11,17,20,10,13,,,,,20,13,18,21,11,15,,,,,19,12,17,20,10,14,,,,
3,2030,9,3,8,11,1,5,,,,,12,4,11,14,1,6,24.0,24.0,,,11,3,10,13,1,5,24.0,24.0,,
4,2030,18,3,17,20,1,5,24.0,24.0,,,18,14,16,19,1,5,11.0,16.0,23.0,24.0,18,3,17,20,1,6,13.0,14.0,23.0,24.0
5,2030,19,13,17,20,11,15,,,,,19,14,17,20,12,15,,,,,20,14,18,21,11,15,,,,
6,2030,20,12,18,21,10,14,,,,,20,12,18,21,11,14,,,,,20,12,18,21,11,15,,,,
7,2030,18,12,16,19,1,1,3.0,7.0,9.0,15.0,18,13,16,19,5,5,10.0,15.0,,,18,13,16,19,1,1,4.0,6.0,10.0,15.0
8,2030,18,5,17,20,1,7,,,,,18,5,17,20,2,15,,,,,18,5,17,20,1,14,,,,
9,2030,19,5,18,21,1,8,10.0,13.0,,,19,13,17,20,1,6,10.0,15.0,,,19,12,17,20,1,16,,,,
10,2030,19,11,17,20,3,6,8.0,15.0,,,19,13,17,20,11,15,,,,,19,12,17,20,10,15,,,,
11,2030,19,12,17,20,1,1,3.0,6.0,10.0,15.0,19,13,17,20,11,16,,,,,19,13,17,20,10,15,,,,
12,2030,18,5,17,20,1,7,,,,,19,5,18,21,1,7,,,,,18,5,17,20,1,7,,,,
13,2030,19,11,17,20,9,14,,,,,19,13,17,20,11,15,,,,,21,12,19,22,10,15,,,,
14,2030,19,12,17,20,9,14,,,,,20,13,18,21,11,15,,,,,20,12,18,21,11,14,,,,
15,2030,20,12,18,21,10,13,,,,,19,13,17,20,11,15,,,,,20,12,18,21,11,14,,,,
16,2030,19,11,17,20,9,14,,,,,20,13,18,21,11,15,,,,,19,12,17,20,10,14,,,,
17,2030,19,11,17,20,2,5,10.0,13.0,,,19,13,17,20,10,16,,,,,19,16,17,20,1,6,9.0,16.0,24.0,24.0
18,2030,18,3,17,20,1,5,,,,,18,3,17,20,1,5,14.0,14.0,,,18,3,17,20,1,5,24.0,24.0,,
19,2030,18,2,17,20,1,5,24.0,24.0,,,18,3,17,20,1,5,24.0,24.0,,,18,4,17,20,1,6,23.0,24.0,,
20,2030,18,5,17,20,1,6,,,,,19,14,17,20,11,16,,,,,19,14,17,20,1,1,3.0,4.0,10.0,16.0
21,2030,21,10,19,22,10,15,,,,,19,13,17,20,11,14,,,,,21,11,19,22,10,15,,,,
22,2030,20,11,18,21,10,14,,,,,19,12,17,20,11,14,,,,,21,12,19,22,11,14,,,,
23,2030,19,15,17,20,3,5,9.0,16.0,,,19,13,17,20,11,15,,,,,19,14,17,20,10,15,,,,
24,2030,18,3,17,20,1,5,24.0,24.0,,,19,13,17,20,1,6,10.0,15.0,,,19,4,18,21,1,5,13.0,14.0,24.0,24.0
25,2030,20,10,18,21,10,15,,,,,19,13,17,20,11,14,,,,,20,12,18,21,10,15,,,,
1,2035,19,11,17,20,10,13,,,,,22,14,20,23,11,15,,,,,19,12,17,20,10,15,,,,
2,2035,19,12,17,20,10,13,,,,,19,14,17,20,11,15,,,,,19,12,17,20,11,14,,,,
3,2035,9,4,8,11,1,5,,,,,12,5,11,14,1,6,24.0,24.0,,,11,4,10,13,1,6,24.0,24.0,,
4,2035,18,3,17,20,1,5,24.0,24.0,,,18,3,17,20,1,6,12.0,16.0,22.0,24.0,18,3,17,20,1,5,23.0,24.0,,
5,2035,19,13,17,20,11,15,,,,,19,13,17,20,12,15,,,,,20,13,18,21,11,15,,,,
6,2035,21,14,19,22,11,14,,,,,19,13,17,20,12,15,,,,,19,12,17,20,12,15,,,,
7,2035,18,11,16,19,5,5,9.0,15.0,,,18,13,16,19,10,15,,,,,18,13,16,19,10,15,,,,
8,2035,18,5,17,20,3,7,,,,,18,5,17,20,3,8,10.0,13.0,,,12,7,11,14,1,9,24.0,24.0,,
9,2035,18,5,17,20,3,14,,,,,19,13,17,20,4,6,10.0,15.0,,,19,12,17,20,4,15,,,,
10,2035,19,11,17,20,4,6,8.0,14.0,,,19,13,17,20,11,15,,,,,19,12,17,20,10,15,,,,
11,2035,19,12,17,20,1,6,10.0,15.0,,,19,13,17,20,11,16,,,,,19,13,17,20,10,15,,,,
12,2035,18,5,17,20,2,7,,,,,19,5,18,21,2,8,,,,,18,5,17,20,1,7,,,,
13,2035,19,12,17,20,10,14,,,,,19,13,17,20,11,15,,,,,19,12,17,20,11,14,,,,
14,2035,19,12,17,20,10,13,,,,,20,13,18,21,12,14,,,,,20,12,18,21,11,14,,,,
15,2035,20,12,18,21,11,13,,,,,20,13,18,21,12,15,,,,,20,12,18,21,11,14,,,,
16,2035,19,11,17,20,10,14,,,,,19,13,17,20,11,14,,,,,20,12,18,21,10,14,,,,
17,2035,19,11,17,20,10,13,,,,,19,14,17,20,11,16,,,,,19,13,17,20,10,16,,,,
18,2035,18,3,17,20,1,5,,,,,18,4,17,20,1,6,14.0,14.0,,,18,4,17,20,1,5,24.0,24.0,,
19,2035,18,3,17,20,1,5,24.0,24.0,,,18,3,17,20,1,6,24.0,24.0,,,18,4,17,20,1,6,24.0,24.0,,
20,2035,18,11,16,19,3,6,9.0,14.0,,,19,13,17,20,11,15,,,,,19,12,17,20,10,15,,,,
21,2035,2,14,0,3,12,15,,,,,19,13,17,20,11,15,,,,,3,13,1,4,12,16,,,,
22,2035,24,12,22,25,12,15,,,,,18,13,16,19,12,15,,,,,3,14,1,4,12,15,,,,
23,2035,19,14,17,20,10,16,,,,,19,13,17,20,11,15,,,,,19,13,17,20,11,15,,,,
24,2035,18,5,17,20,1,6,24.0,24.0,,,18,14,16,19,4,5,10.0,15.0,,,19,14,17,20,1,6,9.0,15.0,24.0,24.0
25,2035,19,11,17,20,10,15,,,,,19,13,17,20,12,14,,,,,19,13,17,20,12,14,,,,
1,2040,19,11,17,20,10,13,,,,,20,12,18,21,11,15,,,,,19,12,17,20,11,15,,,,
2,2040,19,12,17,20,10,13,,,,,19,14,17,20,12,15,,,,,19,13,17,20,11,15,,,,
3,2040,18,4,17,20,1,5,,,,,12,5,11,14,1,6,24.0,24.0,,,10,4,9,12,1,6,24.0,24.0,,
4,2040,18,3,17,20,1,5,24.0,24.0,,,18,23,16,19,1,6,12.0,16.0,21.0,24.0,18,3,17,20,1,6,22.0,24.0,,
5,2040,19,13,17,20,11,15,,,,,19,14,17,20,12,15,,,,,19,13,17,20,11,15,,,,
6,2040,19,12,17,20,11,14,,,,,20,13,18,21,12,15,,,,,19,12,17,20,12,15,,,,
7,2040,18,11,16,19,9,14,,,,,18,13,16,19,10,15,,,,,18,13,16,19,10,15,,,,
8,2040,18,5,17,20,3,7,,,,,18,6,17,20,4,14,,,,,18,6,17,20,3,14,,,,
9,2040,18,5,17,20,3,15,,,,,18,13,16,19,5,6,10.0,15.0,,,18,12,16,19,5,15,,,,
10,2040,18,11,16,19,5,6,8.0,14.0,,,19,13,17,20,11,15,,,,,19,12,17,20,10,15,,,,
11,2040,19,12,17,20,1,7,10.0,15.0,,,19,13,17,20,11,16,,,,,19,13,17,20,10,15,,,,
12,2040,18,5,17,20,3,7,,,,,19,5,18,21,2,8,13.0,13.0,,,18,5,17,20,1,8,,,,
13,2040,19,12,17,20,11,13,,,,,19,13,17,20,12,14,,,,,20,12,18,21,11,14,,,,
14,2040,22,12,20,23,10,13,,,,,20,13,18,21,12,14,,,,,24,12,22,25,11,14,,,,
15,2040,19,12,17,20,10,13,,,,,19,13,17,20,12,15,,,,,20,12,18,21,11,14,,,,
16,2040,19,12,17,20,10,13,,,,,20,13,18,21,11,14,,,,,21,12,19,22,11,14,,,,
17,2040,19,11,17,20,10,12,,,,,19,14,17,20,12,15,,,,,19,13,17,20,11,15,,,,
18,2040,18,4,17,20,1,5,,,,,18,4,17,20,1,6,13.0,15.0,24.0,24.0,18,4,17,20,1,6,24.0,24.0,,
19,2040,18,5,17,20,1,6,24.0,24.0,,,18,5,17,20,1,6,24.0,24.0,,,18,5,17,20,1,6,24.0,24.0,,
20,2040,19,10,17,20,9,14,,,,,19,12,17,20,11,15,,,,,19,11,17,20,10,15,,,,
21,2040,1,13,-1,2,12,15,,,,,2,13,0,3,12,15,,,,,2,13,0,3,12,15,,,,
22,2040,2,12,0,3,12,15,,,,,1,13,-1,2,12,15,,,,,2,15,0,3,12,15,,,,
23,2040,2,14,0,3,10,15,,,,,1,13,-1,2,11,14,,,,,2,13,0,3,11,15,,,,
24,2040,18,5,17,20,1,6,10.0,10.0,24.0,24.0,18,13,16,19,10,15,,,,,19,14,17,20,5,5,10.0,15.0,24.0,24.0
25,2040,20,11,18,21,10,12,,,,,20,12,18,21,11,14,,,,,20,12,18,21,11,14,,,,
1,2045,19,11,17,20,10,13,,,,,20,12,18,21,12,15,,,,,19,12,17,20,11,15,,,,
2,2045,19,12,17,20,11,13,,,,,19,14,17,20,12,15,,,,,19,13,17,20,12,15,,,,
3,2045,18,5,17,20,1,6,,,,,12,5,11,14,2,6,,,,,10,5,9,12,1,6,24.0,24.0,,
4,2045,18,3,17,20,1,6,23.0,24.0,,,18,23,16,19,1,6,11.0,16.0,21.0,24.0,18,3,17,20,1,6,22.0,24.0,,
5,2045,19,13,17,20,11,15,,,,,19,14,17,20,12,15,,,,,19,13,17,20,11,15,,,,
6,2045,20,11,18,21,11,12,,,,,19,13,17,20,12,14,,,,,19,13,17,20,12,15,,,,
7,2045,18,11,16,19,10,14,,,,,19,13,17,20,10,14,,,,,2,11,0,3,10,14,,,,
8,2045,18,5,17,20,3,8,,,,,18,6,17,20,4,14,,,,,18,6,17,20,4,14,,,,
9,2045,19,11,17,20,5,14,,,,,18,13,16,19,10,15,,,,,19,12,17,20,9,15,,,,
10,2045,18,11,16,19,5,6,8.0,14.0,,,19,13,17,20,11,15,,,,,19,12,17,20,10,15,,,,
11,2045,19,12,17,20,1,1,3.0,7.0,10.0,15.0,19,13,17,20,11,16,,,,,19,13,17,20,10,15,,,,
12,2045,18,5,17,20,3,7,,,,,19,6,18,21,2,8,12.0,13.0,,,18,6,17,20,1,8,,,,
13,2045,19,11,17,20,11,13,,,,,19,13,17,20,12,14,,,,,20,12,18,21,11,14,,,,
14,2045,21,12,19,22,10,13,,,,,19,13,17,20,12,14,,,,,24,12,22,25,11,14,,,,
15,2045,20,12,18,21,11,13,,,,,19,14,17,20,12,15,,,,,20,12,18,21,12,15,,,,
16,2045,20,11,18,21,10,13,,,,,21,13,19,22,11,14,,,,,19,12,17,20,11,14,,,,
17,2045,19,11,17,20,10,12,,,,,19,14,17,20,12,15,,,,,19,13,17,20,11,15,,,,
18,2045,18,4,17,20,1,5,,,,,18,5,17,20,1,6,13.0,15.0,24.0,24.0,18,4,17,20,1,6,14.0,14.0,24.0,24.0
19,2045,18,5,17,20,1,6,24.0,24.0,,,18,5,17,20,1,6,24.0,24.0,,,18,5,17,20,1,6,,,,
20,2045,19,11,17,20,10,13,,,,,2,12,0,3,11,15,,,,,19,13,17,20,10,15,,,,
21,2045,24,13,22,25,13,16,,,,,3,15,1,4,12,16,,,,,1,15,-1,2,13,16,,,,
22,2045,1,15,-1,2,12,15,,,,,3,15,1,4,13,15,,,,,1,15,-1,2,13,15,,,,
23,2045,2,14,0,3,10,15,,,,,1,13,-1,2,11,14,,,,,2,13,0,3,11,15,,,,
24,2045,18,5,17,20,1,6,24.0,24.0,,,18,12,16,19,10,15,,,,,19,13,17,20,9,15,,,,
25,2045,20,11,18,21,10,13,,,,,2,12,0,3,12,14,,,,,3,13,1,4,12,14,,,,
1,2050,19,12,17,20,10,13,,,,,20,13,18,21,12,15,,,,,19,12,17,20,11,14,,,,
2,2050,19,12,17,20,11,12,,,,,19,13,17,20,12,15,,,,,20,13,18,21,12,15,,,,
3,2050,18,5,17,20,1,6,,,,,12,5,11,14,2,6,,,,,10,5,9,12,1,6,24.0,24.0,,
4,2050,18,3,17,20,1,6,23.0,24.0,,,18,23,16,19,1,7,12.0,16.0,21.0,24.0,18,3,17,20,1,6,22.0,24.0,,
5,2050,19,13,17,20,11,15,,,,,19,14,17,20,12,15,,,,,19,13,17,20,11,15,,,,
6,2050,19,11,17,20,11,12,,,,,20,13,18,21,13,14,,,,,20,13,18,21,12,15,,,,
7,2050,18,11,16,19,10,13,,,,,19,13,17,20,10,14,,,,,2,11,0,3,10,14,,,,
8,2050,18,6,17,20,3,8,,,,,18,6,17,20,4,14,,,,,18,6,17,20,4,14,,,,
9,2050,19,11,17,20,10,14,,,,,18,13,16,19,10,15,,,,,19,11,17,20,10,14,,,,
10,2050,19,11,17,20,9,14,,,,,19,13,17,20,11,15,,,,,19,12,17,20,10,14,,,,
11,2050,19,12,17,20,1,1,3.0,7.0,10.0,15.0,19,13,17,20,11,16,,,,,19,13,17,20,10,15,,,,
12,2050,18,5,17,20,3,11,,,,,19,6,18,21,2,15,,,,,18,6,17,20,1,15,,,,
13,2050,19,11,17,20,11,13,,,,,19,13,17,20,12,14,,,,,21,12,19,22,12,14,,,,
14,2050,19,11,17,20,10,13,,,,,20,13,18,21,12,14,,,,,21,12,19,22,12,14,,,,
15,2050,20,12,18,21,11,13,,,,,20,13,18,21,12,15,,,,,19,12,17,20,12,15,,,,
16,2050,19,12,17,20,10,13,,,,,20,13,18,21,12,14,,,,,23,12,21,24,11,14,,,,
17,2050,19,11,17,20,10,12,,,,,19,14,17,20,12,15,,,,,19,14,17,20,11,15,,,,
18,2050,18,4,17,20,1,6,,,,,18,5,17,20,1,6,13.0,15.0,,,18,5,17,20,1,6,13.0,14.0,24.0,24.0
19,2050,18,5,17,20,1,6,24.0,24.0,,,18,5,17,20,1,6,24.0,24.0,,,18,5,17,20,1,6,,,,
20,2050,19,11,17,20,10,13,,,,,2,13,0,3,11,15,,,,,19,13,17,20,10,15,,,,
21,2050,3,13,1,4,13,16,,,,,2,13,0,3,12,15,,,,,1,15,-1,2,13,15,,,,
22,2050,1,14,-1,2,13,16,,,,,1,15,-1,2,13,15,,,,,24,14,22,25,13,15,,,,
23,2050,2,11,0,3,10,15,,,,,1,13,-1,2,11,14,,,,,2,13,0,3,11,14,,,,
24,2050,19,10,17,20,9,13,,,,,19,12,17,20,10,15,,,,,19,12,17,20,10,15,,,,
