ASHRAE	ERCT	FRCC	MROE	MROW	NEWE	NYCW	NYLI	NYUP	RFCE	RFCM	RFCW	SRDA	SRGW	SRSE	SRCE	SRVC	SPNO	SPSO	AZNM	CAMX	NWPP	RMPA
1A	0	0.237463557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2A	0.600107121	0.762536443	0	0	0	0	0	0	0	0	0	0.599161051	0	0.164090997	0	0	0	0.085263771	0	0	0	0
2B	0.022219864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.425311088	0	0	0
3A	0.33749704	0	0	0	0	0	0	0	0	0	0	0.376583204	0	0.777186168	0.206278067	0.443026157	0.043531827	0.752758823	0	0	0	0
3B	0.040038095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075223312	0.427644836	0.74640071	0.008690746	0
3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233444791	0	0
4A	0	0	0	0	0	0.966787258	1	0	0.624536099	0	0.17303888	0.024255745	0.709496795	0.058722836	0.785584523	0.555040046	0.899216856	0.006003868	0	0	0	0
4B	0.00013788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004327379	0.080750227	0.079942414	0.011869337	0	0.006081732
4C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003733349	0.503095168	0
5A	0	0	0.03181941	0.361256491	0.83929947	0.033212742	0	0.702884412	0.364866348	0.915780771	0.749842581	0	0.290503205	0	0.00813741	0.001933798	0.052923938	0	0	0	0	0.014574275
5B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067101663	0.004140573	0.345554557	0.881536433
5C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013538787	0
6A	0	0	0.882434851	0.523254049	0.15632481	0	0	0.297115588	0.010597553	0.084219229	0.075008758	0	0	0	0	0	0	0	0	0	0	0.027106708
6B	0	0	0	0.00333353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00041124	0.126296772	0.044751272
7	0	0	0.085745739	0.112155931	0.004375719	0	0	0	0	0	0.002109782	0	0	0	0	0	0	0	0	0	0.00282397	0.025949579
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
