Name,Avg. res retail price (cents/kWh),Avg. com retail price (cents/kWh),Total Emissions (thousand metric tons CO2),Total retail sales (MWh),Residential price ($/kWh),Commercial price ($/kWh),Emissions Rate (Mt/TWh)
AL,12.53,11.52,"50,841,507","88,095,112",0.125,0.115,0.577120635
AK,22.92,19.8,"3,470,440","5,818,805",0.229,0.198,0.596417993
AZ,12.43,10.25,"43,562,008","77,929,170",0.124,0.103,0.558994892
AR,9.8,8.78,"32,514,094","48,093,032",0.098,0.088,0.676066629
CA,19.15,16.67,"40,873,896","250,378,710",0.192,0.167,0.163248289
CO,12.18,10.43,"33,911,653","56,520,823",0.122,0.104,0.599985124
CT,21.87,16.75,"9,516,510","27,899,996",0.219,0.168,0.341093597
DE,12.55,9.53,"2,649,731","11,469,422",0.126,0.095,0.231025679
DC,12.98,12.26,"110,248","11,028,403",0.130,0.123,0.009996733
FL,11.7,9.27,"98,944,851","240,347,955",0.117,0.093,0.411673363
GA,11.76,10.02,"51,074,113","139,300,990",0.118,0.100,0.366645729
HI,32.06,29.23,"7,337,044","9,452,887",0.321,0.292,0.776169651
ID,9.89,7.67,"2,292,814","23,985,275",0.099,0.077,0.095592567
IL,13.03,9.08,"63,035,606","138,319,481",0.130,0.091,0.455724715
IN,12.58,11.03,"77,843,592","102,104,203",0.126,0.110,0.762393611
IA,12.46,9.99,"28,988,947","51,043,148",0.125,0.100,0.567930234
KS,12.71,10.29,"20,884,284","41,159,628",0.127,0.103,0.507397297
KY,10.8,10.15,"58,804,933","75,345,382",0.108,0.102,0.780471629
LA,9.8,8.91,"48,115,697","93,128,525",0.098,0.089,0.516659069
ME,17.89,12.83,"1,823,124","11,732,040",0.179,0.128,0.155397015
MD,13.12,9.97,"13,109,026","60,720,658",0.131,0.100,0.215890711
MA,21.92,16.8,"8,519,433","51,336,598",0.219,0.168,0.165952426
MI,15.74,11.39,"57,231,577","101,249,293",0.157,0.114,0.56525409
MN,13.04,10.34,"25,291,489","66,965,594",0.130,0.103,0.377678857
MS,11.27,10.52,"25,018,342","48,951,026",0.113,0.105,0.511089226
MO,11.14,9.07,"57,515,520","78,857,775",0.111,0.091,0.729357632
MT,11.13,10.41,"16,347,567","15,321,271",0.111,0.104,1.066985043
NE,10.77,8.85,"23,660,117","30,383,190",0.108,0.089,0.778723926
NV,12,8.04,"13,921,372","36,982,386",0.120,0.080,0.3764325
NH,20.05,15.93,"1,952,037","10,711,657",0.201,0.159,0.182234831
NJ,15.85,12.23,"18,868,591","73,916,704",0.159,0.122,0.255268295
NM,12.51,9.79,"20,385,619","24,880,134",0.125,0.098,0.819353264
NY,17.94,14.06,"24,806,826","145,600,345",0.179,0.141,0.170376148
NC,11.42,8.81,"47,372,186","136,435,531",0.114,0.088,0.34721297
ND,10.3,9.01,"28,668,377","21,559,255",0.103,0.090,1.329748036
OH,12.38,9.72,"68,113,209","148,521,920",0.124,0.097,0.458607113
OK,10.21,7.98,"28,238,794","64,795,946",0.102,0.080,0.435811123
OR,11.01,8.85,"11,028,600","50,404,386",0.110,0.089,0.218802388
PA,13.8,8.71,"77,356,652","145,580,383",0.138,0.087,0.531367279
RI,21.73,16.38,"2,995,662","7,349,915",0.217,0.164,0.407577775
SC,12.99,10.58,"25,109,972","80,205,620",0.130,0.106,0.313069982
SD,11.55,9.59,"3,288,952","12,868,931",0.116,0.096,0.255573054
TN,10.87,10.65,"27,327,736","99,829,100",0.109,0.107,0.273745191
TX,11.76,8.06,"217,555,930","429,343,404",0.118,0.081,0.506717765
UT,10.4,8.26,"28,316,236","31,142,565",0.104,0.083,0.909245465
VT,17.71,15.98,"6,733","5,427,664",0.177,0.160,0.001240497
VA,12.07,8.18,"29,965,120","118,435,380",0.121,0.082,0.25300818
WA,9.71,8.75,"14,627,792","91,052,796",0.097,0.088,0.160651761
WV,11.25,9.16,"56,823,254","33,247,013",0.113,0.092,1.709123584
WI,14.18,10.72,"35,179,152","69,157,540",0.142,0.107,0.508681367
WY,11.18,9.64,"39,199,140","16,763,496",0.112,0.096,2.338363072
