DATE,VALUE
1/1/47,21.480
2/1/47,21.620
3/1/47,22.000
4/1/47,22.000
5/1/47,21.950
6/1/47,22.080
7/1/47,22.230
8/1/47,22.400
9/1/47,22.840
10/1/47,22.910
11/1/47,23.060
12/1/47,23.410
1/1/48,23.680
2/1/48,23.670
3/1/48,23.500
4/1/48,23.820
5/1/48,24.010
6/1/48,24.150
7/1/48,24.400
8/1/48,24.430
9/1/48,24.360
10/1/48,24.310
11/1/48,24.160
12/1/48,24.050
1/1/49,24.010
2/1/49,23.910
3/1/49,23.910
4/1/49,23.920
5/1/49,23.910
6/1/49,23.920
7/1/49,23.700
8/1/49,23.700
9/1/49,23.750
10/1/49,23.670
11/1/49,23.700
12/1/49,23.610
1/1/50,23.510
2/1/50,23.610
3/1/50,23.640
4/1/50,23.650
5/1/50,23.770
6/1/50,23.880
7/1/50,24.070
8/1/50,24.200
9/1/50,24.340
10/1/50,24.500
11/1/50,24.600
12/1/50,24.980
1/1/51,25.380
2/1/51,25.830
3/1/51,25.880
4/1/51,25.920
5/1/51,25.990
6/1/51,25.930
7/1/51,25.910
8/1/51,25.860
9/1/51,26.030
10/1/51,26.160
11/1/51,26.320
12/1/51,26.470
1/1/52,26.450
2/1/52,26.410
3/1/52,26.390
4/1/52,26.460
5/1/52,26.470
6/1/52,26.530
7/1/52,26.680
8/1/52,26.690
9/1/52,26.630
10/1/52,26.690
11/1/52,26.690
12/1/52,26.710
1/1/53,26.640
2/1/53,26.590
3/1/53,26.630
4/1/53,26.690
5/1/53,26.700
6/1/53,26.770
7/1/53,26.790
8/1/53,26.850
9/1/53,26.890
10/1/53,26.950
11/1/53,26.850
12/1/53,26.870
1/1/54,26.940
2/1/54,26.990
3/1/54,26.930
4/1/54,26.860
5/1/54,26.930
6/1/54,26.940
7/1/54,26.860
8/1/54,26.850
9/1/54,26.810
10/1/54,26.720
11/1/54,26.780
12/1/54,26.770
1/1/55,26.770
2/1/55,26.820
3/1/55,26.790
4/1/55,26.790
5/1/55,26.770
6/1/55,26.710
7/1/55,26.760
8/1/55,26.720
9/1/55,26.850
10/1/55,26.820
11/1/55,26.880
12/1/55,26.870
1/1/56,26.830
2/1/56,26.860
3/1/56,26.890
4/1/56,26.930
5/1/56,27.030
6/1/56,27.150
7/1/56,27.290
8/1/56,27.310
9/1/56,27.350
10/1/56,27.510
11/1/56,27.510
12/1/56,27.630
1/1/57,27.670
2/1/57,27.800
3/1/57,27.860
4/1/57,27.930
5/1/57,28.000
6/1/57,28.110
7/1/57,28.190
8/1/57,28.280
9/1/57,28.320
10/1/57,28.320
11/1/57,28.410
12/1/57,28.470
1/1/58,28.640
2/1/58,28.700
3/1/58,28.870
4/1/58,28.940
5/1/58,28.940
6/1/58,28.910
7/1/58,28.890
8/1/58,28.940
9/1/58,28.910
10/1/58,28.910
11/1/58,28.950
12/1/58,28.970
1/1/59,29.010
2/1/59,29.000
3/1/59,28.970
4/1/59,28.980
5/1/59,29.040
6/1/59,29.110
7/1/59,29.150
8/1/59,29.180
9/1/59,29.250
10/1/59,29.350
11/1/59,29.350
12/1/59,29.410
1/1/60,29.370
2/1/60,29.410
3/1/60,29.410
4/1/60,29.540
5/1/60,29.570
6/1/60,29.610
7/1/60,29.550
8/1/60,29.610
9/1/60,29.610
10/1/60,29.750
11/1/60,29.780
12/1/60,29.810
1/1/61,29.840
2/1/61,29.840
3/1/61,29.840
4/1/61,29.810
5/1/61,29.840
6/1/61,29.840
7/1/61,29.920
8/1/61,29.940
9/1/61,29.980
10/1/61,29.980
11/1/61,29.980
12/1/61,30.010
1/1/62,30.040
2/1/62,30.110
3/1/62,30.170
4/1/62,30.210
5/1/62,30.240
6/1/62,30.210
7/1/62,30.220
8/1/62,30.280
9/1/62,30.420
10/1/62,30.380
11/1/62,30.380
12/1/62,30.380
1/1/63,30.440
2/1/63,30.480
3/1/63,30.510
4/1/63,30.480
5/1/63,30.510
6/1/63,30.610
7/1/63,30.690
8/1/63,30.750
9/1/63,30.720
10/1/63,30.750
11/1/63,30.780
12/1/63,30.880
1/1/64,30.940
2/1/64,30.910
3/1/64,30.940
4/1/64,30.950
5/1/64,30.980
6/1/64,31.010
7/1/64,31.020
8/1/64,31.050
9/1/64,31.080
10/1/64,31.120
11/1/64,31.210
12/1/64,31.250
1/1/65,31.280
2/1/65,31.280
3/1/65,31.310
4/1/65,31.380
5/1/65,31.480
6/1/65,31.610
7/1/65,31.580
8/1/65,31.550
9/1/65,31.620
10/1/65,31.650
11/1/65,31.750
12/1/65,31.850
1/1/66,31.880
2/1/66,32.080
3/1/66,32.180
4/1/66,32.280
5/1/66,32.350
6/1/66,32.380
7/1/66,32.450
8/1/66,32.650
9/1/66,32.750
10/1/66,32.850
11/1/66,32.880
12/1/66,32.920
1/1/67,32.900
2/1/67,33.000
3/1/67,33.000
4/1/67,33.100
5/1/67,33.100
6/1/67,33.300
7/1/67,33.400
8/1/67,33.500
9/1/67,33.600
10/1/67,33.700
11/1/67,33.900
12/1/67,34.000
1/1/68,34.100
2/1/68,34.200
3/1/68,34.300
4/1/68,34.400
5/1/68,34.500
6/1/68,34.700
7/1/68,34.900
8/1/68,35.000
9/1/68,35.100
10/1/68,35.300
11/1/68,35.400
12/1/68,35.600
1/1/69,35.700
2/1/69,35.800
3/1/69,36.100
4/1/69,36.300
5/1/69,36.400
6/1/69,36.600
7/1/69,36.800
8/1/69,36.900
9/1/69,37.100
10/1/69,37.300
11/1/69,37.500
12/1/69,37.700
1/1/70,37.900
2/1/70,38.100
3/1/70,38.300
4/1/70,38.500
5/1/70,38.600
6/1/70,38.800
7/1/70,38.900
8/1/70,39.000
9/1/70,39.200
10/1/70,39.400
11/1/70,39.600
12/1/70,39.800
1/1/71,39.900
2/1/71,39.900
3/1/71,40.000
4/1/71,40.100
5/1/71,40.300
6/1/71,40.500
7/1/71,40.600
8/1/71,40.700
9/1/71,40.800
10/1/71,40.900
11/1/71,41.000
12/1/71,41.100
1/1/72,41.200
2/1/72,41.400
3/1/72,41.400
4/1/72,41.500
5/1/72,41.600
6/1/72,41.700
7/1/72,41.800
8/1/72,41.900
9/1/72,42.100
10/1/72,42.200
11/1/72,42.400
12/1/72,42.500
1/1/73,42.700
2/1/73,43.000
3/1/73,43.400
4/1/73,43.700
5/1/73,43.900
6/1/73,44.200
7/1/73,44.200
8/1/73,45.000
9/1/73,45.200
10/1/73,45.600
11/1/73,45.900
12/1/73,46.300
1/1/74,46.800
2/1/74,47.300
3/1/74,47.800
4/1/74,48.100
5/1/74,48.600
6/1/74,49.000
7/1/74,49.300
8/1/74,49.900
9/1/74,50.600
10/1/74,51.000
11/1/74,51.500
12/1/74,51.900
1/1/75,52.300
2/1/75,52.600
3/1/75,52.800
4/1/75,53.000
5/1/75,53.100
6/1/75,53.500
7/1/75,54.000
8/1/75,54.200
9/1/75,54.600
10/1/75,54.900
11/1/75,55.300
12/1/75,55.600
1/1/76,55.800
2/1/76,55.900
3/1/76,56.000
4/1/76,56.100
5/1/76,56.400
6/1/76,56.700
7/1/76,57.000
8/1/76,57.300
9/1/76,57.600
10/1/76,57.900
11/1/76,58.100
12/1/76,58.400
1/1/77,58.700
2/1/77,59.300
3/1/77,59.600
4/1/77,60.000
5/1/77,60.200
6/1/77,60.500
7/1/77,60.800
8/1/77,61.100
9/1/77,61.300
10/1/77,61.600
11/1/77,62.000
12/1/77,62.300
1/1/78,62.700
2/1/78,63.000
3/1/78,63.400
4/1/78,63.900
5/1/78,64.500
6/1/78,65.000
7/1/78,65.500
8/1/78,65.900
9/1/78,66.500
10/1/78,67.100
11/1/78,67.500
12/1/78,67.900
1/1/79,68.500
2/1/79,69.200
3/1/79,69.900
4/1/79,70.600
5/1/79,71.400
6/1/79,72.200
7/1/79,73.000
8/1/79,73.700
9/1/79,74.400
10/1/79,75.200
11/1/79,76.000
12/1/79,76.900
1/1/80,78.000
2/1/80,79.000
3/1/80,80.100
4/1/80,80.900
5/1/80,81.700
6/1/80,82.500
7/1/80,82.600
8/1/80,83.200
9/1/80,83.900
10/1/80,84.700
11/1/80,85.600
12/1/80,86.400
1/1/81,87.200
2/1/81,88.000
3/1/81,88.600
4/1/81,89.100
5/1/81,89.700
6/1/81,90.500
7/1/81,91.500
8/1/81,92.200
9/1/81,93.100
10/1/81,93.400
11/1/81,93.800
12/1/81,94.100
1/1/82,94.400
2/1/82,94.700
3/1/82,94.700
4/1/82,95.000
5/1/82,95.900
6/1/82,97.000
7/1/82,97.500
8/1/82,97.700
9/1/82,97.700
10/1/82,98.100
11/1/82,98.000
12/1/82,97.700
1/1/83,97.900
2/1/83,98.000
3/1/83,98.100
4/1/83,98.800
5/1/83,99.200
6/1/83,99.400
7/1/83,99.800
8/1/83,100.100
9/1/83,100.400
10/1/83,100.800
11/1/83,101.100
12/1/83,101.400
1/1/84,102.100
2/1/84,102.600
3/1/84,102.900
4/1/84,103.300
5/1/84,103.500
6/1/84,103.700
7/1/84,104.100
8/1/84,104.400
9/1/84,104.700
10/1/84,105.100
11/1/84,105.300
12/1/84,105.500
1/1/85,105.700
2/1/85,106.300
3/1/85,106.800
4/1/85,107.000
5/1/85,107.200
6/1/85,107.500
7/1/85,107.700
8/1/85,107.900
9/1/85,108.100
10/1/85,108.500
11/1/85,109.000
12/1/85,109.500
1/1/86,109.900
2/1/86,109.700
3/1/86,109.100
4/1/86,108.700
5/1/86,109.000
6/1/86,109.400
7/1/86,109.500
8/1/86,109.600
9/1/86,110.000
