AVERT_Region,EMM_Region,Category,2017cents_kWh_3pct_low,2017cents_kWh_3pct_high,2017cents_kWh_7pct_low,2017cents_kWh_7pct_high
California,CANO,Uniform EE,0.48,1.08,0.42,0.96
California,CANO,EE at Peak,0.52,1.17,0.46,1.04
California,CASO,Uniform EE,0.48,1.08,0.42,0.96
California,CASO,EE at Peak,0.52,1.17,0.46,1.04
Great Lakes/Mid-Atlantic,MISE,Uniform EE,3.51,7.95,3.14,7.09
Great Lakes/Mid-Atlantic,MISE,EE at Peak,3.57,8.08,3.19,7.21
Great Lakes/Mid-Atlantic,PJMW,Uniform EE,3.51,7.95,3.14,7.09
Great Lakes/Mid-Atlantic,PJMW,EE at Peak,3.57,8.08,3.19,7.21
Great Lakes/Mid-Atlantic,PJMC,Uniform EE,3.51,7.95,3.14,7.09
Great Lakes/Mid-Atlantic,PJMC,EE at Peak,3.57,8.08,3.19,7.21
Great Lakes/Mid-Atlantic,PJME,Uniform EE,3.51,7.95,3.14,7.09
Great Lakes/Mid-Atlantic,PJME,EE at Peak,3.57,8.08,3.19,7.21
Lower Midwest,SPPC,Uniform EE,2.31,5.23,2.06,4.66
Lower Midwest,SPPC,EE at Peak,2.11,4.77,1.88,4.25
Lower Midwest,SPPS,Uniform EE,2.31,5.23,2.06,4.66
Lower Midwest,SPPS,EE at Peak,2.11,4.77,1.88,4.25
Pacific Northwest,NWPP,Uniform EE,1.13,2.55,1.01,2.28
Pacific Northwest,NWPP,EE at Peak,1.12,2.54,1,2.27
Pacific Northwest,BASN,Uniform EE,1.13,2.55,1.01,2.28
Pacific Northwest,BASN,EE at Peak,1.12,2.54,1,2.27
Rocky Mountains,RMRG,Uniform EE,1.03,2.32,0.92,2.07
Rocky Mountains,RMRG,EE at Peak,0.98,2.21,0.87,1.98
Southwest,SRSG,Uniform EE,0.71,1.62,0.64,1.44
Southwest,SRSG,EE at Peak,0.7,1.59,0.63,1.42
Texas,TRE,Uniform EE,1.58,3.58,1.41,3.19
Texas,TRE,EE at Peak,1.39,3.13,1.24,2.8
Upper Midwest,SPPN,Uniform EE,3.12,7.06,2.78,6.3
Upper Midwest,SPPN,EE at Peak,2.75,6.22,2.45,5.55
Upper Midwest,MISC,Uniform EE,3.12,7.06,2.78,6.3
Upper Midwest,MISC,EE at Peak,2.75,6.22,2.45,5.55
Upper Midwest,MISW,Uniform EE,3.12,7.06,2.78,6.3
Upper Midwest,MISW,EE at Peak,2.75,6.22,2.45,5.55
Southeast,MISS,Uniform EE,1.78,4.02,1.58,3.58
Southeast,MISS,EE at Peak,1.87,4.24,1.67,3.78
Southeast,SRSE,Uniform EE,1.78,4.02,1.58,3.58
Southeast,SRSE,EE at Peak,1.87,4.24,1.67,3.78
Southeast,FRCC,Uniform EE,1.78,4.02,1.58,3.58
Southeast,FRCC,EE at Peak,1.87,4.24,1.67,3.78
Southeast,SRCA,Uniform EE,1.78,4.02,1.58,3.58
Southeast,SRCA,EE at Peak,1.87,4.24,1.67,3.78
Southeast,PJMD,Uniform EE,1.78,4.02,1.58,3.58
Southeast,PJMD,EE at Peak,1.87,4.24,1.67,3.78
Southeast,SRCE,Uniform EE,1.78,4.02,1.58,3.58
Southeast,SRCE,EE at Peak,1.87,4.24,1.67,3.78
Northeast,NYUP,Uniform EE,1.65,3.73,1.47,3.33
Northeast,NYUP,EE at Peak,2.24,5.07,2,4.52
Northeast,NYCW,Uniform EE,1.65,3.73,1.47,3.33
Northeast,NYCW,EE at Peak,2.24,5.07,2,4.52
Northeast,ISNE,Uniform EE,1.65,3.73,1.47,3.33
Northeast,ISNE,EE at Peak,2.24,5.07,2,4.52
