CDIV	TRE	FRCC	MISW	MISC	MISE	MISS	ISNE	NYCW	NYUP	PJME	PJMW	PJMC	PJMD	SRCA	SRSE	SRCE	SPPS	SPPC	SPPN	SRSG	CANO	CASO	NWPP	RMRG	BASN
1	0	0	0	0	0	0	0.999794605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0.000205395	0.999999998	0.999999998	0.633152505	0.127347735	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.380761406	0.646850316	0.999998692	0	0	0	0	0	0.629136876	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0.619238598	0.339331887	1.30461E-06	1.43211E-06	0	0	0	0	0	0	0	0	0	0	0	0.999015253	0.969601243	0	0	0	0	0.06704278	0
5	0	1	0	0	0	0	0	0	0	0.366847496	0.182625849	0	1.000000001	0.999993273	0.718558556	0.02640655	0	0	0	0	0	0	0	0	0
6	0	0	0	0.013817798	0	0.161327034	0	0	0	0	0.06088954	0	0	6.727E-06	0.281441443	0.973593452	0	0	0	0	0	0	0	0	0
7	1	0	0	0	0	0.838671537	0	0	0	0	0	0	0	0	0	0	0.934004843	0.000810911	0	0.074197633	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065995156	0.000173839	0.030398757	0.854513245	7.75113E-08	6.95836E-07	0.126382404	0.932957222	0.992640089
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071289122	0.999999923	0.999999306	0.873617595	0	0.007359916
																									
